,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2539473381519239,0.2539473381519239,0.0009051581902662263,0.0009051581902662263
0,sett_cutoff,,,,,,,,,0.21094927981908107,0.21094927981908107,0.0007128137250072983,0.0007128137250072983
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10976524493289663,0.3781305162441616,0.0005176308185755313,0.0011233104502884489
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08215550101244892,0.5470521189834539,0.00028982415971656435,0.0011104035658198765
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.027434626928648904,0.703259984053942,0.000250221891917069,0.0010275423646120244
36,sett_model,sett_preprocess_income,,,,,,,,0.020499302999055443,0.04208927822667227,0.00026141944647190126,0.0003135025978588555
4,sett_model,,,,,,,,,0.017027889663255975,0.017027889663255975,0.00015282253043802501,0.00015282253043802501
30,sett_exclude_subgroups,sett_model,,,,,,,,0.01585312548392399,0.28682835329910383,0.0001298065145792523,0.0009688541510360424
2,sett_exclude_features,,,,,,,,,0.014417933159341053,0.014417933159341053,0.00014974083376710957,0.00014974083376710957
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.012053057190080874,0.07366535486005778,0.00015733952008088503,0.0005372446372885044
16,sett_cutoff,sett_stratify_split,,,,,,,,0.010819154732493105,0.2288655223749668,0.00014086139950516128,0.0008236464961423023
42,sett_preprocess_income,sett_scale,,,,,,,,0.009127655033155456,0.018151887170084223,0.00017293255317059073,0.00032973311317970435
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.008519565361136145,0.42397594658697446,0.00014527477174824867,0.0011265046332112488
8,sett_stratify_split,,,,,,,,,0.007097087823392599,0.007097087823392599,0.00012759341053696947,0.00012759341053696947
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00634096665510655,0.2626732540675384,0.00012773218363995288,0.0007780434105275895
37,sett_model,sett_scale,,,,,,,,0.005933217837581257,0.02742325407340514,7.71382195875039e-05,0.00020417270112662653
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0056275805037826225,0.25859304747902057,0.00011434998862544957,0.0006992686581157471
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.005094587183991009,0.04660404735240256,9.08441104939434e-05,0.00020084760361275365
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004909569835365099,0.7644140341487959,8.995976155118634e-05,0.0009973490163119275
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.004772377590365714,0.06829010605750041,0.000152583854725536,0.0003953052035500639
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004590060049601481,0.2299572730280236,0.00011702503532405852,0.0007258774814089574
6,sett_preprocess_income,,,,,,,,,0.004562085564360859,0.004562085564360859,0.00012260132074011853,0.00012260132074011853
7,sett_scale,,,,,,,,,0.004462146572567908,0.004462146572567908,8.481497140562939e-05,8.481497140562939e-05
25,sett_exclude_features,sett_model,,,,,,,,0.004444849834496814,0.03589067265709385,7.63527787034084e-05,0.0001804469633669881
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0043525559919749355,0.3056693376106009,0.00012194709796878325,0.0009886105065605713
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.004338875697697599,0.25557782245733174,7.508867498933372e-05,0.0008444673729423791
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.003926979920899934,0.23761299063382382,8.19933726891058e-05,0.0006246413927725439
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0034160626036634327,0.214621142457706,8.654633187202003e-05,0.0007268365806205174
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0033654311757248447,0.0248804521584585,7.481287434552982e-05,0.0002559363224733409
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0032360149634318245,0.5847046035435273,9.152372562125697e-05,0.001141880726251461
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.0028026835429561464,0.23754720579185873,9.967810409700066e-05,0.0006997185831740694
19,sett_encode_categorical,sett_model,,,,,,,,0.0026755933161870704,0.019959283014404538,0.00011224956305320632,0.0002216376020300952
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.002638592989196762,0.3021663483470206,6.702615340406082e-05,0.0009120628832912532
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.002565667246624548,0.02154568597032646,0.00011325977939384934,0.0002051865879762642
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0023040376485708638,0.26071352237306267,9.326341775391297e-05,0.0008841467905108078
35,sett_model,sett_preprocess_age,,,,,,,,0.0022496479734054895,0.020451087134811197,4.432281836680243e-05,0.0001631502053771935
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0022250591668753297,0.24106835992310127,7.698218805244179e-05,0.0007229955747565579
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.002195590039762486,0.01778707269725327,7.545790475280008e-05,0.00020044809853904142
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.002068287199922368,0.26057771091620713,0.00015251880861267937,0.0008257295878751489
79,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,,0.0020371255373954145,0.29223393870938275,8.6585701828907e-05,0.0010698810674705478
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0018359674508967988,0.44295176151757965,4.90664388053059e-05,0.0010416816828927573
119,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0017773262153555121,0.04747360629029456,0.00015402524293590188,0.00034652710843196047
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0017582749172169471,0.21726964030065887,6.400949624939923e-05,0.0006555791565718272
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0017039002249750685,0.2768976893079756,4.7659509303330106e-05,0.0006729725431318641
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.0016486135340014092,0.23750869342061198,4.8856387814004625e-05,0.000691198339777868
12,sett_cutoff,sett_model,,,,,,,,0.0015354544494615226,0.2295126239317986,5.365037502529492e-05,0.0006787702393734455
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0014903266664491356,0.38642550428316136,7.354823484539187e-05,0.0010790358945384497
243,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0014876862994993721,0.3544374924252214,5.585873271970012e-05,0.0007961364932960939
130,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,0.0014871378967058258,0.27294722813903044,6.332158853230655e-05,0.0006321323787822132
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0014426675523126495,0.5973731684666418,9.062842899078301e-05,0.001200989476624565
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0012580135666888721,0.3152160426291314,5.922112502090875e-05,0.0008348943504893222
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0012565031471549054,0.2744625816025281,5.25082425736526e-05,0.000756096674630116
116,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,,0.0012150562254375284,0.2776866063959389,8.713208519832738e-05,0.0008058864571412258
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.001210197678201208,0.23528679955370715,4.7283579515904124e-05,0.0007080032421209886
5,sett_preprocess_age,,,,,,,,,0.0011735494981497275,0.0011735494981497275,5.4481370064760156e-05,5.4481370064760156e-05
17,sett_encode_categorical,sett_exclude_features,,,,,,,,0.0011153865822540515,0.015789119776556594,6.469545605824654e-05,0.00019409542404520927
250,sett_model,sett_preprocess_age,sett_preprocess_income,sett_scale,,,,,,0.0010985060883276574,0.08117233371398716,0.000143030170156046,0.0006775987331443704
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0010964158441122964,0.2591380098638808,6.166582788775572e-05,0.0007924427378930795
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0010263347541040284,0.38835289100917336,8.434434694077325e-05,0.0010044183480839982
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0009594273347768396,0.6230405218257782,4.962629881862262e-05,0.0010333490509315797
74,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,,0.0009529031492804483,0.04089035573977691,4.121366921850594e-05,0.00025411050169960535
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0008895600451230979,0.5563303267100772,5.9850585018622485e-05,0.001032747349823848
