,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,individual importance,total importance,individual std,total std
4,sett_fairness_grouping,,,,,,,,,,0.5812528762892659,0.5812528762892659,0.0001704026762125109,0.0001704026762125109
44,sett_fairness_grouping,sett_stratify_split,,,,,,,,,0.078005345362982,0.736765603487078,0.00011861067612598905,0.00025505778533973963
9,sett_stratify_split,,,,,,,,,,0.07750738183483005,0.07750738183483005,0.00012271116661710316,0.00012271116661710316
80,sett_cutoff,sett_fairness_grouping,sett_stratify_split,,,,,,,,0.06521489347034459,0.9009246659918602,7.993970068680137e-05,0.0003345026768416027
18,sett_cutoff,sett_stratify_split,,,,,,,,,0.06421024225858785,0.16210508492175285,7.816121120829173e-05,0.0001640734964969904
0,sett_cutoff,,,,,,,,,,0.020387460828334966,0.020387460828334966,7.573474775437567e-05,7.573474775437567e-05
13,sett_cutoff,sett_fairness_grouping,,,,,,,,,0.014346465947514861,0.6159868030651157,5.350936832120558e-05,0.00024324489660652177
34,sett_exclude_subgroups,sett_fairness_grouping,,,,,,,,,0.0020982477104914184,0.5837133322688791,2.591313767710974e-05,0.00017584881720633216
46,sett_model,sett_preprocess_income,,,,,,,,,0.0018456715678763307,0.0030036559037262085,3.222606400579652e-05,3.565166450988379e-05
119,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,,,,,,,,0.00162585588361502,0.5878899029498874,2.6459096657787994e-05,0.0001939293324999365
459,sett_cutoff,sett_exclude_features,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,,0.0015802514921876105,0.9205433734948579,5.0462342180752245e-05,0.0003167805799946641
217,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0015703952983258571,0.17207086131427746,4.888025263167918e-05,0.00016655139706620232
168,sett_model,sett_preprocess_income,sett_scale,,,,,,,,0.0015577658220345897,0.00775280653332667,2.5095140568231042e-05,5.166216525927125e-05
125,sett_exclude_features,sett_fairness_grouping,sett_model,,,,,,,,0.001515899721655906,0.5865552666311695,2.999381558014379e-05,0.00018569263780614955
