,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.26950815228894176,0.26950815228894176,0.0309239875005321,0.0309239875005321
0,sett_cutoff,,,,,,,,,0.2103079694179173,0.2103079694179173,0.026379120833982368,0.026379120833982368
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.08940024139259742,0.3764756235765079,0.036384109754000395,0.05618101951983309
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.05945319055130717,0.5392693122581662,0.019419240960772147,0.055697310585082656
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02366522386333162,0.6791919025817466,0.010650765838038248,0.08012993905575716
2,sett_exclude_features,,,,,,,,,0.017567229894968745,0.017567229894968745,0.009783286157021698,0.009783286157021698
10,sett_cutoff,sett_exclude_features,,,,,,,,0.009289895172682604,0.23716509448556863,0.0055878758921089474,0.031011360000084403
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.00763680757399179,0.5604136839313527,0.00648630512581853,0.05394055727035542
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0075523603197495855,0.5648276570404118,0.005647111377022136,0.04940509939220893
8,sett_stratify_split,,,,,,,,,0.007419967678852534,0.007419967678852534,0.004375127695165658,0.004375127695165658
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.006268503898309688,0.5537937999673354,0.004470694995220971,0.05719783083735611
16,sett_cutoff,sett_stratify_split,,,,,,,,0.006198642690559507,0.22392657978732933,0.003980906153578011,0.025036149118740716
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005976466697951389,0.7160910143911297,0.004367244851939069,0.07365656510852554
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0057898991355564994,0.7218962208545721,0.005316586192963795,0.07510991708731503
4,sett_model,,,,,,,,,0.005421315781918996,0.005421315781918996,0.003134950067775708,0.003134950067775708
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0050646503697528295,0.2799941184406136,0.003998861224342261,0.03038091995895904
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.00506307619959025,0.39441246281265274,0.007518350843003971,0.05388530366778096
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.00451840451099445,0.02950560208481573,0.0034377480922291493,0.010793854489048666
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.004387374093083919,0.2813154940608782,0.003229648383944703,0.027310329716147504
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.004046754610802472,0.3968481244702413,0.003033687164673743,0.05505659384798831
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.004018851230133893,0.2172181523586174,0.0023203904213500957,0.024893304333120248
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0039902619944949674,0.7046847186516425,0.003856550283690473,0.07855299847773928
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.003688978267329818,0.7052471917318598,0.003233370475368466,0.07997825158517971
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0035461353386045218,0.552521974267629,0.0023430037776375223,0.053770296736566796
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0034346685250358196,0.27529914649248466,0.0034232460819623605,0.03280058828276027
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.003032651928845125,0.3879636852032802,0.002400939452583469,0.056322677426864746
12,sett_cutoff,sett_model,,,,,,,,0.0030215979475228306,0.21875088314735908,0.0021828351748789145,0.027113224199354014
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002990713025744401,0.5945743564922237,0.004837786712283405,0.047304826454799484
36,sett_model,sett_preprocess_income,,,,,,,,0.002924452354259241,0.010702093814685301,0.0031094875471638643,0.006506082045938256
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0029137081729287517,0.23362071210662538,0.0030363112347800295,0.025212276524586102
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.0029111438310183667,0.5484784555009274,0.00420703103744844,0.05194403983602228
5,sett_preprocess_age,,,,,,,,,0.0028913317105662218,0.0028913317105662218,0.0015892252311928766,0.0015892252311928766
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0028877038083474638,0.3877843602966885,0.002123090499519109,0.05503831926405496
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.0027963437301581446,0.27519582772966616,0.0018030234356145804,0.03026154233377681
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002790915233226479,0.2580930245992016,0.0019171372364411756,0.028551020233235035
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.002733357471108755,0.023191919076643724,0.00211719104799354,0.010353427130633018
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.002726392749826433,0.5844546538637733,0.003263394872023524,0.05392843087991875
7,sett_scale,,,,,,,,,0.0027042975939860457,0.0027042975939860457,0.003243633033328527,0.003243633033328527
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0026644154943842382,0.02258797106786005,0.0027790151668223443,0.010485950802099528
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0026288307864819685,0.24943746568385944,0.002178412665895484,0.02867887309056983
46,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,,,,,,,0.002538719326613763,0.5459192075119349,0.0034438463592277053,0.054431605521344496
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.002464989607316563,0.21512928470374088,0.0014923075870749434,0.02593371845101304
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.002449349152285546,0.27466179903521337,0.004747378315340211,0.02845489842047075
25,sett_exclude_features,sett_model,,,,,,,,0.0023877968848827124,0.025376342561770456,0.0026531850401152186,0.010533929993522366
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0023669136037120717,0.5888035566777098,0.0019863617412606924,0.049930753722962094
6,sett_preprocess_income,,,,,,,,,0.0023563256785070655,0.0023563256785070655,0.0019096340966332503,0.0019096340966332503
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0023274003537721694,0.2503232054536653,0.0013213443595681085,0.029901376016864583
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.002228757110598186,0.2347161567758232,0.0006880222700318702,0.023704439106192545
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.002211681290944379,0.29127727841590917,0.0026509414789280183,0.029868060752734703
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0021545329438774643,0.5860607492668204,0.00144280442863786,0.04727115286734367
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0021447557503848193,0.24679558101616128,0.0010231158661520477,0.03116770593927108
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.002114686889386977,0.2958868963418017,0.0019615692425754704,0.02661146562368196
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0020547128600525,0.29076427785846826,0.0021044321827422513,0.03153506349000585
