,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,individual importance,total importance,individual std,total std
4,sett_fairness_grouping,,,,,,,,,,0.5971702328435685,0.5971702328435685,0.016135018205962574,0.016135018205962574
9,sett_stratify_split,,,,,,,,,,0.06644485080702564,0.06644485080702564,0.006529255826557396,0.006529255826557396
44,sett_fairness_grouping,sett_stratify_split,,,,,,,,,0.06618193993735529,0.7297970235879494,0.008569323225907715,0.023595927886465046
80,sett_cutoff,sett_fairness_grouping,sett_stratify_split,,,,,,,,0.055667002026332006,0.8629229688047755,0.01055627503352296,0.0304936165227589
18,sett_cutoff,sett_stratify_split,,,,,,,,,0.054859615722071306,0.13489968442211264,0.010650999827829726,0.012627762696191359
0,sett_cutoff,,,,,,,,,,0.013595217893015701,0.013595217893015701,0.002374047576201566,0.002374047576201566
13,sett_cutoff,sett_fairness_grouping,,,,,,,,,0.009004109575407,0.6197695603119913,0.002173481867415003,0.017420732690173638
34,sett_exclude_subgroups,sett_fairness_grouping,,,,,,,,,0.002926044276819785,0.6015075898045379,0.0011094282107853505,0.015338146860316768
228,sett_cutoff,sett_exclude_subgroups,sett_fairness_grouping,sett_stratify_split,,,,,,,0.002750563366251762,0.880345148124404,0.002046438393804598,0.02709573044712039
75,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0026133397882597,0.14271790765932502,0.001955791206165973,0.01086836708438766
242,sett_cutoff,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,,,0.002444021228202794,0.873214972081835,0.001988568240736976,0.031176420654721648
84,sett_cutoff,sett_model,sett_stratify_split,,,,,,,,0.0024163260835757695,0.1399349148049906,0.001978371489095932,0.013086872235416387
70,sett_cutoff,sett_exclude_subgroups,sett_fairness_grouping,,,,,,,,0.002317026689021361,0.6286501086417239,0.0011914215561182988,0.01651262032046316
12,sett_cutoff,sett_exclude_subgroups,,,,,,,,,0.0022261646797418523,0.01723269525690719,0.0009123376774895674,0.0023100913287867862
247,sett_cutoff,sett_fairness_grouping,sett_preprocess_income,sett_stratify_split,,,,,,,0.001968573570329914,0.8730923552671743,0.002127115077501231,0.027545492172493965
479,sett_cutoff,sett_exclude_subgroups,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,,0.0016973663328722034,0.8989251663140954,0.00145475593234326,0.02982188234244437
232,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0016220360555479715,0.15184075497148128,0.0014253651590826143,0.01169248150828414
144,sett_exclude_subgroups,sett_fairness_grouping,sett_stratify_split,,,,,,,,0.0016103217503233135,0.7373121083843034,0.001203059322570924,0.02222079073029123
39,sett_exclude_subgroups,sett_stratify_split,,,,,,,,,0.0015674060850611907,0.06942356957623647,0.0011148969632065718,0.0061591112653193265
89,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,,0.001551269285637882,0.13964600407006533,0.0012143044129865393,0.013146900537267943
3,sett_exclude_subgroups,,,,,,,,,,0.0014113126841496394,0.0014113126841496394,0.0010438812954314412,0.0010438812954314412
7,sett_preprocess_income,,,,,,,,,,0.001263423685563098,0.001263423685563098,0.0012764623013052526,0.0012764623013052526
42,sett_fairness_grouping,sett_preprocess_income,,,,,,,,,0.0012590508610996077,0.5996927073902313,0.001306220850004359,0.015143489947318858
158,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,,,,0.0012087290970170625,0.7332447208629971,0.0008976705938490417,0.023056478159203708
78,sett_cutoff,sett_fairness_grouping,sett_preprocess_income,,,,,,,,0.0011594569734031156,0.6244852980546818,0.0007933461754346689,0.016203976478694093
48,sett_model,sett_stratify_split,,,,,,,,,0.0011158438776166265,0.06808045555551363,0.0008896128563489366,0.0058396124298643985
2,sett_exclude_features,,,,,,,,,,0.001090201480603706,0.001090201480603706,0.0007573652121837238,0.0007573652121837238
71,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,,0.0010585300493787435,0.020304407405833523,0.0006941477779623138,0.003216597905817777
163,sett_fairness_grouping,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0010359854096135363,0.7342533039983528,0.0010155724326640077,0.022359398198084694
16,sett_cutoff,sett_preprocess_income,,,,,,,,,0.0010338062226246838,0.015892447801203483,0.0007435960858637492,0.0032477496835769696
224,sett_cutoff,sett_exclude_subgroups,sett_fairness_grouping,sett_model,,,,,,,0.0010327652938044044,0.6349239067865485,0.0006731760100877515,0.017534639025811767
76,sett_cutoff,sett_fairness_grouping,sett_model,,,,,,,,0.001000659139419199,0.6228766433026385,0.0007115926169550558,0.017373840051156175
14,sett_cutoff,sett_model,,,,,,,,,0.0009832995508141577,0.015098278314701234,0.0007571660102053626,0.002432196818877332
208,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0009826959611725359,0.14893126431336856,0.0013545409160746372,0.01209666786354542
119,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,,,,,,,,0.0009065089335843015,0.6046267923845521,0.00049622876413821,0.014574171439713677
353,sett_exclude_subgroups,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,,,0.0009049682235447052,0.7436371228403794,0.0008792080322556479,0.02270019119511133
