,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
8,sett_stratify_split,,,,,,,,,0.3162837977330564,0.3162837977330564,0.034616678333233196,0.034616678333233196
16,sett_cutoff,sett_stratify_split,,,,,,,,0.29684302056917006,0.7038823509720256,0.0413780694177497,0.046974809002010634
0,sett_cutoff,,,,,,,,,0.09075553266979913,0.09075553266979913,0.018189762538451414,0.018189762538451414
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.011721860634298684,0.737187280771658,0.008197130934544265,0.03724533060248098
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.00902877590126849,0.10680507205217511,0.00574644564188639,0.019847904833349504
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.007480071957029695,0.7252654070188567,0.004709825387156178,0.049064370846426925
6,sett_preprocess_income,,,,,,,,,0.007020763481107493,0.007020763481107493,0.005931286854345829,0.005931286854345829
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.005877029571536799,0.7222367770328793,0.0036874352662535307,0.04922562206915245
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.005533529782957708,0.3288380909971216,0.006723137224342311,0.03096260781952268
2,sett_exclude_features,,,,,,,,,0.005376012378507751,0.005376012378507751,0.003351418077352663,0.003351418077352663
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.004946541723708144,0.09854027462539158,0.0020486788669918667,0.018676550566082407
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0047587463334748375,0.7156374293162213,0.005480498031083271,0.049584509301874045
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.004692654533724335,0.3238146524986651,0.0041281172380681075,0.03497537769420692
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004647542531759251,0.10077908758006614,0.002880023988201965,0.018421537567437585
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.004219310986048171,0.7136255372891984,0.001686388392926518,0.04895838840197478
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.004097655549620896,0.7693127635595417,0.0029962097214108188,0.03923946116255242
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.003916722783797389,0.7690049881075502,0.0031826569918906164,0.03999602194482372
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0038794291795342687,0.3255392392910984,0.0033649269617990487,0.03672800786728125
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0035973027252261865,0.3427380439553762,0.004687907340760115,0.03174853305316484
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.003304302984763285,0.12066591245995059,0.0026265112579488743,0.022106852963666008
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0032543357687635005,0.09478535635053237,0.0037384431523159395,0.017638338918943786
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0032205343993234386,0.7546475708849961,0.0015092737137505626,0.050111666941039454
182,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0030830856472580464,0.7573972093225363,0.0035571660082498635,0.04070215641782585
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.003072991620212832,0.11394626724752421,0.0016361415540936414,0.019145474522658888
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0030669441434211468,0.7551497936142944,0.0029750742304205137,0.04136309935911262
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.003044272706118476,0.7430375558039886,0.0026624094246629278,0.05082741909846052
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.002966508329987575,0.32002579397501374,0.003877343155015919,0.032944832039517605
3,sett_exclude_subgroups,,,,,,,,,0.002838200231884298,0.002838200231884298,0.002184696699863108,0.002184696699863108
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0028145920066943654,0.12120678584070056,0.0028568763825007125,0.0198550074913551
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.002771795467419749,0.01263075918041154,0.0029063655104782683,0.007306800146733314
161,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,0.0027101712360039078,0.7453075680783156,0.0017406771756132548,0.05223040405925319
7,sett_scale,,,,,,,,,0.0025074441198619066,0.0025074441198619066,0.0027100932152828634,0.0027100932152828634
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.00243109577521827,0.7388999062134283,0.001989835625392094,0.05208439963138418
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0024247656940969264,0.3378043058424568,0.003122365974686503,0.0382897421546067
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.002351735281975238,0.10838293420181153,0.0024017058368091403,0.017652524700840482
38,sett_model,sett_stratify_split,,,,,,,,0.0023129277417940283,0.31990278487136825,0.0014388347441863889,0.034733550655823474
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0023094460916528023,0.010523658702044851,0.0017448441496492626,0.00539474857554197
107,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0021397696270054932,0.3417968690537332,0.0015898992566192832,0.03288118842179978
126,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,,0.0020690713779933792,0.33605444618488445,0.001953030771869426,0.029495923518948284
105,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,,0.0020028885382472102,0.3325064117303399,0.002300333774496212,0.035651000782301046
12,sett_cutoff,sett_model,,,,,,,,0.001904888192812872,0.09396648025912976,0.0018379894060830556,0.018066024290668187
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.001897405613619051,0.11413758891433953,0.0016600456137402235,0.019833549000383165
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0018673042181016227,0.11345819537621218,0.0017760386089956696,0.020275962260925585
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.0018346620056074005,0.10502521490653932,0.0019852899826933086,0.018568722226144984
184,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0018095396151594798,0.7492859702157495,0.002031160493494059,0.03513991825624713
25,sett_exclude_features,sett_model,,,,,,,,0.0017892091202277708,0.008471280895253282,0.00262821607621306,0.00486481036427602
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0017503196231876271,0.7338032331671243,0.0016995000270387372,0.0499198680204597
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0017264543296347122,0.10468602498794724,0.001237693994764254,0.018632880089174863
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0017102066473359218,0.3357421562993742,0.0010391113111961323,0.0315777234719088
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.001668138059885376,0.7389708360892708,0.0014671158435665568,0.05243521466677662
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.001667700743430447,0.11372594679677554,0.0017548885720679388,0.020157405649184668
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.001602729023239244,0.10738197331286378,0.0012941440394828908,0.018658784347429708
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0015927516183736417,0.33254018716801165,0.0010955685582230864,0.036925836890621844
42,sett_preprocess_income,sett_scale,,,,,,,,0.001578090451560868,0.011106298052530269,0.002158684311840588,0.008796946556107967
36,sett_model,sett_preprocess_income,,,,,,,,0.0015748715166048186,0.009901694394230071,0.0014264274120287827,0.005950979456456966
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0015635668715640798,0.013960342731179324,0.0014447903102475733,0.0068001249765245
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.001554044314932947,0.3301960323955001,0.0013913716761714497,0.03528755054266948
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.001446007686562636,0.7284860507157732,0.0009943959176636585,0.05241285362320694
39,sett_preprocess_age,sett_preprocess_income,,,,,,,,0.0014052875678121413,0.009201538960889377,0.001072318860404005,0.0057650956159441425
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0013438493486418396,0.7837084539352607,0.0014303879340349067,0.052501361605603675
4,sett_model,,,,,,,,,0.0013060593965177603,0.0013060593965177603,0.0011862713245980661,0.0011862713245980661
44,sett_scale,sett_stratify_split,,,,,,,,0.0012592947020466732,0.320050536554965,0.0009957051634338957,0.03293215329422217
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001232694277562816,0.7983496504389038,0.001279307355252529,0.045118357394999094
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0012222876590369193,0.007373787949514413,0.000979564771996305,0.00418657399137505
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0012083484435903122,0.00535260807199237,0.0010060202791879027,0.0032256392426043695
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.001191265209519197,0.3296786420390577,0.0009105549359935099,0.03342306901257
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0011890235362252042,0.7981507301437492,0.0010948985388017076,0.04495473419597893
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0011888493538752644,0.10468967574891622,0.0007491773050946612,0.018021572870563548
15,sett_cutoff,sett_scale,,,,,,,,0.0011676394297472142,0.09443061621940825,0.0015331441772847194,0.018143946492270836
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0011536606226044011,0.3495841850506782,0.001503771884918979,0.03862890206992411
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0011310904697086214,0.8158662141601493,0.0014147070251500765,0.0409135064564067
226,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0011118562011914845,0.34869562031010226,0.001616114774176377,0.0389436201581076
159,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,,,,,,0.001095266095905028,0.13419204760119097,0.0018383517164505235,0.020848551236377067
164,sett_cutoff,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,0.0010828845704057362,0.7353535977724424,0.0008443073288065128,0.046040738840420405
72,sett_cutoff,sett_scale,sett_stratify_split,,,,,,,0.0010748177240408386,0.7098915469477223,0.0006951275061199005,0.04588027661897769
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0010743187688334638,0.1317648325597408,0.0009280704060819271,0.022739455099805017
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.0010582937039296015,0.132440036272309,0.0014875223987885567,0.02283968465347925
56,sett_cutoff,sett_exclude_features,sett_scale,,,,,,,0.0010522809833835227,0.10641374438497599,0.0012787320299255554,0.017201534131209215
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0010488193510593596,0.14226654814257794,0.0014550373735565867,0.022701722033506438
108,sett_exclude_features,sett_scale,sett_stratify_split,,,,,,,0.0010365369521825943,0.33124980733710685,0.0016567073911632093,0.03388707524001705
128,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,,0.0010341626582440334,0.3352170829288351,0.001080556797090546,0.027918985108339213
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0010269920181382108,0.7971312768794389,0.0007177149808096018,0.042528380051502154
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0010084034803296408,0.125355237184057,0.0011321377102235252,0.019393009643663903
118,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,,0.0009970838038221193,0.329553669850327,0.0009611090691906201,0.03332672809324703
116,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,,0.0009850986322897418,0.018676587110055286,0.0017539886615253908,0.011724387464692594
103,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,,,,,,,0.000983455861408783,0.01834686173140691,0.0013529493645210008,0.007804358733796588
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.000975194725931228,0.006320839077677434,0.0010944677420932024,0.004236582296474366
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.000969141169713791,0.12411524928453604,0.0008785098528871837,0.01748690475089579
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.0009307280889161303,0.004544416232770172,0.0005889888381765619,0.0027506610675589313
319,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0009150026486722791,0.7905256301027695,0.00147254477910814,0.03676158862630808
28,sett_exclude_features,sett_scale,,,,,,,,0.0009072922719172087,0.008790748770286867,0.0016407163747745332,0.004577283165891428
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0008852533364606185,0.7683922229816358,0.0006640470439309077,0.053984526551008195
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0008816192310706892,0.12524160307190885,0.0007060110788307853,0.01784781469776864
162,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_scale,,,,,,0.0008635554561737127,0.13134620135565578,0.001794395884093714,0.020273091800173816
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0008628779501804746,0.01569015361256117,0.0009555663281695694,0.00714736961435791
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0008454701573937601,0.7831979507750841,0.0005216879142556145,0.05534129833645599
134,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_stratify_split,,,,,,0.0008430681485806016,0.729786102833857,0.0010554551833680027,0.04840313065972426
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.000818630664103151,0.13264289375409338,0.0008300716229846694,0.021693185670031284
307,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0008162979005058486,0.8009630268670025,0.0009926433169076055,0.044195217616831844
247,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0008132079900736826,0.35346210745764894,0.0007294395661683858,0.03056813797604706
17,sett_encode_categorical,sett_exclude_features,,,,,,,,0.0007898848515697037,0.006418627879831333,0.0014616101417434047,0.004005904771211032
5,sett_preprocess_age,,,,,,,,,0.0007754879119697426,0.0007754879119697426,0.0006350902159565295,0.0006350902159565295
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0007676648311769037,0.02264744935331308,0.00107245104602091,0.008795566190368002
228,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0007604308074843343,0.36195912943639874,0.0011021486720056886,0.03544318191555089
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0007553273308495557,0.01566891715060475,0.0008946636129965966,0.006799791994537158
180,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,0.000746900722239974,0.7221590295140561,0.0008071085800312626,0.04720590664239127
183,sett_cutoff,sett_preprocess_age,sett_scale,sett_stratify_split,,,,,,0.0007393515977327649,0.7237487985563655,0.0007026963020705132,0.048626596895212454
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.0007377360359395773,0.10286931705538258,0.0012104927923687059,0.018387562595727203
92,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,,0.0007336462890737128,0.3307322652316996,0.0011125861937725202,0.030839491779281806
299,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,0.0007299653622235207,0.7733026817403075,0.0005873918883215346,0.047264425715496154
234,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0007294462973064326,0.3533847571736792,0.0007304700536644241,0.03386245389425129
148,sett_cutoff,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,0.0007230846772693154,0.7410247417341103,0.0007708227694250056,0.03610353399537653
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0007209778835711503,0.1315616361786734,0.0005434423133468901,0.021982535736594987
78,sett_encode_categorical,sett_exclude_features,sett_stratify_split,,,,,,,0.0007111629985867794,0.32770866455706016,0.0009033027690836633,0.03732444354781866
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0007097067087178384,0.09893594825384602,0.0007953018659585439,0.01815449812246744
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0006902925287771589,0.014142454890744803,0.0005474748229785375,0.0067157118018625565
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0006843223034224233,0.11379688689362552,0.0007913434999240654,0.01982544879084229
139,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0006752791081502563,0.7257172208128693,0.001363361141501761,0.048448250621300024
68,sett_cutoff,sett_preprocess_age,sett_scale,,,,,,,0.0006730535645688427,0.09939388331975113,0.0006061340588799511,0.01755864174992235
121,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.0006534445060589647,0.32468249611671446,0.000433643902589187,0.032998569613348835
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0006472148760009721,0.010067139530175784,0.0007409732521314339,0.0062246527288678955
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0006217123924276088,0.09900228682962059,0.0004268432244676202,0.017774555687207073
309,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.0006066936279784457,0.787420700468239,0.0005142372535465738,0.036616753415247734
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0006012679742856718,0.3535925897283272,0.0003915051385828333,0.03236296832390708
249,sett_exclude_subgroups,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0005985219556963805,0.35267293500482916,0.000893738607251707,0.027289950042175076
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0005868197378895426,0.017306858275013975,0.0005446493972482031,0.007725192680818356
37,sett_model,sett_scale,,,,,,,,0.000584677736389308,0.004398181252768975,0.0007175467022954938,0.00342621080211048
113,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0005725070260009237,0.01631476977511048,0.0004076504048542589,0.007317066649265317
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0005724157817855943,0.019202898546315267,0.0006472808226839842,0.008348424459611831
237,sett_exclude_features,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.0005660076354908632,0.35378786393567985,0.000757642543122237,0.03170474272817258
170,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_scale,,,,,,0.0005571333343215045,0.11297653386174464,0.0007531446906386604,0.01844540651929382
229,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.0005552260803903136,0.3467977058294584,0.0004766935509895007,0.0348312200857208
129,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,,,,,,0.0005476904872974412,0.11789448233689173,0.0011054470317771125,0.01989011343198021
181,sett_cutoff,sett_preprocess_age,sett_preprocess_income,sett_scale,,,,,,0.0005286259613795437,0.12283159599347893,0.0008132459740634322,0.02001129174825209
46,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,,,,,,,0.0005082615992578641,0.10003336777123104,0.0006333927661867754,0.01887803048130559
21,sett_encode_categorical,sett_preprocess_income,,,,,,,,0.0004921505296989546,0.007765644660560326,0.0005393041117074925,0.006304789430255881
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0004891556788306308,0.11682672683053394,0.0004334853473254945,0.018087360251258504
232,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0004868936931814088,0.34137773663116,0.0003529661777185808,0.035392891170848303
124,sett_model,sett_scale,sett_stratify_split,,,,,,,0.0004830110818139169,0.32473721251148,0.0005345163402573264,0.032741042131762245
157,sett_cutoff,sett_exclude_features,sett_model,sett_scale,,,,,,0.0004767305235373736,0.11516949624481412,0.000585422349059525,0.017787286646841295
160,sett_cutoff,sett_exclude_features,sett_preprocess_age,sett_scale,,,,,,0.0004760255791041979,0.11567729885632709,0.0007643387276631452,0.01606161280909082
245,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,,0.00046339971461931053,0.33811335315598556,0.0005408892143963317,0.033615121827124075
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0004610942087057011,0.015033000910747855,0.000648613771456579,0.00953923338690835
51,sett_cutoff,sett_encode_categorical,sett_stratify_split,,,,,,,0.0004605884264652091,0.7053211947523493,0.0004480997009770269,0.046400684786282044
315,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.00045928021865016433,0.7552448757095271,0.00044828644380634464,0.05294438738041858
49,sett_cutoff,sett_encode_categorical,sett_preprocess_income,,,,,,,0.00044973568608655496,0.10830956685576779,0.00041020111492339145,0.020111036154534117
144,sett_cutoff,sett_encode_categorical,sett_preprocess_age,sett_preprocess_income,,,,,,0.00044671665137597047,0.11682155925935611,0.0013981548725447057,0.020022664771677065
233,sett_exclude_features,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0004464339656478086,0.02646509451767439,0.0011806207756705238,0.013276183267398116
