,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.26695942268178396,0.26695942268178396,0.015640668945287654,0.015640668945287654
0,sett_cutoff,,,,,,,,,0.22240811289226006,0.22240811289226006,0.013786518727395688,0.013786518727395688
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.09908793558782897,0.588455471161873,0.023598220455767992,0.034919125059243654
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.06464620343196853,0.3428858251722412,0.019043034939825416,0.01891161147885035
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02687142754702986,0.6982152080877354,0.012329300440773298,0.03869259892918353
4,sett_model,,,,,,,,,0.012062979946021546,0.012062979946021546,0.0069326261679593,0.0069326261679593
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.01177101718583908,0.6211803115066918,0.006375575406055247,0.03769665183173634
2,sett_exclude_features,,,,,,,,,0.01128019905848866,0.01128019905848866,0.0042764266444606965,0.0042764266444606965
10,sett_cutoff,sett_exclude_features,,,,,,,,0.006961906888375333,0.24065021883912407,0.0039264886082050745,0.013948251686464871
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.006602213393220106,0.6039142920849263,0.0052633474638910825,0.02945953840715492
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.006546009277061629,0.6086328937518437,0.004421388883938157,0.03341904792438307
16,sett_cutoff,sett_stratify_split,,,,,,,,0.006432433185589869,0.23223124221381622,0.0024625521556955123,0.013331808555868643
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0061838213544692005,0.7469393730760109,0.003038747432784562,0.04436338042921768
30,sett_exclude_subgroups,sett_model,,,,,,,,0.005815977884427143,0.28483838051223265,0.002432938003642228,0.019541636868256444
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.004844171030264785,0.36737376614959133,0.002886553770832897,0.022907018028868176
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0048126802006987456,0.7297281776866116,0.0032456020936522056,0.036445134380252556
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0046219541459627134,0.725956617007049,0.00372186821414789,0.03698713556904712
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.00439748289627845,0.6543199739963366,0.0038790735013751227,0.03444708026171666
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.003935908199473093,0.7170200117399431,0.00381914130889739,0.04108731288546909
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0038129377884095353,0.35389449785279636,0.003749273948757,0.021455028663093834
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0038082839913529706,0.2741584028091032,0.0034274564767003335,0.015599714919689874
36,sett_model,sett_preprocess_income,,,,,,,,0.00368031818830378,0.018527238564010402,0.002244370476662502,0.008080308551956123
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.003632340034361083,0.6500231556021825,0.0020604376830883333,0.030795234568383394
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.003466268595795798,0.2977675848965078,0.004077169546261205,0.019741228048167407
8,sett_stratify_split,,,,,,,,,0.0033906961359662707,0.0033906961359662707,0.0022590994202720373,0.0022590994202720373
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.003376200334776903,0.597846590404791,0.001815544670388276,0.03751076826825315
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.003238852000321111,0.2284309053222663,0.0021349119690802472,0.013083991319685084
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.003206520142085973,0.2607593963723994,0.002656205506566438,0.01866420881519663
12,sett_cutoff,sett_model,,,,,,,,0.003074865328531145,0.2375459581668128,0.0017300237012336053,0.01690514757463732
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0030466225183376355,0.2971830767483862,0.001646579732833147,0.019851545243097773
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0030247424314346796,0.25027381121655745,0.0018152870510836144,0.016735275278700664
129,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,,,,,,0.0028831081132623584,0.7105870343324363,0.0037039979677412124,0.036863223851802095
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002858493019814585,0.35447320628608725,0.001814658362171286,0.018078832902805087
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.002858421309905204,0.27101440131587223,0.0019545117482975207,0.017097442425614912
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0028345327464395515,0.2524675758959685,0.0017937730916632677,0.015653246236601574
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.002833815099827025,0.272577178211296,0.0020483590985912303,0.015096194934879528
6,sett_preprocess_income,,,,,,,,,0.002783940429685076,0.002783940429685076,0.001565841742761569,0.001565841742761569
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0026379153420863395,0.35093678311102505,0.002061931943439307,0.020036580777479072
46,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,,,,,,,0.002467603062253668,0.595506733510383,0.003190679818073994,0.034011182350825425
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0024045672225576076,0.6305437738121287,0.0029264580040814087,0.029413588730012763
42,sett_preprocess_income,sett_scale,,,,,,,,0.0024025360906261665,0.006298488238843832,0.00225514768745448,0.003938660181311588
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.00240140481052263,0.7970121128566667,0.0022917291416732193,0.03640776674639564
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0022697166992546036,0.2505207073310184,0.001341079260982973,0.012982454537574054
38,sett_model,sett_stratify_split,,,,,,,,0.0022639556611600883,0.017717631743147902,0.002267795859195007,0.007219218743529443
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0021344658216798074,0.2541377219490723,0.0014614622199087305,0.01373140749791011
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0021288762425962712,0.7945916327233485,0.0015793436473497847,0.04117197757315281
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0021145421983697174,0.025212926348032044,0.00264001430329723,0.009022455057849352
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.001959940274052842,0.22556461049049598,0.0015418337673040515,0.014675913567674724
18,sett_encode_categorical,sett_exclude_subgroups,,,,,,,,0.001859414286079848,0.26976294089098385,0.0018792763812572877,0.01582833556141425
136,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0018300301695309868,0.609066101169581,0.005482743962921992,0.040635215502226006
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018060606818288013,0.24106921524697672,0.0017126041083465077,0.01342761621092818
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0017801410770563963,0.22513235789243652,0.0017771495645100153,0.013170998980323619
25,sett_exclude_features,sett_model,,,,,,,,0.0017648121166366991,0.025107991121146905,0.000880218523236214,0.008419923916732094
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0017135989317141726,0.38786256783684114,0.0019197665623543487,0.02663399577488812
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.001661504204126849,0.623098303662154,0.0014093597999410975,0.03625591219267203
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0016447630129372173,0.2800192978653085,0.0012784214069387495,0.018334142297445576
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0016414352143786874,0.635223021670984,0.0007000584825258162,0.040229828642879356
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0015779793626335649,0.0156421188508073,0.0009654989781384204,0.004971801872460276
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0015299079667122953,0.016200803161167225,0.0012007712656345692,0.00495506374225503
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0015224821204342935,0.27081986998444396,0.001372447127448972,0.01781253854652732
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0014817969051210043,0.2466465773050903,0.0007871016390622475,0.01465063765646677
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.0014281900378571711,0.7056846713786752,0.0018714546407677735,0.03798298901111826
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.0014131573630663291,0.592248280381314,0.0010401187284695716,0.03493685360990353
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0013772751621546776,0.617173297608528,0.0010423972055216275,0.03222155015947682
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.001358063962609311,0.01383482034528104,0.0010550025003914422,0.0048054847770010595
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.0013309681216426966,0.2803466965264304,0.0011465228317372475,0.017086917650405053
65,sett_cutoff,sett_model,sett_scale,,,,,,,0.0013307117525563142,0.24156061693354786,0.0015944221530475422,0.01707208842224292
123,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0012867783151421627,0.026477788597604444,0.0012040360545260487,0.008882329183879666
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0012794713800263792,0.23746955815367476,0.0010182273496502042,0.014375921998001376
294,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,0.001260232997667411,0.7519708247826398,0.0011270627547940368,0.040006360953073646
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0012492914871558753,0.38673278510311715,0.0006158892327041984,0.01831848743240444
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0012323113115196827,0.2820175895714605,0.0011494315797227674,0.015611019748257375
109,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,,0.0012291957834848425,0.29090072521492194,0.0005662964436612855,0.020945206508967643
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0012083982399725551,0.6945165482501235,0.000986940208833807,0.03214422602285476
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.0012020609503833385,0.6134300682453104,0.0013253473606158169,0.027830095440998643
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0011994960829711677,0.23366028673354922,0.0010919351002364067,0.014089895000162451
5,sett_preprocess_age,,,,,,,,,0.0011965573241830704,0.0011965573241830704,0.0007961591594390404,0.0007961591594390404
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0011562342948496394,0.6292285104739657,0.000997384572384505,0.03762994889790637
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0011558916497378113,0.7736175133696326,0.000555752426753133,0.04655653344470608
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0011547118888591934,0.2812922218743745,0.0006944081754157759,0.01794639078058617
80,sett_encode_categorical,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0011406031774066601,0.2755594003564454,0.0025467551781537365,0.019005563060256532
7,sett_scale,,,,,,,,,0.001112011718532589,0.001112011718532589,0.0011961777575092774,0.0011961777575092774
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0010906207879575365,0.6315595206002655,0.001002599638126844,0.03722795994313778
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0010867644794985845,0.3461776277361657,0.0011271696281156683,0.018065814076605572
113,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0010850070426012088,0.2782396958085073,0.0009337817557927487,0.016958233540253134
224,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0010632883501040355,0.3650511327182474,0.0014227662050736634,0.023580979912026998
37,sett_model,sett_scale,,,,,,,,0.0010565977764931712,0.014231589441047306,0.001145383666107596,0.006611390413183107
73,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.0010467756640195217,0.34709588757041987,0.0008128094576612738,0.019339862839522073
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.001039589368339054,0.03418981847010838,0.000563533445968109,0.009931042811756649
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.001030911593949744,0.2447651439582096,0.0013300290123458476,0.013506666219620364
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.001009119921325523,0.00718375648697687,0.0007639716578580854,0.0035932603879372375
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0010027896383943764,0.24248341568855925,0.000753095843089069,0.017885219844980253
220,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0009996990819436072,0.37888804269155685,0.0005154026316536288,0.024243144723462503
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0009823687487834185,0.7668278991761274,0.0007911925992210273,0.03861229974433457
