,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2243713031115216,0.2243713031115216,0.022039559838655052,0.022039559838655052
0,sett_cutoff,,,,,,,,,0.1961351610315819,0.1961351610315819,0.022398327753769622,0.022398327753769622
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.08292198620199687,0.32420229188033034,0.04099662949583344,0.057790946161276426
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.06664137077338293,0.48714783491648644,0.020439245465641256,0.04340535850495384
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.033216779174257666,0.6288142246405407,0.015714351245537734,0.06605756192652308
2,sett_exclude_features,,,,,,,,,0.01690900256681189,0.01690900256681189,0.008552428781524209,0.008552428781524209
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.01583713611378113,0.5300282758803542,0.009597013798737154,0.04243430800899104
4,sett_model,,,,,,,,,0.01060777396467942,0.01060777396467942,0.004218000124649045,0.004218000124649045
16,sett_cutoff,sett_stratify_split,,,,,,,,0.010552212695786604,0.21299244452371316,0.007771948630586249,0.029116936789426354
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.010186021357955353,0.24086239526582157,0.008855322505221974,0.018493544301435422
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.008976658057972015,0.6948295025955156,0.008716151163710722,0.06280324558026994
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.008940487154118349,0.5181596064714129,0.008824196568861263,0.0444368487487026
10,sett_cutoff,sett_exclude_features,,,,,,,,0.008618621780987837,0.22166278537938167,0.00622634676919241,0.019966288294198564
30,sett_exclude_subgroups,sett_model,,,,,,,,0.008095891128947898,0.2430749682051489,0.00455485585956147,0.02057484000059604
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.007959300565613564,0.35180054611789524,0.009802329727928596,0.05975716379227217
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.006741741104583571,0.677161181779959,0.003897407143392577,0.06519668703065401
8,sett_stratify_split,,,,,,,,,0.006305070796344632,0.006305070796344632,0.0046811814954202296,0.0046811814954202296
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.006007238615444914,0.5058300209866433,0.00765003140804902,0.0455817734851775
6,sett_preprocess_income,,,,,,,,,0.0054162580889980435,0.0054162580889980435,0.005369127416261494,0.005369127416261494
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.005388239669488789,0.5743389045522335,0.0051318191892241825,0.05113524812058899
36,sett_model,sett_preprocess_income,,,,,,,,0.005117926970120699,0.021141959023798163,0.006561426457418325,0.009314308596850004
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.004558796361979837,0.23434635756249947,0.004334272013993632,0.022563925539804672
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.004430397245773726,0.3496076560226591,0.002367883349451542,0.0578046061407778
5,sett_preprocess_age,,,,,,,,,0.004161198601957928,0.004161198601957928,0.002797510716878611,0.002797510716878611
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.004133867647937937,0.6601014861194872,0.0028661486305826753,0.06488711859191972
174,sett_cutoff,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,0.004113215045441108,0.5452210193216567,0.010909980021854733,0.05527264587452348
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.003891745431206814,0.24180122588537634,0.00466079278689816,0.022426683415489878
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.003737987579534721,0.34048016175254625,0.0030192839153660345,0.056747596622499036
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.003682237639646475,0.5584127193155405,0.0034777961872757873,0.04408186691407393
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0034320537712499307,0.26489044459433536,0.002470236912421902,0.017427703920920988
12,sett_cutoff,sett_model,,,,,,,,0.0033676193071807774,0.21011055430344214,0.0030002091666488082,0.02274387929582173
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.003354746555346417,0.7645264918306536,0.0034997769828722454,0.06871689315129799
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.003147861517651391,0.02636193488080791,0.0029029378461609585,0.010300778335386257
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.00312113553459623,0.23165363724807575,0.0024588074975252796,0.022190609922143854
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003051016849870282,0.24471894723903456,0.0020209806720252015,0.024719575200873523
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0029953226476752064,0.49984278758464473,0.0015579719392705392,0.04342545689468806
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0026998930037340765,0.20425131212431405,0.002592756594653102,0.0222636059873035
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0025997746937673023,0.5257056292726916,0.0032610596291267626,0.049117969423720285
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0025862332125775734,0.23144640147178747,0.0016144616935159315,0.030066365026985346
