,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.19944406005686116,0.19944406005686116,0.03819591195311859,0.03819591195311859
0,sett_cutoff,,,,,,,,,0.19873585510173417,0.19873585510173417,0.032293357824299686,0.032293357824299686
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.07839095720036071,0.28634767499634617,0.030011057851080568,0.058683454563138164
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.06830958049212091,0.4664894956507163,0.021664400101813166,0.040612047362076256
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.029895413166611047,0.5962181416082617,0.015376178784166658,0.04159868331105278
10,sett_cutoff,sett_exclude_features,,,,,,,,0.012929617851449427,0.22017813069230785,0.014998462804304417,0.04397070599169303
30,sett_exclude_subgroups,sett_model,,,,,,,,0.011895739780470059,0.21764595944705628,0.008615425875556288,0.04221213670770703
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.011448562618082936,0.49069725660131663,0.011807180003870116,0.04405180412447478
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.011030093135854676,0.5003684471008011,0.006082217626829199,0.042014759661787936
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.009584069846348311,0.6516431824837854,0.007353357881252874,0.05105826984810456
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.009298213325743982,0.49219623913223853,0.006543456427029844,0.04375587312615327
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.00927417157642775,0.4874873508058341,0.006213881960592566,0.04119130279078758
2,sett_exclude_features,,,,,,,,,0.008512657739124279,0.008512657739124279,0.005532704308750452,0.005532704308750452
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.007175007696607517,0.6345148362010585,0.0065585116876997075,0.04220149323245057
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007037166496900126,0.31391935359093603,0.006655674295336289,0.06606207223581813
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.00656929723408198,0.6380236777165744,0.007566761345252933,0.05143045549455472
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.006395838664334191,0.2109109214916713,0.004603276405524432,0.03987506318647327
4,sett_model,,,,,,,,,0.006306159609725046,0.006306159609725046,0.0031251378138047767,0.0031251378138047767
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.005926319652299505,0.2085772089390754,0.005799272000084953,0.0384901085898035
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.005767428778695725,0.4797433230306599,0.005833448395447096,0.0405382933567632
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.005736947864279715,0.2071529783655629,0.003977876598867961,0.038522022866173164
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.00565584061527887,0.6208319234120834,0.0048681575369629556,0.036089651357790464
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.005589807372538018,0.3012806005018263,0.005513989222329401,0.05943558980725136
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.005369606239875392,0.6340956493431018,0.005125155431136649,0.04473181874406928
8,sett_stratify_split,,,,,,,,,0.005071022770475918,0.005071022770475918,0.003393115238180221,0.003393115238180221
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.004951077672532867,0.3046901469264116,0.004928544947915452,0.06007350682338578
16,sett_cutoff,sett_stratify_split,,,,,,,,0.004941668720968203,0.20874854659317826,0.003287955359890164,0.03157795510530296
12,sett_cutoff,sett_model,,,,,,,,0.004646958924035025,0.2096889736354942,0.004311218787060501,0.03152041760630063
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.004112375709926697,0.5348616914147263,0.004438317780660949,0.05023382153419863
36,sett_model,sett_preprocess_income,,,,,,,,0.004099313472539952,0.01237744352668702,0.005547016339877851,0.007695052648775339
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004014765269988396,0.20472259081614458,0.002512573377521118,0.032386316285770114
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.003802101555919231,0.5348812990100935,0.003538225220986548,0.044147424062263865
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0036260494503032557,0.20556873378195212,0.0019221913340988761,0.031593803163522095
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0035393707789858377,0.3009662094422244,0.004498336334946309,0.05976086969014754
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.003525953487199739,0.22330097630964435,0.004064226905238353,0.03296239188435418
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0035256672236013012,0.5372134829995245,0.0029112324144534288,0.04987911404734089
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.003393532512658979,0.5267745551452556,0.003110632419021003,0.04434520722652682
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0032651817798290336,0.22477276502376048,0.0025573106138786954,0.030473130133153413
5,sett_preprocess_age,,,,,,,,,0.0032068292299146967,0.0032068292299146967,0.0034515996875190205,0.0034515996875190205
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.002926185527726166,0.5077621076894503,0.0041661639029811955,0.044924641168842636
7,sett_scale,,,,,,,,,0.00290919221304569,0.00290919221304569,0.004146197712985366,0.004146197712985366
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0028998245442930335,0.2306988907752517,0.0017445250035992672,0.044731137319334924
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0028502321707956964,0.29550496477044563,0.0023708560441509123,0.053594837499943176
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.002832765094998276,0.22478230449020847,0.002338937555095409,0.040205514310946815
109,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,,0.0028284925586963853,0.23105267179080413,0.002607060185548181,0.04320501093083702
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0028147549807001847,0.2317717791379042,0.0024491975604625424,0.04387980817811333
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0027336924433963815,0.5185852482229062,0.0035746112946345664,0.04770356700150969
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0026538848974531747,0.23476923990392765,0.002027207028306413,0.042491657701565023
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.002592240374695809,0.23605610230825835,0.0016624331681039768,0.04185241179169346
