,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.23050128578361118,0.23050128578361118,0.029168402405372388,0.029168402405372388
0,sett_cutoff,,,,,,,,,0.19978742714580938,0.19978742714580938,0.026117546974529803,0.026117546974529803
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.06551576433863374,0.49580447726805427,0.021824423440206808,0.04974574602759275
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.06256507164104183,0.303141567823244,0.029122308696363782,0.0536976027742348
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.021479155064847336,0.5955836175683564,0.015021783543607503,0.07907976683373766
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.013772847076574897,0.5317098117630195,0.02093995693926462,0.05240173002555475
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0106517695684771,0.5208406868217916,0.013961055421431019,0.043752208317673034
30,sett_exclude_subgroups,sett_model,,,,,,,,0.010098520426992122,0.24857060188059615,0.0067980987539116595,0.0292148638541375
2,sett_exclude_features,,,,,,,,,0.010075210398590953,0.010075210398590953,0.00548204206309061,0.00548204206309061
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.008340156648288029,0.5208749933559926,0.008103560331328826,0.04871504118540332
8,sett_stratify_split,,,,,,,,,0.008127881533280302,0.008127881533280302,0.005002671076261068,0.005002671076261068
4,sett_model,,,,,,,,,0.007970795669992876,0.007970795669992876,0.006534830506921966,0.006534830506921966
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.007890239263192782,0.5190156760471953,0.005921324520361217,0.04843910794607693
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.007559270778257193,0.6412603532074634,0.007936936288445214,0.07030407923944801
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0073844687536451315,0.6483836635100984,0.005055105741840184,0.07436146274747994
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0067120789562245264,0.32310725661026235,0.009722081195689092,0.059802852549722896
6,sett_preprocess_income,,,,,,,,,0.0060690827426617255,0.0060690827426617255,0.004985655581169506,0.004985655581169506
36,sett_model,sett_preprocess_income,,,,,,,,0.005884556742073005,0.019924435154727603,0.005292884307356624,0.012787863928477212
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005659703195822097,0.21552234074022245,0.004315430422537549,0.02798500289432497
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.005605121696685944,0.2087320490721163,0.005932879775984741,0.027613964799293386
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.005511446285139745,0.63544124189496,0.0051894790672416865,0.0828425418819417
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.005507374610065631,0.24207774313633854,0.004670837263626998,0.029732073076173184
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.00547569342446682,0.32099694158892705,0.0048897473854368515,0.05230706010934292
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.005439818058953365,0.23928060407218546,0.004122917501973597,0.027701945872283737
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.005215951791141571,0.6372193441399958,0.004010037220501092,0.07690089293987469
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0049488988639235145,0.32235913976195346,0.005281027395769126,0.053225374393427255
46,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,,,,,,,0.004836563546540553,0.5073844468990322,0.0118775141190315,0.05713338459058859
16,sett_cutoff,sett_stratify_split,,,,,,,,0.004780916351091841,0.21269622503018154,0.0026882049734482773,0.02571606735088803
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.004588365545944542,0.5691107527214141,0.0043963228256700465,0.05340721005350653
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.004174955311786278,0.5706960096671951,0.003991080078735299,0.05054452029639357
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.00408112984240842,0.23483149845323054,0.003646825051430038,0.02575964549529019
12,sett_cutoff,sett_model,,,,,,,,0.0040631713214052505,0.21182139413720752,0.0027257391602100605,0.02708651183599547
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.004022426838785844,0.5564279634740626,0.0026974579639722496,0.04053027471469182
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.004005199830003577,0.23207252454917487,0.00423354682287809,0.032800270526050765
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0038736129320409455,0.23340525732521156,0.002431643465119241,0.027788278505584834
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0038215615552781466,0.24245072887216962,0.002256144167264936,0.029188246855210785
18,sett_encode_categorical,sett_exclude_subgroups,,,,,,,,0.0037621426012478284,0.23490041094537634,0.010051970434762195,0.028118841275489442
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0037445021632209357,0.20960101205169207,0.0025369596798348925,0.025806086378307436
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.003684400701611877,0.5666063066627415,0.0023603268013938413,0.05000801704012233
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0036612930995406,0.3268475136813196,0.002625874640030287,0.051411960757777604
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.003600362052642008,0.017015072680853886,0.003227044499190136,0.008261834525281744
113,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0035537833680063455,0.25670647616272185,0.0038350042365192017,0.02837578378076794
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0035131160161362375,0.23103265180129945,0.0032688110347663863,0.028776712119324647
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.003443129147135104,0.5557489669289856,0.0028001795999241575,0.045369734643915756
5,sett_preprocess_age,,,,,,,,,0.003339500229620926,0.003339500229620926,0.002797954846894194,0.002797954846894194
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.003073245993963601,0.22978103549689272,0.0037373175615809063,0.03143258272515374
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0027457478280316174,0.22975882595220323,0.0021801230923381857,0.028788410974226814
