,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.27371213723479393,0.27371213723479393,0.03564282490756912,0.03564282490756912
0,sett_cutoff,,,,,,,,,0.21030373321368412,0.21030373321368412,0.03415702408173646,0.03415702408173646
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.07787300356392098,0.36277611706555957,0.03508633470895199,0.04679493544567723
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0682779582920139,0.5522938287404919,0.020481732649764123,0.065660446620897
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.025581661546804635,0.6758460072024212,0.01522435712978475,0.050835971835548166
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.014690104525236114,0.5934121849811724,0.01525523004046032,0.06188406674075946
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.01360030753672742,0.7471378964345674,0.012980865470708427,0.04194214187083947
30,sett_exclude_subgroups,sett_model,,,,,,,,0.012272814382159117,0.29408355767067806,0.00949223277663193,0.03823930301601889
16,sett_cutoff,sett_stratify_split,,,,,,,,0.01206259987227844,0.23143127983271772,0.006062098942176531,0.03613562976830091
2,sett_exclude_features,,,,,,,,,0.01119097626684466,0.01119097626684466,0.00682030273856811,0.00682030273856811
8,sett_stratify_split,,,,,,,,,0.009064946746755152,0.009064946746755152,0.0028847373732682775,0.0028847373732682775
10,sett_cutoff,sett_exclude_features,,,,,,,,0.008906537084359034,0.2304012465648878,0.0059308986016283136,0.03185149091109817
4,sett_model,,,,,,,,,0.008098606053725099,0.008098606053725099,0.005286506818515203,0.005286506818515203
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007899269440987289,0.3936410252807696,0.0063950076994858,0.04897055833174809
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.006335436630062891,0.5838464202794027,0.003124161040084575,0.06792099323117012
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.006079737675412285,0.25323063991192396,0.005022509309079475,0.025964837729518884
12,sett_cutoff,sett_model,,,,,,,,0.006056831279560186,0.2244591705469694,0.003831458908195245,0.031588805909146686
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.005286507335417862,0.5638718189337899,0.010467137252767277,0.07377615519603085
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.005081937941227821,0.7230193670527321,0.0028861061649009274,0.05170174006026315
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.004884904459656549,0.5629474528844602,0.0058527734955556255,0.06342882157932107
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0044238555928997145,0.5642511618633144,0.0033249683035179002,0.06576930640515267
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.004216420952418972,0.6392315431129219,0.003155275568170634,0.06604340280936001
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.00419086054066723,0.3140533409788472,0.004258027054396092,0.039983748639989665
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.004089608289814321,0.2868666922713634,0.0021100211886427175,0.03564589505632705
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.003669560113475731,0.023925483127075542,0.00186851216463393,0.006913201075241676
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003627341580222478,0.25882569487761964,0.001849884901325709,0.03435493430788241
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.0034840595935855443,0.27836274854419196,0.002593203069087806,0.03594202152078785
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.003241928676474019,0.3828421608920788,0.001689100280508722,0.04583966307849589
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0032351173688200765,0.2514462022657555,0.003054297346400542,0.0338190819043936
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0032189667338271034,0.6949491266959813,0.0030512013574325223,0.047467214405812336
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0028881119801304703,0.27850585289563384,0.005184159621891073,0.036968147898491205
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.002882866220524547,0.2143531511500212,0.001751776504177013,0.03367078597094064
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.002858316244461372,0.26841448963674897,0.008039054662287071,0.0333314188359986
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0026797108091181215,0.6967179610576533,0.001805853807159851,0.053327494418706975
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0026571816593753566,0.2773307557183224,0.0032405821898769294,0.03480170534219456
38,sett_model,sett_stratify_split,,,,,,,,0.0026243677309323956,0.019787920531412644,0.0029893835629527105,0.00713793134576589
25,sett_exclude_features,sett_model,,,,,,,,0.0025942183383385886,0.021883800658908346,0.001923299959712465,0.009259846430941184
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.002498466886575124,0.37147640399622606,0.001991610862140226,0.048385365599833315
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.002493584339035083,0.6114650220963002,0.0022643264771095876,0.05884471937995177
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.002408403480003348,0.6121774047945676,0.0021480641145860714,0.05895254195692483
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0023596321929815187,0.8165685560804989,0.0012430646219023871,0.03963081466825418
