,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2511251456079382,0.2511251456079382,0.038723877025043915,0.038723877025043915
0,sett_cutoff,,,,,,,,,0.16955136897837592,0.16955136897837592,0.02643237607995733,0.02643237607995733
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.08051888621461,0.34521636829216606,0.0276513758495162,0.04121900813154651
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.06728691318154338,0.48796342776785745,0.02000062420676491,0.05208069371977309
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.035040533847432026,0.6268541746351375,0.017612194422126026,0.05816804724078529
2,sett_exclude_features,,,,,,,,,0.013572336469617838,0.013572336469617838,0.005115680515045708,0.005115680515045708
4,sett_model,,,,,,,,,0.010950380243811777,0.010950380243811777,0.006297455175768302,0.006297455175768302
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.010942602413973046,0.514970344670958,0.009149227174246072,0.0524323246432951
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.009816705810752079,0.5213457749295867,0.005346181277250652,0.054215814878710404
10,sett_cutoff,sett_exclude_features,,,,,,,,0.009758990335620225,0.19288269578361394,0.006460527760949299,0.026478254421160922
30,sett_exclude_subgroups,sett_model,,,,,,,,0.009202095573427303,0.2712776214251773,0.007110638587102449,0.03791458402732493
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.008550782659741898,0.6746970355061142,0.005454834457597982,0.04737856788490659
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.008199969900120833,0.6789215512306532,0.00630040239049219,0.06275565568492993
16,sett_cutoff,sett_stratify_split,,,,,,,,0.007556315913280278,0.18150273931005123,0.00452675127133594,0.026792907681325015
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.006854964949581404,0.510804264190621,0.004319467400025076,0.05063370888839648
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.006457024736173258,0.6642038797187582,0.010735798254935649,0.0524246358333303
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.006102508546679575,0.3647955183795214,0.006961238402336892,0.03867248407681411
6,sett_preprocess_income,,,,,,,,,0.005963432879668057,0.005963432879668057,0.004226955539645601,0.004226955539645601
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.005625672030920287,0.5039788123755814,0.0029976115385533715,0.05050930495226877
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.005528297713993791,0.5643861400023442,0.003192153022174081,0.05574296326506434
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005444712679206995,0.37308505925327684,0.003982762270592935,0.04108547354775917
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0050897038116500815,0.18060450566969405,0.004613038673495493,0.028313646797523313
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0050111777978094595,0.2620997562854157,0.00206208543219371,0.039317465562253934
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.004883025947554281,0.6555426295220809,0.004104967060815242,0.055011690051565136
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.004738358599982546,0.5569815438799217,0.0055148617675675055,0.054337755217072486
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.004695732638541015,0.25843781666113386,0.002986755500044298,0.03755007335619227
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.004434488164937089,0.29000494103588603,0.0037352051550337073,0.03944671036302856
8,sett_stratify_split,,,,,,,,,0.0043950544183950484,0.0043950544183950484,0.0024311492275149358,0.0024311492275149358
