,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.21520510115437305,0.21520510115437305,0.03217958591707031,0.03217958591707031
0,sett_cutoff,,,,,,,,,0.19612235902059433,0.19612235902059433,0.02800957589307158,0.02800957589307158
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.07919186747965688,0.30354528420921173,0.023647766867652343,0.049229628114829616
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.06920489726217607,0.48053235743714345,0.02460119147244937,0.061808416672682956
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.021659491099092883,0.5983934066899519,0.009861164617669256,0.07079769219829116
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.013735212875980306,0.3363595986304783,0.02242823004123801,0.04455454566235315
2,sett_exclude_features,,,,,,,,,0.009148315575181793,0.009148315575181793,0.004617454253579843,0.004617454253579843
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.00912764393072888,0.23156325464398103,0.010662765410927673,0.02536421716798203
16,sett_cutoff,sett_stratify_split,,,,,,,,0.00837996344612451,0.20823945969397276,0.004861135404868445,0.029193792754152827
4,sett_model,,,,,,,,,0.00815708229434847,0.00815708229434847,0.005814515580743874,0.005814515580743874
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00800046204481739,0.5056157004594006,0.005803713778089436,0.05922984012377344
10,sett_cutoff,sett_exclude_features,,,,,,,,0.007861375098876789,0.21313204969465294,0.004187249700625052,0.026809559458741965
30,sett_exclude_subgroups,sett_model,,,,,,,,0.007510754780750774,0.2308729382294723,0.0058036048167531,0.03181201734313293
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.007455007033233916,0.6483352979054107,0.008001793070396676,0.045595299261691404
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.007333685333253204,0.5064937054311537,0.007359418416692723,0.06101506031534729
7,sett_scale,,,,,,,,,0.007230509558879079,0.007230509558879079,0.005307875399133044,0.005307875399133044
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0068949248890472735,0.5020944775565299,0.006057237746810966,0.06317745562944858
6,sett_preprocess_income,,,,,,,,,0.006202358962797048,0.006202358962797048,0.003933274055723999,0.003933274055723999
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.006149559141346516,0.22755701925851662,0.0037525689214421808,0.03159426592456255
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.00606537912128354,0.6384411833622639,0.005388814488646192,0.06969065054100743
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.005738692814023226,0.6343313144479227,0.004672531261892222,0.06520564138860906
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.005521235273782775,0.5047272482036025,0.004149956262844985,0.049143464573525406
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.005376664044683727,0.6222528291080927,0.006191026698234693,0.07946982902580127
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0052620907297036106,0.6385919292883149,0.003188784820945526,0.0728290748505738
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0049657803040614075,0.22390801868568838,0.00464919510475308,0.02972789539307929
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.004700642780550055,0.49324009911218225,0.004245806904009067,0.06575872841628985
42,sett_preprocess_income,sett_scale,,,,,,,,0.004635390342097744,0.01806825886377387,0.0048799825401464325,0.010492660964737228
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.00422595621580882,0.32227291105851863,0.004447384983979067,0.04466773032438653
