,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.20976795566633585,0.20976795566633585,0.04482164450202415,0.04482164450202415
0,sett_cutoff,,,,,,,,,0.16786811461056272,0.16786811461056272,0.036701325329891656,0.036701325329891656
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10443374891859061,0.32916272680017333,0.03777452372063759,0.06483916493498808
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.06216319339390164,0.43979926367080024,0.020498545334962637,0.05879788553199882
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.03799575267347057,0.6091693304986252,0.022956940621339742,0.09017496837886818
4,sett_model,,,,,,,,,0.019264278372612145,0.019264278372612145,0.007062424919100152,0.007062424919100152
2,sett_exclude_features,,,,,,,,,0.014961022215246873,0.014961022215246873,0.006679335744778414,0.006679335744778414
10,sett_cutoff,sett_exclude_features,,,,,,,,0.01197954302051693,0.19480867984632652,0.007013662051606028,0.039504919443358454
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.009113773027623638,0.48111176013266177,0.005494127925142991,0.059255010496798176
30,sett_exclude_subgroups,sett_model,,,,,,,,0.008665761358598797,0.2376979953975468,0.0045851720062582675,0.04367860756711544
36,sett_model,sett_preprocess_income,,,,,,,,0.008576550752444097,0.03458097607092671,0.00639094922934192,0.00971478972394764
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.008394591695064612,0.46484031066728426,0.008556375064359129,0.05546689504009292
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.006793714869350367,0.26416579512086935,0.01036207771359227,0.04328621270596391
6,sett_preprocess_income,,,,,,,,,0.006740146945870468,0.006740146945870468,0.004783905988926182,0.004783905988926182
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.006451310976533738,0.6490439165178874,0.005220018834691638,0.08125657927358591
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0063559851381984785,0.3659934710744658,0.007008429550079337,0.06576330554827639
