,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.22249931136496598,0.22249931136496598,0.041034691978182186,0.041034691978182186
0,sett_cutoff,,,,,,,,,0.18582175171435372,0.18582175171435372,0.02737041273601368,0.02737041273601368
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.08299996143407291,0.31957877773369775,0.03277598173152371,0.053399609366730875
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.06411756287008151,0.4724386259494012,0.024255735433638494,0.07057885897493738
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02991192168890886,0.6088771552779251,0.02191810077978688,0.0785228071518871
2,sett_exclude_features,,,,,,,,,0.01407950493465882,0.01407950493465882,0.008397158293050416,0.008397158293050416
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.011766752595845871,0.5053778503927769,0.008006024957989667,0.07401694041167124
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.009880198760808588,0.6553283728231738,0.011879699790814349,0.07030811843178297
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.009550225926657094,0.4965767250726923,0.009589370183851371,0.06604516382949097
10,sett_cutoff,sett_exclude_features,,,,,,,,0.009447141270883211,0.20934839791989576,0.005960851663243493,0.02969558865007276
4,sett_model,,,,,,,,,0.008989252425948425,0.008989252425948425,0.005387709553364541,0.005387709553364541
30,sett_exclude_subgroups,sett_model,,,,,,,,0.00835726627143683,0.23984583006235125,0.00606367413188049,0.04274748320645103
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.008004394738800158,0.49450940207407956,0.006735793986753561,0.0767336670154806
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.007513644070609678,0.6616009589965348,0.00492712518907249,0.0739285221594579
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.007197216348193243,0.23374611176529353,0.006029936417898211,0.040102106381016606
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.006688586842191983,0.49010876229654976,0.0075424137168171755,0.06940482642221528
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.006345811771236068,0.33972166771197265,0.005331114511917214,0.04913018112182968
36,sett_model,sett_preprocess_income,,,,,,,,0.006101345562247599,0.019531089930460283,0.0037904812532333684,0.008314608642382535
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.005854223274378177,0.23279402658160842,0.004429823151981149,0.04256176831773639
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.005426963197886436,0.6468614514797142,0.0034517490794938903,0.07885543262153344
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.005242624324940654,0.542527811435361,0.006276799510400206,0.0688189729029085
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0048983853190612036,0.34481583379269365,0.003644803361597695,0.0523604075727514
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.004582466830219553,0.5445572124212466,0.003446090808138601,0.07904581210855156
6,sett_preprocess_income,,,,,,,,,0.0044404919422642575,0.0044404919422642575,0.005299175575238005,0.005299175575238005
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004380397843013692,0.22953615338155192,0.003535370818572768,0.032735500921234485
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0043420132041431005,0.33681293160107206,0.0025574402035993885,0.04972135943536797
5,sett_preprocess_age,,,,,,,,,0.004049584052134299,0.004049584052134299,0.0031329298101726417,0.0031329298101726417
8,sett_stratify_split,,,,,,,,,0.0039516438463186344,0.0039516438463186344,0.0027957193954683377,0.0027957193954683377
12,sett_cutoff,sett_model,,,,,,,,0.0038259531501446007,0.19863695729044675,0.002692725817619354,0.029514366521558096
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.003819001678842351,0.33324177400358473,0.00611763651885827,0.05261009247192519
109,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,,0.0038069181561734902,0.2566428211411085,0.004921139828439509,0.040302450713405345
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0037716661692357026,0.1940339098258537,0.002593703152048306,0.02711420543211423
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.003726585226725623,0.23017754043801025,0.004373456635737961,0.04055680449512123
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.003707634750050932,0.6386920337494575,0.00293624791492993,0.07362451977934754
