,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25041321451234044,0.25041321451234044,0.0294390926893015,0.0294390926893015
0,sett_cutoff,,,,,,,,,0.1888944567786365,0.1888944567786365,0.028143721956315114,0.028143721956315114
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08926092105491479,0.5285685923458918,0.021165380670252875,0.04274479747788884
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.08643165043751466,0.3487977758856542,0.02462371647016715,0.03676338452197623
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.024829083595700484,0.6593812894445803,0.007558458558543838,0.051795901381050995
2,sett_exclude_features,,,,,,,,,0.011952910935799105,0.011952910935799105,0.005473520819399897,0.005473520819399897
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.009675825907693383,0.710393265433853,0.015426524528509431,0.052230580548385835
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009664233360136363,0.20693681648489548,0.004322363899894905,0.033230718528997436
4,sett_model,,,,,,,,,0.009604442009312599,0.009604442009312599,0.004616522788511363,0.004616522788511363
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.008961117132668343,0.7126835613928403,0.00805128358453528,0.05460131838073803
8,sett_stratify_split,,,,,,,,,0.008378126346122618,0.008378126346122618,0.004383829060846307,0.004383829060846307
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.008108460770629766,0.5598216063714296,0.004540979422928945,0.04436302236555963
10,sett_cutoff,sett_exclude_features,,,,,,,,0.007599052129674317,0.20844641984410994,0.00444001614569916,0.029203516356608613
30,sett_exclude_subgroups,sett_model,,,,,,,,0.007334857936638474,0.26735251445829156,0.007333416718157506,0.030423954601801313
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.007252674788421258,0.5560219338731727,0.007500962183889573,0.03909706679259664
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007017529376539696,0.37538834430707607,0.008718939565431356,0.03700236467596207
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.005869294233134657,0.37139345684685543,0.00412243900711806,0.032442516337581724
7,sett_scale,,,,,,,,,0.005376609761754175,0.005376609761754175,0.003876685870148423,0.003876685870148423
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.005102193548649167,0.2638935344071123,0.003171248812136851,0.029024606311056488
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004231540078827471,0.2281775078240897,0.003482367364053342,0.027202533748228043
6,sett_preprocess_income,,,,,,,,,0.004178673008187074,0.004178673008187074,0.003654952808935242,0.003654952808935242
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003972779723624353,0.23370762610728807,0.0030138956476622445,0.03642877493953542
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.0038382553408279037,0.27209239873670643,0.009873218350777306,0.03161276659958531
36,sett_model,sett_preprocess_income,,,,,,,,0.0037007410004931012,0.017483856017992773,0.0026619687114866606,0.007075709231058399
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.003524613063181331,0.5420042906425806,0.0030553076909720857,0.043511369170279215
12,sett_cutoff,sett_model,,,,,,,,0.0032613667929085694,0.2017602655808577,0.002934771680760839,0.025665813824715302
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.003246066833294801,0.023577104115216525,0.0029989576843417742,0.0071703108557486855
