,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24340804482742132,0.24340804482742132,0.032814617758652215,0.032814617758652215
0,sett_cutoff,,,,,,,,,0.20396861558996135,0.20396861558996135,0.033228087149612805,0.033228087149612805
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0763764429425064,0.32699130401674925,0.029841673277319923,0.04194988275360227
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0703171349190956,0.5176937953364783,0.02153969417116529,0.050285456780523125
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02516556322780765,0.6322088125175406,0.01087548913626883,0.037451059646490446
30,sett_exclude_subgroups,sett_model,,,,,,,,0.01964728185343631,0.2737028980331151,0.012968963514220583,0.034172169442339466
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.011754828292610996,0.5639651932341723,0.00633439446229056,0.048491370550452606
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.011070759466150725,0.7064731487837379,0.0059660810015039,0.03861102719989703
4,sett_model,,,,,,,,,0.010647571352257489,0.010647571352257489,0.004264880241184695,0.004264880241184695
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.008993483989260257,0.5405268528912319,0.0073703293861936865,0.04809346197576104
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.008914468936827749,0.3686656876722644,0.00875511487933051,0.04742069842007215
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.008818136950056182,0.5429550607019527,0.00798721413699021,0.05774342387344268
2,sett_exclude_features,,,,,,,,,0.00720681624682156,0.00720681624682156,0.0043429213313545415,0.0043429213313545415
36,sett_model,sett_preprocess_income,,,,,,,,0.0070945756761194734,0.023230760310574,0.004397524066793204,0.006913021746157869
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.006546130970525846,0.2554427890801442,0.004268370925779072,0.03235804602342142
8,sett_stratify_split,,,,,,,,,0.0063536807822793424,0.0063536807822793424,0.003131875527959522,0.003131875527959522
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.006083296019603036,0.6100080067828011,0.004262313965944316,0.059472378743098346
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.005850759270846617,0.6715693918825425,0.0040169633036139735,0.04128542325704325
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005766194763926721,0.21694162660070965,0.004101567697255414,0.03412923771951635
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005542648452531279,0.23981862431788117,0.003382640295097721,0.033624776571935876
6,sett_preprocess_income,,,,,,,,,0.005488613282197038,0.005488613282197038,0.0033881538552488896,0.0033881538552488896
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.005464844663268678,0.672031355191967,0.0042239356848721476,0.03804245650119712
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.005137395463529707,0.3439826425730155,0.007782328772096011,0.044135094319523
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004408384162695376,0.21386561303485377,0.003874284980885311,0.03535444127250387
16,sett_cutoff,sett_stratify_split,,,,,,,,0.004401039688658131,0.21472333606089883,0.0024874003321447118,0.03311648186129723
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.00435759526930072,0.5985078221596809,0.0020918765398804445,0.04501416367820618
