,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.27252440245011356,0.27252440245011356,0.03078846863789118,0.03078846863789118
0,sett_cutoff,,,,,,,,,0.21012286502834615,0.21012286502834615,0.03618400069097038,0.03618400069097038
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08593785040557161,0.5685851178840313,0.020348973750468523,0.0406096874700645
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0764928813030292,0.365174885929219,0.016776365358265717,0.03923542914068392
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.024913987265438645,0.6928278489625119,0.010657833664174034,0.03718145351907654
2,sett_exclude_features,,,,,,,,,0.016157602176076286,0.016157602176076286,0.005696749000074122,0.005696749000074122
16,sett_cutoff,sett_stratify_split,,,,,,,,0.015188899798174917,0.23332640765777668,0.008035732337682958,0.039955109044876334
8,sett_stratify_split,,,,,,,,,0.008014642831255626,0.008014642831255626,0.00592788450363359,0.00592788450363359
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.007766327160506322,0.6037232224127427,0.003236246539504639,0.036611966893618494
4,sett_model,,,,,,,,,0.006735447775255654,0.006735447775255654,0.002906443431180631,0.002906443431180631
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0066782603339365105,0.23295872753835895,0.002475798232832788,0.03599325128733865
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.005275320538801184,0.587257617545902,0.0026829900612584234,0.043983609071853225
36,sett_model,sett_preprocess_income,,,,,,,,0.0052394790680909,0.015126516611726445,0.0038594527579033483,0.006306393428582658
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.005040254142241127,0.7415413482693778,0.004747751111321674,0.02792404843900888
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.004168234738774534,0.2847072800201437,0.0038761284307379466,0.031448757440427084
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0038183262953198393,0.2440930988629208,0.004097129732332918,0.040688365018241975
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.003501013681149898,0.5787773783629135,0.0022274003058136756,0.040055486104410114
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0034887665246909286,0.2827486167500602,0.001558008335651513,0.03163241716268951
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0033562085641310694,0.7215488654633777,0.002265305598283479,0.04209589967420026
12,sett_cutoff,sett_model,,,,,,,,0.003172964823122994,0.22003127762672478,0.00277216990125731,0.035366332629953916
6,sett_preprocess_income,,,,,,,,,0.003151589768379889,0.003151589768379889,0.002733836332732555,0.002733836332732555
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0031007423154038594,0.6249708764278403,0.0021406991221701106,0.036693887118866675
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0030952403223936647,0.625389015552674,0.001800524347979287,0.03499797279511841
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0030380998534933097,0.5802051953696337,0.001410277862988351,0.038650806947600355
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0030193019124021667,0.2440713652296057,0.0022799608250025577,0.040210740328414776
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002954385591691008,0.027126630599022913,0.002388860161494335,0.009076440134187272
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0028960455806634534,0.2620127013401439,0.0019611176101762603,0.0396824184954673
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.002848401285860477,0.21488292755445348,0.0016455899890571142,0.036521628083613436
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.002846678401475313,0.27852267061996877,0.0012424093976581955,0.031057679184995995
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002743354877543165,0.6309543478971882,0.0012828639892452063,0.038976832287583175
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002684709463558933,0.3829968585544991,0.0024830852781623012,0.03940939725269095
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0026764300090744916,0.29666279399708073,0.0016258180652999918,0.03417203789024463
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.002670945836699356,0.24696138123381156,0.0011946104704713522,0.034913683571567385
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0025980671777899225,0.3794204626673302,0.001638331935780837,0.04035956187380296
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0025837094622538853,0.2158581642589799,0.0019299817144365374,0.03518232506079976
