,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.22475494377179556,0.22475494377179556,0.03407475880573429,0.03407475880573429
0,sett_cutoff,,,,,,,,,0.1730449802919669,0.1730449802919669,0.031337275497949194,0.031337275497949194
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0966465804234736,0.33881080830096766,0.02790971172392799,0.0485203400272295
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.05981065655872982,0.45761058062249227,0.020542607643857604,0.054724941824875216
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.03899317279825435,0.6208038002584713,0.0168463626930223,0.07210463790631541
2,sett_exclude_features,,,,,,,,,0.017409284105698454,0.017409284105698454,0.00826219508079282,0.00826219508079282
4,sett_model,,,,,,,,,0.012965672411240525,0.012965672411240525,0.0074400160514935,0.0074400160514935
10,sett_cutoff,sett_exclude_features,,,,,,,,0.010144182308552565,0.20059844670621796,0.006227742767497186,0.0333233949149184
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0099091001288791,0.2476297163119152,0.006782991284429967,0.033757835639716724
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.009616134292837513,0.4943135044304693,0.005648458442419826,0.060017860782300037
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009139075947658629,0.18885983374011533,0.005388242551305399,0.031861829358141816
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.008860273469985481,0.48995763257987457,0.006389671414075756,0.05145974913632316
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0076719250392483385,0.23910264631153366,0.007590286005941587,0.03020684419942645
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.007523277300451695,0.6772840979305211,0.005495975985813793,0.08122156150561195
8,sett_stratify_split,,,,,,,,,0.006675777500489776,0.006675777500489776,0.007392037896472404,0.007392037896472404
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.005783898378036409,0.6682011026222495,0.005138392162744522,0.06608319274754079
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.0057788250632215075,0.46722517024781285,0.01321809505612754,0.05159964606037438
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.005695555816000996,0.47346422505723507,0.0054471390162981305,0.056681411198546194
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.005258669586246082,0.4745960427288356,0.004316278437840715,0.053240536301332894
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005018658758311714,0.3698614065974424,0.002831425047838799,0.05098636072508929
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0046070397148452935,0.6484531739564946,0.0037494211236431254,0.06837548499527085
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.004417306066524848,0.5385583418132689,0.002932705037316157,0.05481601640970679
6,sett_preprocess_income,,,,,,,,,0.0044130226209876345,0.0044130226209876345,0.003624900725746194,0.003624900725746194
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.004351796503325953,0.6402540100368863,0.009366836977891743,0.05700047846841136
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.004349169039950461,0.3597177161458328,0.004551037191221374,0.04516159704205651
12,sett_cutoff,sett_model,,,,,,,,0.004212016975019823,0.19022266967822726,0.004127936093829107,0.03538065189826023
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0041497069808099415,0.6474556882381807,0.004657057284250998,0.06703681087694197
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.004091436843319607,0.3466678235550817,0.010803766310167353,0.0480928783214254
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004078270807266027,0.22501157389778778,0.0034295897504808236,0.039495133371126874
5,sett_preprocess_age,,,,,,,,,0.003923049153091638,0.003923049153091638,0.0033420365643009402,0.0033420365643009402
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.003856731547328983,0.23302469794011216,0.001897898104451371,0.035555295097879185
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.003551216320972912,0.35070875641455623,0.0033880853021024684,0.043441189747200244
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0034570383517805786,0.18091504126473515,0.004036668064962983,0.03063505888961914
46,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,,,,,,,0.003264269239225623,0.4654814511270884,0.0033172640277982957,0.05784812019134793
