,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24446377096364033,0.24446377096364033,0.03747027226658199,0.03747027226658199
0,sett_cutoff,,,,,,,,,0.21089711156694335,0.21089711156694335,0.03338358711628629,0.03338358711628629
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.08425133486726955,0.3443699878098432,0.037756190535641596,0.04935183065362776
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07612501375627098,0.5314858962868546,0.014584910591302194,0.06007504615785048
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.023405521318864416,0.6607572962999111,0.016318509340831327,0.0742741937553851
2,sett_exclude_features,,,,,,,,,0.01565488197893328,0.01565488197893328,0.010489619936455896,0.010489619936455896
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.014663001079479297,0.573985533049483,0.01172326671073193,0.05328314985568305
4,sett_model,,,,,,,,,0.014158429142951068,0.014158429142951068,0.00819046670101038,0.00819046670101038
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.01099463138070115,0.5545036568571322,0.019017792196913772,0.06511253630028936
30,sett_exclude_subgroups,sett_model,,,,,,,,0.010129205004221898,0.2687514051108133,0.010134775804115792,0.03675494549500884
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.00929800796771954,0.7271330024222956,0.01021074131368362,0.061126230146930124
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0074346999728199,0.5548258954394372,0.010564041623890507,0.05979446680053652
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.006486581206044454,0.7015366258311713,0.009299551473836489,0.06693804468865737
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006354449575341139,0.3786674464750175,0.0058818102953015474,0.04300727113946518
16,sett_cutoff,sett_stratify_split,,,,,,,,0.0059734447544681464,0.22231957168299993,0.004123609151210727,0.03271992630928852
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005959661847989201,0.2325116553938658,0.003126826158237671,0.03971465710052943
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.005768193687734057,0.6992818874730868,0.007542033223797265,0.0729573202402994
8,sett_stratify_split,,,,,,,,,0.005449015361588452,0.005449015361588452,0.003705614290915467,0.003705614290915467
36,sett_model,sett_preprocess_income,,,,,,,,0.005315809315836451,0.02309855831055152,0.004890003039589634,0.011213590987770436
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005257965430564706,0.21977939684927206,0.007868771352671283,0.032258687016334775
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.005129182989410249,0.24793181983344598,0.0068556205869717895,0.034624766078083964
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.004585624748882669,0.3615753167347246,0.005093916509420884,0.044168521240352546
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.00456823687403523,0.25844269788948854,0.00464894551464206,0.04020606134364664
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.004553195385498974,0.3584530881513742,0.00675511979861251,0.04948603284262733
