,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.20116935917456757,0.20116935917456757,0.031829090368643294,0.031829090368643294
0,sett_cutoff,,,,,,,,,0.1882967980607811,0.1882967980607811,0.031279416275518175,0.031279416275518175
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.08313837404300954,0.3027243175306722,0.0179800176888773,0.041353225126575535
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.05247635240203384,0.44194250963738246,0.018282358017489772,0.05528939588977129
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.03777333430883149,0.5933506232052632,0.013633071126115847,0.07456598372995649
2,sett_exclude_features,,,,,,,,,0.018416584313095143,0.018416584313095143,0.01074595995800678,0.01074595995800678
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.01538941670166496,0.6631514227301079,0.020670601202988626,0.06368838377915619
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.01266629364790087,0.4772795325379069,0.014866053544843279,0.050424929570982976
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.012556725640733624,0.2178530505888429,0.01232301273673033,0.029223068171487857
10,sett_cutoff,sett_exclude_features,,,,,,,,0.012079820902944596,0.2187932032768208,0.010685819385169198,0.04323853589068503
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.010927896524311732,0.6412862132748839,0.0062522906365831115,0.07793026127282743
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.010040745593650303,0.46363498938059666,0.010186326465800716,0.0542197885263841
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.009650057720943912,0.3321876124447448,0.012487914447815988,0.032527546135283976
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.008720247519686444,0.46695165883498363,0.005481203777851618,0.0573722221922612
16,sett_cutoff,sett_stratify_split,,,,,,,,0.006914894272276623,0.19889983460476018,0.007420503836756801,0.0272234980885436
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.006742163010827638,0.46370446069077975,0.005414471241045802,0.051103462696060344
30,sett_exclude_subgroups,sett_model,,,,,,,,0.006684822170291427,0.21394114449784551,0.003027886127204246,0.030837477281792893
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0062947564228580406,0.23833150909042206,0.005017113811276967,0.0440531037282924
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.006121698313305407,0.6298228750707644,0.006045155133019638,0.07348927387756865
4,sett_model,,,,,,,,,0.006086963152986504,0.006086963152986504,0.004038594475967384,0.004038594475967384
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.005987037838348192,0.198410801672671,0.00516835193226751,0.032043647447975575
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.005778016050630753,0.2103976405125773,0.005112826514120604,0.031315402542430384
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005338083703411959,0.3233290966369928,0.0030955234105056405,0.04288649162407761
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.004636169214835612,0.6278642879110476,0.00460410587179291,0.07019216068466481
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.004416751498590561,0.20927425294486057,0.004168117867938887,0.03149074204100412
36,sett_model,sett_preprocess_income,,,,,,,,0.004266476770230662,0.014480405696758897,0.004003183246279907,0.009011480747505095
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004165550564665172,0.23505774342873992,0.002044222017487733,0.042664460442948034
46,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,,,,,,,0.004140257365345317,0.45226687281203126,0.0039818724386822555,0.05341102432767004
6,sett_preprocess_income,,,,,,,,,0.0041269657735417305,0.0041269657735417305,0.00431828104430654,0.00431828104430654
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0040152109417613616,0.5102342575826055,0.004789295317256021,0.04720687723831444
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.003986900222273073,0.31666729775964947,0.00502622936353321,0.042144297914792996
