,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24230337136635638,0.24230337136635638,0.02883808613229734,0.02883808613229734
0,sett_cutoff,,,,,,,,,0.20407792197569752,0.20407792197569752,0.035434106068024454,0.035434106068024454
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08256740588023152,0.5289486992222854,0.024217797887779984,0.04312176303882486
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.07972493325189252,0.33824087672107883,0.029295202217244968,0.039191621263156604
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02742475783415736,0.6602206704634721,0.014883964388610334,0.05283564547625846
2,sett_exclude_features,,,,,,,,,0.0162125721028299,0.0162125721028299,0.008361406159278176,0.008361406159278176
4,sett_model,,,,,,,,,0.01412874194959764,0.01412874194959764,0.009779080678404863,0.009779080678404863
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.009804172284266038,0.5559716022881188,0.009570312233643066,0.04354602116062457
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.008749516271993973,0.5659233523103027,0.0036576126679796076,0.04673943235847795
10,sett_cutoff,sett_exclude_features,,,,,,,,0.007909708052307,0.22820020213083442,0.004511065463968739,0.035662885492070966
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.007484215905743107,0.25491463459220254,0.007544785419367539,0.028650658948470013
30,sett_exclude_subgroups,sett_model,,,,,,,,0.00725427063219114,0.26368638394814514,0.004769499082422512,0.030467609321241592
12,sett_cutoff,sett_model,,,,,,,,0.006842124234234396,0.22504878815952956,0.003903575862364183,0.040273987490306314
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006364909527876353,0.36938745988586075,0.004407474958296886,0.036922280754365065
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005945446060000606,0.7167635142297912,0.0028182742965413097,0.056450748811469546
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0054371452625575035,0.5481993904663114,0.0032645910930267498,0.0425177829463887
6,sett_preprocess_income,,,,,,,,,0.005127047320103051,0.005127047320103051,0.0037983146829005635,0.0037983146829005635
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.004696241864464087,0.6913506818006725,0.002726113284282264,0.050398438982842055
16,sett_cutoff,sett_stratify_split,,,,,,,,0.004681716472444963,0.21331345454263723,0.005035190408549641,0.0345838258776006
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004607467555721227,0.2138124368515218,0.004024819206870048,0.037423010982078675
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0045780134145287765,0.2514352008753799,0.002704321202814597,0.02940744633280315
8,sett_stratify_split,,,,,,,,,0.004553816094494744,0.004553816094494744,0.0024128919656663268,0.0024128919656663268
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.004505194623517622,0.5403090936779004,0.0035191064833833443,0.0411508385188815
36,sett_model,sett_preprocess_income,,,,,,,,0.004369511711078655,0.023625300980779345,0.0034747520132590967,0.01285061176597876
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00434565990508179,0.24349847465151428,0.0044826500693075375,0.04587432540026055
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.004184120643411295,0.6972453729161542,0.0031044883485845175,0.038572118016091214
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0038591740353081123,0.2564289034050914,0.0025595468888580347,0.04280978840800679
7,sett_scale,,,,,,,,,0.0037582385162830438,0.0037582385162830438,0.002980327522336483,0.002980327522336483
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.00364838540751553,0.6083718264692768,0.0020281071461351187,0.0499094816564117
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0035589090497065755,0.2784722758753684,0.002114182090573025,0.031171334713074216
25,sett_exclude_features,sett_model,,,,,,,,0.0033986610551168307,0.03373997510754437,0.002690813487889536,0.01506627764720687
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.003339708580828109,0.3526187017956395,0.0021229988819929605,0.040171560245207925
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0031003372385919915,0.5963351080925301,0.0016809434514208368,0.04608939639010468
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0030620140694648896,0.28372917295453487,0.0018585301313802135,0.032323245776940616
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0030010681399175836,0.6796958585494229,0.0016707881827351327,0.0520768116203445
42,sett_preprocess_income,sett_scale,,,,,,,,0.0029181676239182133,0.011803453460304309,0.0035086582049170287,0.007696410621148203
37,sett_model,sett_scale,,,,,,,,0.0028055567345385665,0.02069253720041925,0.003299884232023669,0.012779947493795372
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.002657834019098861,0.35497899277982714,0.0015739418552982768,0.033633482843941236
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.002623867970433427,0.20904732788337138,0.00165636748951681,0.03464891959410398
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.002612307727729682,0.03571957158324885,0.0034608445941594814,0.020485617553174684
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.002511085624824505,0.5373927253353588,0.0027676502903604895,0.0422435978785736
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.002461094558836403,0.586207471046219,0.0017087292302754508,0.047657451422405156
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0024603960806462094,0.23412516985483622,0.0032956786695303997,0.040659526967492816
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.002406664881409874,0.23878613897637224,0.0014895374287541144,0.03941376877426321
109,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,,0.002355653933832169,0.2719199494506279,0.0016914460473527564,0.03304374235031781
5,sett_preprocess_age,,,,,,,,,0.0023455379372404246,0.0023455379372404246,0.0024709079996776706,0.0024709079996776706
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0021986235571831033,0.5816547825603969,0.0022430290018029472,0.04787343231547946
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.002126516212881991,0.5651394178163347,0.002614196685987825,0.04110628589011965
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.002119409359875478,0.3456860009669694,0.002298404133892995,0.04020077419041004
38,sett_model,sett_stratify_split,,,,,,,,0.002095153368493097,0.020777711412585477,0.0016775115952647392,0.009423892086376548
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.002063365155300624,0.2669231107889319,0.0021283363049955845,0.03152350998225071
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0019370826631730875,0.24127910434565625,0.001023484876180633,0.03502311809132269
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.0019293495191493705,0.6729299227287677,0.002019024150237723,0.05043290598900587
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0019293037685815914,0.5736667867966895,0.001486145176268661,0.03944787526004444
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0019062869847090566,0.022672675182033697,0.0011588809155934647,0.009369339471155938
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.001899933106191482,0.23616392416905096,0.001764554268112977,0.03409612299986543
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.0018857939244235071,0.2465347032280203,0.0011516477967726518,0.02927627564769448
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.001850631099708554,0.22182494018959176,0.00210109133261169,0.035043619239125245
