,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2516720526839102,0.2516720526839102,0.031754304846723355,0.031754304846723355
0,sett_cutoff,,,,,,,,,0.19061185671084066,0.19061185671084066,0.029661359584361186,0.029661359584361186
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.100769433212552,0.36666375791353556,0.027628274461682527,0.039645387927224864
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07956104378809692,0.5218449531828477,0.02598726427525725,0.06657428647290146
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.035765060215078415,0.6879358779928264,0.01398114936002743,0.07471932349616629
10,sett_cutoff,sett_exclude_features,,,,,,,,0.015334159365275008,0.22016828809318897,0.0066377489865671255,0.03181030271505878
2,sett_exclude_features,,,,,,,,,0.014222272017073318,0.014222272017073318,0.005093472640672782,0.005093472640672782
4,sett_model,,,,,,,,,0.013539099318654164,0.013539099318654164,0.0060457003345068434,0.0060457003345068434
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0111610648428348,0.7513770796331688,0.007697865687258935,0.06858152611176649
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.009872177225816483,0.5571466729400842,0.008343005594080535,0.059390783544203574
36,sett_model,sett_preprocess_income,,,,,,,,0.008143359422282441,0.02914086198955937,0.005164256202288251,0.010414456954697485
30,sett_exclude_subgroups,sett_model,,,,,,,,0.008062418582300713,0.2732735705848651,0.005796837652558762,0.02903175442345554
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007555325914150458,0.4004864967058593,0.0079311042400708,0.032615109630941344
6,sett_preprocess_income,,,,,,,,,0.007458403248622765,0.007458403248622765,0.0052916481172227085,0.0052916481172227085
16,sett_cutoff,sett_stratify_split,,,,,,,,0.005942605398690116,0.19972716892277181,0.002997177918178218,0.029524073119789794
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.005517849531459829,0.7245414559220364,0.004303512104043073,0.05855700986458304
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.004853603019308258,0.26398405895184124,0.005654893795171455,0.029350638550032903
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004813447362550115,0.20288370732201355,0.002597652009351425,0.027672518582303678
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004757196148902203,0.24695850316842882,0.001561271470908426,0.03121873804444232
25,sett_exclude_features,sett_model,,,,,,,,0.004665894977218388,0.03242726631294587,0.0026644056782528748,0.008653564966597771
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.004455408252087846,0.5434258150654168,0.0031517039549504608,0.060348627899564335
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.003922066629164635,0.2976510029042432,0.0025059677545194205,0.02870424000615813
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.003839521108254027,0.2568126578246106,0.008111501859577932,0.033534930109241155
12,sett_cutoff,sett_model,,,,,,,,0.0038280246304650952,0.20797898065995993,0.0018139890917417147,0.02972972419535588
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003617048373917256,0.03809275588743176,0.0030881780171694265,0.011990641707345689
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.003591478918881278,0.5979003627262613,0.0025894859067612814,0.05226050693834111
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.003575501793949844,0.37682394199163377,0.006511305485993891,0.040796237545176445
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0035534723139415848,0.3849935590848109,0.003213700056470744,0.03640803477863817
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0035159229332798188,0.23191011362669506,0.001505427784897491,0.024391245071198272
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0035115845322852305,0.5372752157617235,0.0027893241311881226,0.06873170726428457
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.003489071611836832,0.23839353290560147,0.002987148389550001,0.02870900443880048
8,sett_stratify_split,,,,,,,,,0.0031727068132410626,0.0031727068132410626,0.0014703681031893365,0.0014703681031893365
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0030671840758334057,0.053560535649087256,0.0028157742470021033,0.016312116311264096
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002965717182292614,0.2344055332343281,0.0013906555507717053,0.03161044947899546
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0028651621774980216,0.4368140701819131,0.0036590148598921145,0.03352663083545719
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.002847629442173035,0.7059841764117158,0.002351378134169395,0.062471888990237784
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0028033658346592934,0.2576481253318106,0.0019507610891844644,0.03265252406124497
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002668585270525662,0.7128528296445679,0.0010657045929899325,0.07626055449453813
113,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0026219426929428823,0.2729966077244671,0.00651325354562374,0.03676185064666561
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0025022820519751457,0.5306235592934354,0.0019351436601077415,0.06133266093406137
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.002464322589402773,0.024144997855098858,0.0024518621697090406,0.008993989889880056
42,sett_preprocess_income,sett_scale,,,,,,,,0.002363078700115787,0.011211459168673998,0.002481659595748317,0.006517762543485695
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0023482753362452638,0.27378396716439246,0.003469429019383172,0.03057984049000052
224,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0022167192510446835,0.4022149829003988,0.00611052968754907,0.04990765830442033
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.00215621574691535,0.01955119457722973,0.001451489217641924,0.0056984509897244785
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.002155672330303664,0.2465511654225499,0.001364956779072454,0.023758783844086088
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0019957175418723527,0.566519359440639,0.0024435338602073905,0.06340482183219116
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.001993401731620689,0.6965781074949597,0.002097026152612844,0.07377736675932849
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0018437286898234386,0.2153183084521737,0.0012740217718893762,0.02705580052664789
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0018417974095721683,0.8164525222423331,0.0007713227744975359,0.05083296758988772
38,sett_model,sett_stratify_split,,,,,,,,0.001736585785721449,0.018448391917616675,0.0012113001518984452,0.007002677261599023
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0017209087824449248,0.5668823018083968,0.0020295688927195093,0.05838650618963894
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0016961708731320201,0.3764922171814833,0.0011362210788833605,0.039422291575997366
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001668422103639211,0.5785605481163696,0.0007542565339602816,0.06197763257628009
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.0015903353341558783,0.20923602742994318,0.001519899143293503,0.028559899690147994
