,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.22824637459329994,0.22824637459329994,0.03036500930790581,0.03036500930790581
0,sett_cutoff,,,,,,,,,0.20425376959010882,0.20425376959010882,0.024869202901273455,0.024869202901273455
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08563948641379576,0.5181396305972046,0.021320812297498975,0.04745016671164784
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.07326959714457436,0.31019939549103986,0.02397885798406462,0.05015177669432518
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.025596833836449284,0.6320686367524575,0.01578002610333487,0.06828461843476125
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.009753899984809689,0.5462538488170374,0.007654847240128988,0.03358461531688152
2,sett_exclude_features,,,,,,,,,0.008683423753165583,0.008683423753165583,0.004751073100487616,0.004751073100487616
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.008373824075052452,0.24318380525870736,0.010154333779970777,0.026016569533835954
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.008328555257923408,0.6808908098896297,0.004081763342008663,0.05006895015940146
8,sett_stratify_split,,,,,,,,,0.007930513459256416,0.007930513459256416,0.0040558152234331,0.0040558152234331
4,sett_model,,,,,,,,,0.007575959548566147,0.007575959548566147,0.0028837855477357463,0.0028837855477357463
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.006864637302464678,0.5416606901993726,0.0035588161727757956,0.046828022605598756
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.006858504948571793,0.33468125345229555,0.007421947307024354,0.04657137758536816
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0066361922467084115,0.5351850911258544,0.008523469823399013,0.04745800516839113
6,sett_preprocess_income,,,,,,,,,0.006563606590355005,0.006563606590355005,0.00513180941880331,0.00513180941880331
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.006563310236565901,0.6715880135824781,0.003455711394459442,0.0658546458911427
10,sett_cutoff,sett_exclude_features,,,,,,,,0.006379151421063666,0.21931634476433806,0.00328074063019881,0.022258840474816268
16,sett_cutoff,sett_stratify_split,,,,,,,,0.006255363660974514,0.21843964671033975,0.002998658720377238,0.0259963946712736
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.005483494798694738,0.24207941455337273,0.0041881907847567375,0.024179643358547522
30,sett_exclude_subgroups,sett_model,,,,,,,,0.005400940856958764,0.24122327499882484,0.002702958889412976,0.030674295434996963
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.005203612061719581,0.670286557774798,0.004039576057141267,0.065127120593278
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.004671461105610836,0.5398328379430544,0.00433678462059536,0.04608608717156164
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.004161176323249794,0.6623402500658188,0.0025061674543075158,0.06625868253491143
5,sett_preprocess_age,,,,,,,,,0.004123281795392836,0.004123281795392836,0.0025940468035809453,0.0025940468035809453
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.004095562867894887,0.3296550955973234,0.0018499696422397485,0.05004140017118963
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.003901849137635515,0.583366258403736,0.002757405571434774,0.033524063541113196
12,sett_cutoff,sett_model,,,,,,,,0.00367952189417847,0.21550925103285343,0.0025230162237978473,0.02654461538460743
36,sett_model,sett_preprocess_income,,,,,,,,0.003666263397755842,0.017805829536676993,0.0028555345128749355,0.006316774819957308
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.0035676223972563427,0.2359372787859491,0.005711495684596336,0.02822643523262226
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0035249808032990037,0.5681028064465823,0.003351818515815208,0.045871582114683396
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0034228875696157646,0.21424026375007957,0.003091684191404607,0.023259213461299496
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0033835134282045667,0.23373908813017877,0.0025558381276656835,0.027264728456053506
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.003348945956762078,0.3236752796106813,0.0028127465404941183,0.04758911418911005
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0032799965344693,0.23187402115372277,0.0019725535602208607,0.0238984824575027
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0031713920878929567,0.23233340067847302,0.001845040064195739,0.024082824479758062
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.003093697870109014,0.019707635082531014,0.002567327546937376,0.005758199286821492
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.00295620729052807,0.23591127033047452,0.0015108804060211566,0.025299399296686727
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0029550750411125714,0.23082844036932482,0.001911427859167143,0.02836752991930464
137,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.002943286796952304,0.5569845456643724,0.004562383381217619,0.029014703790786446
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.002851845361246351,0.2626788144232345,0.0027233541965265493,0.02770038042604089
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.002841576377286537,0.5710016495817274,0.002406519627727541,0.03495463148751645
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0028358691200081063,0.23901275717256446,0.0014998040580069157,0.029221277429146042
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0028349723635676905,0.23482373363515296,0.0009240016978411146,0.020439693261972296
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0027439089459673502,0.3268033848863808,0.0021308777796721547,0.04826570807081645
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0027183640892923786,0.21109541547479405,0.002614414885269745,0.025773466699153324
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.002685922347276432,0.01793295269079702,0.0022336602741511976,0.007107782035067946
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.002592072733187299,0.014645867987836552,0.002132077174955477,0.0063504155015901296
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0025901002280719065,0.7409329812954072,0.0019334565426243186,0.04769974821000439
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.002536754654220897,0.577747465269898,0.002427927552063042,0.03531335940386022
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.002436033970230206,0.015242739518788625,0.0013675793896211804,0.005537557654732023
25,sett_exclude_features,sett_model,,,,,,,,0.002383236832863769,0.0186426201345955,0.001506690157711438,0.0056112962897482245
42,sett_preprocess_income,sett_scale,,,,,,,,0.0022295795139574233,0.010393683595332465,0.0038427507888858688,0.009327524379177507
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0022052809710789785,0.5658450719243906,0.001481175167596102,0.047580333107007114
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0021839416788931084,0.26695831552189,0.0022614812598448727,0.02831951832268448
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.002152379397279028,0.25144811349567997,0.0015299921459421245,0.02583417468182579
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0021132607592572444,0.7188470911664488,0.0016559023030932728,0.06179902034544955
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.002076190814782321,0.2336530521946233,0.001286733582097943,0.028623220470698672
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0019984254317483856,0.7363001882550003,0.0012732523574506968,0.04355015988041241
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0019507071929215256,0.2578303288625571,0.0011512002830276534,0.024613634611793053
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0019294338316637025,0.016423553881275123,0.0015585146347578543,0.009412163789277363
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.001901081108209583,0.22427515225472375,0.001073395901040666,0.024528921749829118
38,sett_model,sett_stratify_split,,,,,,,,0.001881733226756597,0.017388206234579158,0.0011491071973846795,0.004306670438364909
