,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2719308939797853,0.2719308939797853,0.03294185891529314,0.03294185891529314
0,sett_cutoff,,,,,,,,,0.2078050636079795,0.2078050636079795,0.030288963701777315,0.030288963701777315
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.12114093514872337,0.41345791568128915,0.0316171411082463,0.06468439678156589
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.06776034011913434,0.5474962977068991,0.03210671025564025,0.04387819369440606
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.027523189242572917,0.7213212333762735,0.011065922256941462,0.05250640505301682
2,sett_exclude_features,,,,,,,,,0.020386086552780472,0.020386086552780472,0.007911691619383899,0.007911691619383899
16,sett_cutoff,sett_stratify_split,,,,,,,,0.01369340625814802,0.22823229189372024,0.009433783193506837,0.03241877337021948
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.006743522572675992,0.5785308767713876,0.005855569218171977,0.03771382021570886
8,sett_stratify_split,,,,,,,,,0.006733822027592702,0.006733822027592702,0.002617577322275272,0.002617577322275272
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.00633894380394779,0.7575909903611435,0.0031494764371064027,0.050718705682478105
4,sett_model,,,,,,,,,0.006274172721618685,0.006274172721618685,0.002834634739528688,0.002834634739528688
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.005728661228733825,0.567527305425189,0.0032207642635030623,0.04037690159971353
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0053654335235242484,0.28357050022492825,0.003424555790564968,0.03249938561291292
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.004919405886555985,0.7668277352596318,0.0027840121483480975,0.0390697962804477
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.004807426447198768,0.5615463128650243,0.002722904103663673,0.042080811929044594
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004774724725297575,0.23296587488605752,0.0033575921276861606,0.027410611672074064
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.004333014784187994,0.4319547649377239,0.00322534939849674,0.06610086310909727
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.004255969526289668,0.7483042981813258,0.003412252283496915,0.0495765620270153
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.004053356776172897,0.43063685661242046,0.0027279439853911173,0.0648133783642429
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0039823494507369986,0.2785889404884609,0.002862664722789002,0.03161687069533455
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0038638282060716833,0.28252854421344964,0.002001630321527577,0.03357312643060687
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0038014965752175382,0.4262775652934785,0.0033529493431046983,0.06673237046811584
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.00364291889213567,0.5584669132520821,0.0021312199959756793,0.044652851142203964
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0035680938050015668,0.6037614536284395,0.005382797134397768,0.035463327998974135
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0035577772502120566,0.4238603096536393,0.003108629717950039,0.06668934210585777
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.0032521468976584402,0.27684809233714414,0.0022531596873927376,0.033702521151297155
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.00304256245134046,0.24746957853053367,0.0025889074222173445,0.029010323486183563
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0029712262348468637,0.2588922633279392,0.0015752043996006841,0.028495694770489643
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.002851720986822094,0.29395069334262836,0.002749518243214612,0.03150031389987797
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.002848365273422001,0.2382532780610127,0.002983564023407861,0.033909700396827024
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.002707981051092794,0.7427460136737496,0.0012308290276343645,0.05520663926933063
6,sett_preprocess_income,,,,,,,,,0.002675697057938562,0.002675697057938562,0.001809686643768795,0.001809686643768795
12,sett_cutoff,sett_model,,,,,,,,0.0026627402444131423,0.21674197657401134,0.0020776826478883237,0.03092873351082267
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.002584542202250876,0.21306530286816897,0.0016086161292192711,0.030338955594686367
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002527933921294059,0.02964784250166723,0.0019890995496986705,0.00939938928323782
25,sett_exclude_features,sett_model,,,,,,,,0.002524228227103828,0.029184487501502984,0.0017610556296634133,0.009467019395712713
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.002515477017123659,0.2431016976916669,0.0018903764897520183,0.025268565298805702
35,sett_model,sett_preprocess_age,,,,,,,,0.0024614074268391834,0.010400631608158337,0.0015668269075884763,0.003673976853365035
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.00243810117804478,0.24113018690263602,0.0022911295042739132,0.034249510771425976
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002425767625588244,0.6070468439308047,0.0009584527842868905,0.03299892018706873
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0024104982956883398,0.2118806133633683,0.001493534561203175,0.030912169390009642
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.002360106528296239,0.02542189013901527,0.0035811664655127336,0.009758233641390205
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.002296289476210408,0.22557522323244975,0.001257058167631214,0.03224834380780751
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0022609880862090852,0.2412298310924347,0.0014471260477244847,0.028601021897434114
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0022355407966704426,0.5870612290770041,0.0012530030571203286,0.04094889324366748
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.002098209772654981,0.29778924109608673,0.0013326407807855232,0.032801413875989845
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.002069913977677463,0.8111003773471477,0.00264027696634854,0.02566233231154503
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0019274183647792573,0.023978556377260193,0.0017706032688276725,0.009000310025589812
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.001912381633681049,0.011321900719212312,0.0011549722894426489,0.0025839427510513683
36,sett_model,sett_preprocess_income,,,,,,,,0.0018695873230164754,0.010819457102573721,0.0016613106693576965,0.003951660055588184
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0017998822730113863,0.8179770175637514,0.0007429187440690019,0.03215384467537433
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0017713946374041916,0.5956962450973593,0.0008401790667979441,0.03871456941591734
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0017237085461748467,0.793776122535762,0.0008403422105913416,0.05449936023603648
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0017187185259951872,0.03695708327881708,0.0012850772074607538,0.010457140208714613
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00171296812224285,0.2255847712794601,0.0010503277164510421,0.03133215253479869
