,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.27660320126781207,0.27660320126781207,0.02361406419386309,0.02361406419386309
0,sett_cutoff,,,,,,,,,0.1869388299682777,0.1869388299682777,0.023700608147824515,0.023700608147824515
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.08012799085868519,0.3672512103210657,0.02077045936771182,0.038505857200945535
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07336049047989635,0.5369025217159862,0.015033007197594631,0.026878281995511562
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.025171222363042527,0.6648377770241907,0.013151651962086622,0.03512945774538281
10,sett_cutoff,sett_exclude_features,,,,,,,,0.012116023891908422,0.2095748720547546,0.008763361226066186,0.02204582037737334
16,sett_cutoff,sett_stratify_split,,,,,,,,0.011103448893762911,0.2039612673038599,0.005406379674548831,0.02455714382956948
2,sett_exclude_features,,,,,,,,,0.010520018194568475,0.010520018194568475,0.005130913307055942,0.005130913307055942
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.008205564111099168,0.5662325990196888,0.00481687401686538,0.030387725199153122
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.008087604492767925,0.5591659653162628,0.011050204506055825,0.030852525319990227
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.007976407991245705,0.7150188359168385,0.003951120023694972,0.044746597011802225
4,sett_model,,,,,,,,,0.00791813381962073,0.00791813381962073,0.0039724348576942355,0.0039724348576942355
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.007358201391768273,0.5617075310793557,0.0041095625231551795,0.031882380377266505
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.006632479979280686,0.7086285090801974,0.005664539208050902,0.03083171652868177
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.006232540228641565,0.5517973985059765,0.006075105228063984,0.030791193590894415
8,sett_stratify_split,,,,,,,,,0.005918988441819302,0.005918988441819302,0.0042103991808074654,0.0042103991808074654
30,sett_exclude_subgroups,sett_model,,,,,,,,0.005541398357128503,0.2900627334445613,0.003936557108513881,0.023252650277107042
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005320931511857798,0.3886223180574998,0.004693827883827854,0.036122966654924815
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.00485534381647719,0.28615948200023117,0.004289732638848876,0.021815359556666858
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.004741152906421237,0.699899099676019,0.0027627606570054526,0.029353610643343544
6,sett_preprocess_income,,,,,,,,,0.004700936915941903,0.004700936915941903,0.004657554637074186,0.004657554637074186
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004619558375089646,0.19625932525930923,0.006314681406267364,0.026038524407473708
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.004566945362328895,0.6924970946368066,0.003916711629521178,0.032585380129700005
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.004521358180006843,0.3860319690784041,0.0023900649301196912,0.04296466554237445
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004441667153671391,0.2285125928707259,0.002688713960406652,0.024128571642043555
36,sett_model,sett_preprocess_income,,,,,,,,0.004412388653735669,0.0170314593892983,0.003228256643284628,0.007859376366435541
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.004238336278490832,0.020677342914878605,0.0030713025314807857,0.010172084262312451
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.004114879139201608,0.23495052480802925,0.002191154101733071,0.022055699327376888
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.004102075857021402,0.28662426556665277,0.0024553098917878807,0.025908792529022097
12,sett_cutoff,sett_model,,,,,,,,0.003987275794852094,0.19884423958275052,0.0028319589427709567,0.025945538057758823
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.003967809820486952,0.37808967703703733,0.003986031510669772,0.03704784431600577
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.003910015736840591,0.38240126184503986,0.0038144899434576084,0.03634304678269013
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0035640162398169273,0.5975499892101617,0.0032901622645333394,0.04059691349430926
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0034532828162066515,0.19234832981185312,0.0023108267418703882,0.02461428870702688
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.0032528367177734213,0.28181225501295426,0.0027413273082734124,0.023424265706358527
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0028922754546105243,0.3069236782853266,0.0020175728697513842,0.02223896410594145
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0027920333227616926,0.5969329942092152,0.0017158511918820192,0.033647763825937385
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.002764473308092258,0.22027568676408724,0.0016756608149977909,0.027027138119265968
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0027103341823662393,0.21528745770988397,0.002448106021578654,0.029550224452916923
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.00269921709890494,0.6001385321520383,0.00161235323852271,0.03691874567140133
25,sett_exclude_features,sett_model,,,,,,,,0.0025906440478270995,0.021028796062016304,0.0011606004257801227,0.006711895207102667
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.00256808248946717,0.21921405753813966,0.0015165226580829319,0.023812799904400522
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0024629553535754625,0.22304207775407603,0.001377506747114204,0.023847063584279172
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.00236973934514022,0.21701835760049024,0.001274868185884527,0.026064495594125537
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0022494902581768382,0.5803320313854546,0.0024074992357915634,0.036752000455788095
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.002196641594655902,0.21307520340539376,0.0016007776466763464,0.02477156644104603
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.002158453500154309,0.5883735812998647,0.001711115516100149,0.03195430812818611
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0019926968243203563,0.3037210311053846,0.0010598663399368233,0.02606963730063103
5,sett_preprocess_age,,,,,,,,,0.001956217027368787,0.001956217027368787,0.0012797267644888823,0.0012797267644888823
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0019083232608892602,0.29945572522041963,0.0011872790919989372,0.024002659068999944
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0018498911979456792,0.5822099297907601,0.0013927443039410197,0.036167449469787366
294,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,0.0017987392903587303,0.7388512433928746,0.0019752608964826134,0.030401554027861308
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0017466423492546546,0.24349666636979989,0.0012026224662063099,0.03041936801399313
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0017064038119488046,0.7742249857847627,0.0008214513907593806,0.04287334422020496
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0016912832583508377,0.7643330959987524,0.001146032438603466,0.038251188765834825
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0016879023766476647,0.2615918882013747,0.0008371456910049686,0.02417858287511823
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0016837550547144523,0.01690471016522483,0.0009662964714689906,0.006755749607001914
