,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.20755197989129703,0.20755197989129703,0.022082666803793685,0.022082666803793685
0,sett_cutoff,,,,,,,,,0.19610277256308598,0.19610277256308598,0.027089762013448034,0.027089762013448034
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.08013610379722491,0.30137783392465506,0.020027340505329175,0.02966328297536569
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07171426348755874,0.47536901594194175,0.02152848123130336,0.04478332236401571
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02354169997921427,0.5985923127576217,0.008796986144821148,0.05591026830104566
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.014239566809083691,0.5208794568697009,0.007431957132178349,0.04082840241420973
2,sett_exclude_features,,,,,,,,,0.013689750236133105,0.013689750236133105,0.006697496393523463,0.006697496393523463
30,sett_exclude_subgroups,sett_model,,,,,,,,0.013203237106199424,0.23129904916390165,0.008385609426182173,0.02519329713860865
8,sett_stratify_split,,,,,,,,,0.011142070920025008,0.011142070920025008,0.007011470521973682,0.007011470521973682
16,sett_cutoff,sett_stratify_split,,,,,,,,0.010962335779634264,0.21820717926274527,0.004448191123076848,0.026912027914799876
4,sett_model,,,,,,,,,0.010543832166405179,0.010543832166405179,0.005465244004283124,0.005465244004283124
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.010493512444344315,0.669530232923378,0.005087009580801144,0.04715814832401159
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.008411209817594037,0.5108843541465646,0.005018624717382909,0.04375694763470109
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.008098444760335131,0.3364153424538098,0.0041625615715031716,0.02974781188919563
12,sett_cutoff,sett_model,,,,,,,,0.007523804846070972,0.21417040957556213,0.0067718608751321015,0.024411169519335384
36,sett_model,sett_preprocess_income,,,,,,,,0.006752606706424851,0.020313772644602955,0.007695409289954857,0.011851223795592327
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005855742803107694,0.21564826560232678,0.00417969461564774,0.03261376447777315
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.005246824515869769,0.6498833816672908,0.002514662404938569,0.052118621563746824
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.004999721687369607,0.22369377249869166,0.002444571116108434,0.024842848360386267
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.00463089111414668,0.5699281771679445,0.0028963978834267755,0.036962664935680185
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.004484928329439838,0.484750760630966,0.002620580734194415,0.04623611401419938
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.004038400103531511,0.3241581270128683,0.0030723193894633917,0.032767556741435604
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.003938810262525235,0.5497007164830408,0.0030632355810639926,0.0437291244189426
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003890405708357676,0.24424317838763082,0.0038500204665571107,0.030564882005076593
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0037044012083996573,0.48779587990751233,0.0014490142974496235,0.04506909601357113
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.0036513867082628992,0.48779216533788133,0.00358325335386352,0.04009550501614134
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.003643527537102514,0.24055142464812043,0.0014865473753136074,0.03145890373828841
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0035829375990657666,0.24213063910503432,0.0028267079964772995,0.02167287300885867
7,sett_scale,,,,,,,,,0.003437965869643558,0.003437965869643558,0.0032136916756924723,0.0032136916756924723
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.003401046716641449,0.22991351871903434,0.0026863150404719234,0.028839227287472985
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.003356365775587281,0.6206773739721482,0.0028955149954672348,0.055833165188549194
25,sett_exclude_features,sett_model,,,,,,,,0.0031919944962149997,0.02742557689875328,0.002070087732625246,0.011034899990086522
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.003133007036765028,0.213702320699835,0.0013279769735070363,0.021497782216743262
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0031181267945071395,0.5294555648060959,0.003327029658097586,0.046237687923451475
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.003071456253880715,0.20075527718629893,0.003216307687029264,0.028950860048757278
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.003046668149660991,0.25276039515170445,0.0018200319371054713,0.027130588368754135
6,sett_preprocess_income,,,,,,,,,0.003017333771772924,0.003017333771772924,0.0036466418610216905,0.0036466418610216905
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0029928040041913477,0.21398274976513193,0.006792372861391623,0.02190521050279649
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.0029383649664090168,0.6184448090595533,0.002672613910676699,0.050524543044942125
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0028467135414686692,0.22946780342209322,0.0016226527766362907,0.026339306887487608
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.00282445489747338,0.01698385958927131,0.002331841973473503,0.007246720975472389
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002806313396226028,0.7434534284689165,0.0017020331437591677,0.03713318001574421
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0027903512112872394,0.5415180249498242,0.0030033638472140014,0.03765923925663894
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.002649462524194441,0.31162705475352115,0.002421647343822328,0.028361381060136238
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0026001003772870806,0.027431921533445196,0.001485831205928044,0.009530823258047178
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.002572121948632979,0.2016922282834919,0.001238531896568982,0.0282443545763805
46,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,,,,,,,0.002518848711420192,0.4834237392539493,0.0016921636182433324,0.045278496016465934
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0025002330793227204,0.6139631983629412,0.0022909353416452807,0.05881798817355944
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0024837048433107092,0.22508752065920004,0.002197546554226004,0.026466448599083845
15,sett_cutoff,sett_scale,,,,,,,,0.002340992813841688,0.20188173124657124,0.0028189669983826595,0.02559565224588945
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.002301931962177605,0.24650392864104206,0.0015062345527117715,0.02467573096529534
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0022948137124461617,0.36880080946456695,0.002362589037568098,0.03290291818116827
42,sett_preprocess_income,sett_scale,,,,,,,,0.0022876850433829056,0.008742984684799386,0.0032733841830912373,0.008105702979086863
38,sett_model,sett_stratify_split,,,,,,,,0.0022728852307471663,0.023958788317177352,0.0013947192396791834,0.0074925720505339055
