,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2121928281269969,0.2121928281269969,0.037821344179866746,0.037821344179866746
0,sett_cutoff,,,,,,,,,0.1970465491629613,0.1970465491629613,0.026589021464783473,0.026589021464783473
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.06582977232454865,0.47506914961450686,0.019215220970802357,0.044858708971134316
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.0643316153747202,0.2889331067456752,0.022861058260075593,0.04554483100362313
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.035079986863740115,0.5947192735235632,0.014259089502909878,0.05275858581692089
4,sett_model,,,,,,,,,0.01377029129261451,0.01377029129261451,0.007438269239768747,0.007438269239768747
2,sett_exclude_features,,,,,,,,,0.012408663243958088,0.012408663243958088,0.007767886957787537,0.007767886957787537
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.011015452843214566,0.5130815259254087,0.008768097334767543,0.0406898131562574
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.010696925651025656,0.6610677056180403,0.012764460365149888,0.04398562473396595
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.008871613719917163,0.3234480215800483,0.007573075752908618,0.042129710009702226
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.008853860292956248,0.499576200728765,0.008893575024986642,0.04564359645358242
10,sett_cutoff,sett_exclude_features,,,,,,,,0.007829858426637963,0.21728507083355733,0.00397931693741769,0.02609933591392651
30,sett_exclude_subgroups,sett_model,,,,,,,,0.0077041353600740365,0.23366725477968547,0.006650947633042931,0.037020371640119794
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.007431649804806729,0.2263416077473796,0.01024541029606969,0.04592890028720827
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.007001685832368834,0.22267947595234827,0.005620003724745433,0.03767014749845804
8,sett_stratify_split,,,,,,,,,0.006717129815575951,0.006717129815575951,0.005841797774903909,0.005841797774903909
