,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.22861628666453127,0.22861628666453127,0.03732189030131158,0.03732189030131158
0,sett_cutoff,,,,,,,,,0.20005556604881786,0.20005556604881786,0.033794999387657954,0.033794999387657954
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07032664477155437,0.49899849748490344,0.02410316462904866,0.0782595719438948
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.05308610078445479,0.29655923125661315,0.020448018621098803,0.044342233530498196
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.020031954442354075,0.5922001375172363,0.01417703410883899,0.07371216649944701
2,sett_exclude_features,,,,,,,,,0.014856843807627121,0.014856843807627121,0.014197710186301364,0.014197710186301364
30,sett_exclude_subgroups,sett_model,,,,,,,,0.011491116838612106,0.2483188586644026,0.007996606633756231,0.039942451954651736
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.010639780860239537,0.5288761491205172,0.017181221248854284,0.06972946759524735
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.010080980157948876,0.5332677709199938,0.005248393729532251,0.08169110497668657
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.009293555657025776,0.6492666482485348,0.004524582163605712,0.07715217198041627
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.008674482887957167,0.5243722790197961,0.006191841508241343,0.07893831046749622
4,sett_model,,,,,,,,,0.008211455161259217,0.008211455161259217,0.0039477551530846845,0.0039477551530846845
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.008133042374661986,0.5193236801446495,0.00924217072152876,0.07786450173798971
8,sett_stratify_split,,,,,,,,,0.0077659362340700274,0.0077659362340700274,0.005757090022245209,0.005757090022245209
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.00739394168883171,0.2419322012418702,0.005618594559332548,0.03621961403823093
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.007050469757523104,0.6313634431564938,0.006301535383677282,0.06373547376247533
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006743362935139609,0.32638802351786433,0.0039298835808698925,0.04795506273061872
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.005998122601724713,0.24238034550032597,0.006772640316777553,0.035113524992607885
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.005941561850901087,0.6325283019170211,0.005142493787513981,0.07587625477992938
6,sett_preprocess_income,,,,,,,,,0.005921972888507225,0.005921972888507225,0.005255110309507612,0.005255110309507612
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.005883869926581042,0.6387995482589999,0.008546879137421713,0.06266293878507709
16,sett_cutoff,sett_stratify_split,,,,,,,,0.00547381193957954,0.21329531422246745,0.006954249080333283,0.030435842130147384
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.0053085406398550175,0.5125836783729283,0.00951739806016595,0.07666530696942374
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0052267409978969444,0.22013915085434194,0.003214626923312365,0.025449925450099796
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.005036837023424156,0.23698106404370778,0.004655628402949345,0.034661517021239575
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.004934996850026829,0.3134172660924852,0.004610268843508708,0.03967889858380677
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.004852661996883977,0.31653986436976306,0.0031706354096334237,0.045674279314450894
12,sett_cutoff,sett_model,,,,,,,,0.0044857212772701025,0.21275274248734719,0.0026513277730730927,0.033988356396165785
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.004411269204203544,0.5745013432619666,0.0035195643539135497,0.08758930205190307
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.004348505675300147,0.5500046821970809,0.007292228532380689,0.08424425406390443
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.004247616134732973,0.2700287127149215,0.0035632391930987854,0.04323988666394734
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0041949061789955675,0.31869829031179875,0.004795663919659251,0.0463544265407421
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0041800940403953135,0.026802874082092462,0.010397819867828149,0.02863680370231543
36,sett_model,sett_preprocess_income,,,,,,,,0.004146323338447033,0.018279751388213476,0.004038723552236475,0.011766150929051132
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.003827362905907489,0.20721086931047772,0.0043536654725801465,0.03170284385363659
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.003735386160258004,0.5642477820381401,0.0023432204301610236,0.08335192774842726
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0036501047533770434,0.5739155558442153,0.0027172337379148125,0.07180834492221531
7,sett_scale,,,,,,,,,0.0036167313080671193,0.0036167313080671193,0.004604071494400502,0.004604071494400502
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.003558260606668719,0.02174304477004821,0.006160476093316286,0.02346860516354483
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.003426922150749101,0.56417780297266,0.0033780994522898274,0.06825563929378005
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.003383384069596552,0.20936092300692163,0.0025015597013218894,0.034532205485780815
25,sett_exclude_features,sett_model,,,,,,,,0.0033828573262402253,0.026451156295126566,0.001954320453878681,0.016714735350184973
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0033779349698782792,0.55908982858567,0.004563627382593376,0.06597228154737335
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.00337746137780245,0.23959664599691394,0.001504982809193058,0.026295440225067898
5,sett_preprocess_age,,,,,,,,,0.003327940355752367,0.003327940355752367,0.004788996017792271,0.004788996017792271
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0032943957652928173,0.23414711048796333,0.0030612419340398794,0.02230257891916365
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0032247496639052787,0.5529873249688728,0.004829699594645413,0.08166985071294085
42,sett_preprocess_income,sett_scale,,,,,,,,0.0031720035453055525,0.012710707741879898,0.0037521318995992663,0.010040139476306564
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.003057092301419537,0.23529011027401792,0.0039192591636275,0.035616594764269566
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.003054582129696637,0.22925900491359463,0.0026818836644769534,0.03842821730502283
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0029840500500018003,0.3071125886676558,0.005428846401535342,0.04330472226246069
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.002926984807032491,0.26704082769861603,0.0017885428242115275,0.03711299630381994
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0028295207636487613,0.7131787012927431,0.0022707597166873126,0.0880406727757812
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.002815379679666504,0.22448364049076652,0.0022369517861405355,0.03227330878454042
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0027124951212763575,0.22701056740918207,0.0019050897295615442,0.030622803088872236
105,sett_exclude_features,sett_preprocess_age,sett_stratify_split,,,,,,,0.0026239727999968275,0.038655834061476865,0.007447231211347708,0.049758923248407756
116,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,,0.0025600291637651994,0.2543380575604276,0.0029340135468837675,0.035976689697484084
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.002502516467039616,0.35841129268769734,0.0024245402613334312,0.05545455973324188
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0024628889601777705,0.24002188202856456,0.0025003210410036226,0.023694644967100994
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.0024289757423841124,0.6130283428620515,0.003487169897751243,0.06764576189933483
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002367594344063177,0.3571203950296732,0.003369626285284989,0.05307920111541582
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0023633210952695096,0.7139748777330962,0.002192025485227608,0.06570844186060157
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0023481024781800324,0.23360466682955272,0.0014575999952533823,0.026379071811739204
109,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,,0.0023438475563828144,0.26078769866205487,0.0015773280313795266,0.03777830544569731
41,sett_preprocess_age,sett_stratify_split,,,,,,,,0.0023427862169664903,0.013436662806788884,0.004115221947832915,0.013615139768295644
115,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,,0.002322693664621342,0.25541060276109034,0.0021087522457849104,0.03238195747390362
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.002162118336811924,0.23018553438919492,0.0013429036296896007,0.02949202451163337
