,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
0,sett_cutoff,,,,,,,,,0.22882438321813603,0.22882438321813603,0.035161337105784785,0.035161337105784785
3,sett_exclude_subgroups,,,,,,,,,0.21989116907950487,0.21989116907950487,0.035741603835830346,0.035741603835830346
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.06346284241859687,0.5121783947162378,0.02314488235421732,0.05356381001408894
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.06185131084486614,0.29383189774515106,0.024602908251589863,0.056536387573574286
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.026226746144744892,0.6180056850671123,0.01858929246573987,0.058496973057384674
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.015469739739839039,0.5556401343771964,0.012006401056130078,0.05738689875197089
4,sett_model,,,,,,,,,0.01288443361660842,0.01288443361660842,0.008307945576972368,0.008307945576972368
2,sett_exclude_features,,,,,,,,,0.01208941782078004,0.01208941782078004,0.007842984654986227,0.007842984654986227
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.011011994581988316,0.6858720143536023,0.007159173918661184,0.060296042703660374
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009370443486539684,0.24024837329867635,0.007160885974846453,0.036850383704577966
30,sett_exclude_subgroups,sett_model,,,,,,,,0.009336613350842808,0.2421122160469561,0.007859318536803203,0.03543909349305402
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.00846050648217994,0.5988585979247053,0.007088400436498555,0.061179304417171204
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.008405840305777523,0.5364981301448779,0.00667048578179146,0.050988049997355143
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.006724642196524283,0.6528744041618858,0.00726538406367374,0.05798219690253581
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.00660450331525218,0.5306148260919469,0.006385890401945027,0.05212624625627568
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.006462429022881907,0.6577465104467617,0.004035392228122517,0.05010736209822924
12,sett_cutoff,sett_model,,,,,,,,0.0057709529536683225,0.2474797697884128,0.003971396279143783,0.03842974981717119
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005659815540483392,0.24657361657939947,0.0032311091446395727,0.031209806834026705
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005388806593633706,0.32430771394096247,0.0037907064765283468,0.0537719138043412
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.00536073094689095,0.22847565585976812,0.003940994080783203,0.034061881365989144
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005137825815182877,0.2732327915995856,0.003372397251337693,0.03687142859079753
36,sett_model,sett_preprocess_income,,,,,,,,0.004963165148234302,0.021071354598215023,0.003947642871440067,0.011520500553435398
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.004929390821027944,0.30931486734199753,0.004302564371010496,0.05647588115208787
