,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
0,sett_cutoff,,,,,,,,,0.22590909846512305,0.22590909846512305,0.03785737397705233,0.03785737397705233
3,sett_exclude_subgroups,,,,,,,,,0.2094434178867482,0.2094434178867482,0.03643581951296736,0.03643581951296736
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0755654340519217,0.510917950403793,0.03083205462626097,0.052970638971250164
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.07106921339156358,0.2937523598783532,0.027638063392811975,0.06008959899209793
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.028856895451616488,0.6324786893231242,0.01560296928815216,0.06512275214688237
2,sett_exclude_features,,,,,,,,,0.013239728600041401,0.013239728600041401,0.0076291920842584465,0.0076291920842584465
16,sett_cutoff,sett_stratify_split,,,,,,,,0.01094618388377874,0.24401430216338738,0.005664999978678069,0.04199784499919638
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.009170718962109938,0.5357785643706147,0.009997766749434919,0.056472214072348655
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.009125378854769009,0.538419369156569,0.006168886629190209,0.04317638598720443
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.008707220226440581,0.6781149012609373,0.012343757814888189,0.07037388671565756
10,sett_cutoff,sett_exclude_features,,,,,,,,0.008394901476109853,0.24754372854127432,0.005357082074968043,0.03611908943465873
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.00784086800549037,0.22145171987918755,0.00874049025586975,0.03392482673726189
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.007479701871606544,0.6791466608951517,0.007297844145179084,0.06073557270485832
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.007381041631408014,0.5281262288154149,0.006190493597369385,0.05191798576386666
8,sett_stratify_split,,,,,,,,,0.0071590198144855545,0.0071590198144855545,0.004783897100256329,0.004783897100256329
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.007090331124741238,0.5404125139630709,0.005088712969056468,0.053695977185867626
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.00708159996235682,0.6797247488051681,0.007367723507845214,0.06072292208096515
30,sett_exclude_subgroups,sett_model,,,,,,,,0.007065257613203444,0.22261036250116698,0.007225526110778541,0.041131668389795054
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.006293339315301284,0.31415811454821074,0.007943996155870731,0.05583800816663443
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006246431464415757,0.31574957453031394,0.0077384741588561986,0.07323981798462793
4,sett_model,,,,,,,,,0.0061016870012153114,0.0061016870012153114,0.004026955949909494,0.004026955949909494
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.005369032153822744,0.6636239618281424,0.004675149114008119,0.06566600700104101
12,sett_cutoff,sett_model,,,,,,,,0.00520909528358823,0.2372198807499266,0.0031881771649981904,0.0344840889155798
