,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2808277969103114,0.2808277969103114,0.028422515202887137,0.028422515202887137
0,sett_cutoff,,,,,,,,,0.1884445241292113,0.1884445241292113,0.029089904801064083,0.029089904801064083
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.09825121179694252,0.3919759541337108,0.029973326281804196,0.04585931348417412
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07736408635343445,0.5466364073929573,0.01649369487173961,0.03668253666767422
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.017481818619071592,0.6806311849498075,0.010736119453069896,0.055804810988111304
2,sett_exclude_features,,,,,,,,,0.012896945426456865,0.012896945426456865,0.005354974588404759,0.005354974588404759
4,sett_model,,,,,,,,,0.00954415759325027,0.00954415759325027,0.004383646630280012,0.004383646630280012
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.00833280366243778,0.7341141286011648,0.004501350275437456,0.05287597706579288
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.008225943998261096,0.5794286559458117,0.006555216474176105,0.03633634832008672
12,sett_cutoff,sett_model,,,,,,,,0.008210944594930682,0.20619962631739225,0.0054095900483635845,0.03075708909719724
6,sett_preprocess_income,,,,,,,,,0.007755422779089155,0.007755422779089155,0.005062914859875307,0.005062914859875307
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00699443653234863,0.41405190893778315,0.0075556938231153776,0.04281803685816195
30,sett_exclude_subgroups,sett_model,,,,,,,,0.006811202366412446,0.29718315686997415,0.0056965840607409125,0.027467132747679715
8,sett_stratify_split,,,,,,,,,0.0064650168567409495,0.0064650168567409495,0.0029114650280187768,0.0029114650280187768
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.006317506469996358,0.5702342581851538,0.003389009992117232,0.031617876043243356
16,sett_cutoff,sett_stratify_split,,,,,,,,0.00618969768578878,0.20109923867174107,0.003302042852648903,0.028618701905090565
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.00555486017260613,0.7236038462122208,0.0035074730929786743,0.04799028634448962
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005364801714379281,0.20670627127004745,0.0029307794294409022,0.02794612996951221
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005312719860975479,0.41661126364424594,0.003256670257062591,0.04321905938124152
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0052965410585781615,0.6164183322514996,0.005914182338035773,0.03771386977610644
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.004819293500938524,0.2934025131903391,0.006604793027779526,0.02966589513620749
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.004629423018847554,0.5680387450610422,0.002789787164494418,0.0372034461630461
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.004625629779670622,0.291918443546723,0.003927701779081346,0.026885022943916745
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.004198198369209941,0.20039814527751043,0.002988010831831736,0.028107265067592466
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004077941885192603,0.23150654503331797,0.0028852736663829465,0.03063563190316762
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.003990871635312133,0.023352833918509945,0.0042325088164271996,0.007513789119205922
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0035494009691927745,0.71155894643212,0.0019783369094362973,0.0521158691911638
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0034187902807048315,0.5551085611424997,0.0019059974569487202,0.03722602724341636
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.003273677607838302,0.22397222543227183,0.0021320249576965798,0.032056041564994045
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.003267472003508074,0.6971818095474158,0.0021505779184139407,0.05640889442560424
42,sett_preprocess_income,sett_scale,,,,,,,,0.003104465405186976,0.011783089204241254,0.003974090790054329,0.008703873235696524
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0029773998825632485,0.31309541035346056,0.0027372248960643784,0.0265144059363631
25,sett_exclude_features,sett_model,,,,,,,,0.002967229689896938,0.02540833270960407,0.0018693353624135887,0.006710300684211294
36,sett_model,sett_preprocess_income,,,,,,,,0.0029436258822636754,0.0202432062546031,0.002394660381038451,0.007041606836771951
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0028821080835501646,0.6113316892307797,0.002005089542631499,0.03887700560643814
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002834642129949854,0.22618649957783918,0.0017257647013153355,0.026532838734203815
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.002713453587071703,0.30927589316284937,0.004035367459149293,0.030383143167331553
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.002692221811987376,0.20838360920736257,0.006782995296586309,0.035034824113153534
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0026515283851995287,0.798256562660459,0.002404397987700969,0.04322341399903927
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.002498060910525532,0.6010835665163894,0.001914777335801963,0.032381517866148714
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0024742847330223635,0.40836591949979817,0.0015413068765737943,0.04388227905368894
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0023536187517790323,0.3150551177840445,0.0023189176486472286,0.028637231033619655
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0023213428992899764,0.223418216247245,0.0014826384433488144,0.02997829632439696
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.00216617641652608,0.21728831598559323,0.0013917219387611954,0.026511255118002057
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.00216077375897493,0.22216163053035884,0.0013847317252896302,0.02621148471332819
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0021561123571210436,0.19091766260419854,0.002407883157396778,0.028947632577899902
46,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,,,,,,,0.002096890696318533,0.5521397877459242,0.0025263758815625755,0.037508413652241036
43,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0020692797490269987,0.016289719384857102,0.0023788451538757607,0.0061975385462843865
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.002059046127673621,0.2595315576250492,0.0006875760387732602,0.030303353972569322
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0019284191157391479,0.5935556082247908,0.0019198177713235637,0.03693869923352788
31,sett_exclude_subgroups,sett_preprocess_age,,,,,,,,0.0019004838143671355,0.28410358714503603,0.0013427433653989732,0.028222610515535283
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0018686930250190305,0.21307335162863128,0.0012074463651679304,0.028700458359760022
38,sett_model,sett_stratify_split,,,,,,,,0.0018442069645115385,0.017853381414502757,0.0009448262070958887,0.005596669962616875
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0017775732341131709,0.19159740378368192,0.0012888320534024007,0.029906964765948438
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0017512128038874896,0.7694243243178616,0.001519924988625767,0.04379345481407774
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0017464084231487106,0.21199397206098958,0.0014145145488912326,0.0322108799399043
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0016995191866003834,0.44657619806590954,0.0011109773061794676,0.03796532537089423
228,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0016959883687177922,0.4377328706581998,0.0018302288528507427,0.04311753450143075
129,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,,,,,,0.0016441543210852893,0.690251328747983,0.002009639225460796,0.059998904948378506
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.001636343835976948,0.5841725890399627,0.0011985032423171636,0.03292175402081713
95,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.001596798140444557,0.3981940501879741,0.000895427119308348,0.04528088840096997
69,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,0.0015735007949046352,0.20672641069700032,0.000986619221988919,0.02998597586909837
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.0015581208532251685,0.6882623082571054,0.0012309334557565504,0.05457965201478399
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0014855730823095143,0.7798894371971332,0.0008839111520447061,0.046620478464234276
