,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24485501873570897,0.24485501873570897,0.013921400423422384,0.013921400423422384
0,sett_cutoff,,,,,,,,,0.2047867543275449,0.2047867543275449,0.011227524719031644,0.011227524719031644
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.1061164853711091,0.36411903841358495,0.008547443546899106,0.02043114554465732
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08109502604442474,0.5307367991076786,0.007389154980269193,0.019452474207485825
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02694906699371773,0.681908627886002,0.006590128026645962,0.027846291046726937
4,sett_model,,,,,,,,,0.013974163314122972,0.013974163314122972,0.0023992595955829575,0.0023992595955829575
30,sett_exclude_subgroups,sett_model,,,,,,,,0.01346958996903582,0.27229877201886776,0.003716236696751794,0.01081050462967437
2,sett_exclude_features,,,,,,,,,0.013147534306766857,0.013147534306766857,0.0016128353165298394,0.0016128353165298394
36,sett_model,sett_preprocess_income,,,,,,,,0.00842570279500663,0.025652123468197004,0.0024980412831462255,0.004946885899294892
16,sett_cutoff,sett_stratify_split,,,,,,,,0.006354816785348938,0.21621296358500428,0.001735402486899518,0.010660445136306556
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.005368717563337075,0.5652900472899525,0.0020487612286761462,0.017161941812509827
8,sett_stratify_split,,,,,,,,,0.005071392472110438,0.005071392472110438,0.001309192838552635,0.001309192838552635
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.0049909820499211555,0.3997896835379725,0.0013032227803684827,0.016385912809726965
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004984374248935273,0.7337836940671187,0.0014826845731096086,0.02386761496700498
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0049587421067297174,0.2228930307410415,0.0015711642475017655,0.01202405477345436
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004180718321982472,0.23853060087475703,0.0023356620288302854,0.014187266587630018
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004110551908678691,0.24595443309092876,0.0010293505679092481,0.01352562874921561
42,sett_preprocess_income,sett_scale,,,,,,,,0.003991140014792877,0.010623341494519215,0.0012941776942812133,0.002444557859669093
