,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24986905332665094,0.24986905332665094,0.010220882268328705,0.010220882268328705
0,sett_cutoff,,,,,,,,,0.2102862954026956,0.2102862954026956,0.008653664628349891,0.008653664628349891
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10510258121744946,0.36795775952653065,0.009705600334449374,0.015819434758820482
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07980691207218651,0.5399622608015331,0.006276761949257859,0.017106445891590587
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02140682999871771,0.6835927184690709,0.004283998314747333,0.02344445275420481
2,sett_exclude_features,,,,,,,,,0.012986124982430214,0.012986124982430214,0.0027785303789633737,0.0027785303789633737
4,sett_model,,,,,,,,,0.011744012787001967,0.011744012787001967,0.002279563260919958,0.002279563260919958
16,sett_cutoff,sett_stratify_split,,,,,,,,0.01022907325266273,0.22686315443748395,0.0018202719230090828,0.009294592242224741
30,sett_exclude_subgroups,sett_model,,,,,,,,0.008733585626180148,0.2703466517398331,0.001943511838539476,0.009525856528988486
36,sett_model,sett_preprocess_income,,,,,,,,0.007863904525330628,0.02565476837202423,0.002731483641210045,0.004365095987322793
8,sett_stratify_split,,,,,,,,,0.00634778578212563,0.00634778578212563,0.0016297638782621544,0.0016297638782621544
6,sett_preprocess_income,,,,,,,,,0.006046851059691634,0.006046851059691634,0.0015977316748563351,0.0015977316748563351
42,sett_preprocess_income,sett_scale,,,,,,,,0.0055719092246711835,0.01603853221913533,0.002350665192617376,0.00416889373664881
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0052262563734638496,0.7260169103405777,0.0016296091778689892,0.0250703970300432
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.00505883536271933,0.5672041653199379,0.0018382599901716119,0.01781531081902986
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0045534941040186894,0.042620450748886624,0.001772014674628584,0.007349164953043132
7,sett_scale,,,,,,,,,0.0044197719347725106,0.0044197719347725106,0.0016594584489689236,0.0016594584489689236
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004134921468940424,0.22740734185406622,0.0018415459500699099,0.009234707798378382
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.003958846297951853,0.3944587839205883,0.001057078861669383,0.015727488768303793
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.003932604998762603,0.24685401006525795,0.0008497664725836165,0.010012336348990554
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.00352182919242966,0.022855739956985505,0.002015162908049921,0.0029879527920604644
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002880620389211169,0.2503866504704954,0.0008390642301887595,0.008730589280641844
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0025828103656931074,0.593888315375598,0.0008958007127152455,0.018051937595289263
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0025441544467110426,0.21293411132815218,0.0011002302844500581,0.008859753554166986
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002537950528542353,0.7685100283285753,0.0007040955176058065,0.02297937235694899
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0024574245147375965,0.24141479702954322,0.0011978405583809052,0.009738356972347217
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0024376798109607984,0.7641032075232428,0.0010921986221368132,0.0229662948934277
37,sett_model,sett_scale,,,,,,,,0.002420507113400009,0.018584291835174484,0.0008545039792814925,0.002591328101834884
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0020691824882205384,0.5923858773469585,0.0009704687357428291,0.016939970963353316
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.00206647931577582,0.7012602948624436,0.0011773918021262466,0.0209743389679929
25,sett_exclude_features,sett_model,,,,,,,,0.0020645796829237267,0.026794717452355905,0.0007040694438315425,0.003974620309568496
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0020093031425398337,0.25792520752888237,0.0013991966812601023,0.009453614942082333
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0020036318738781657,0.551332884875225,0.0011199715875351863,0.01564054553662433
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.001981228299919836,0.3763885536126877,0.001303249935469724,0.014649640191941352
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0019370933183658085,0.7129351507989734,0.0007418651504968486,0.02213823962663959
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.001934863233300075,0.5687192010178896,0.0019224681834374866,0.014210715591953402
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0018529737727881583,0.2699363712749011,0.0008017699321269644,0.011098051723336926
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0018456990519872996,0.5595747048112472,0.0006587836148866065,0.01704153078761479
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0018328138139046468,0.37881119819822506,0.0013878517402023838,0.01451752862707597
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0018018998102321301,0.25609072507165553,0.0011735534418593724,0.009200870079997751
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0017993094394933087,0.6282295470658312,0.000663261436974867,0.017126158730649883
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0017424146566660898,0.24335175180383806,0.000530154712774285,0.00995543906648983
12,sett_cutoff,sett_model,,,,,,,,0.0017054707425034372,0.22373577893220098,0.0008654933716939623,0.009138609089411885
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0016901087203930883,0.7395552196117889,0.001009316518305204,0.019690704742742066
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.00168590447343426,0.03156945674205386,0.000994871915532551,0.005317625583035165
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0016571420778146312,0.22851436671829561,0.0013037656693653328,0.009564329014549592
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0015569824345314696,0.5587194490769549,0.0008744244995419161,0.015677944469735024
297,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,0.0015468208850822145,0.7253805669671672,0.0011162607535371665,0.01817062292387693
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0015464210989959899,0.5750573756565027,0.0009125302671751306,0.015631171213419164
292,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,0.0014884518046426394,0.745874287486039,0.0010415538355551218,0.02113416794151907
294,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,0.0014876833105172704,0.7154956825533068,0.0009024718603176266,0.01897774844268951
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0014781075500761868,0.5760740877512687,0.000360477509666754,0.01786815451982194
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0014723267803742226,0.8249813800563822,0.000532772036240636,0.020513503772168012
