,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2506880009664562,0.2506880009664562,0.012661885469348105,0.012661885469348105
0,sett_cutoff,,,,,,,,,0.20910076890377516,0.20910076890377516,0.01054790214971005,0.01054790214971005
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.09929249473244342,0.36602771846350196,0.006037732891813288,0.014144534411290176
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08378617873257821,0.5435749486028095,0.008219713104474481,0.013145900353438192
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02500430129059996,0.6907725580824366,0.004207405276091225,0.0147288305697556
2,sett_exclude_features,,,,,,,,,0.01604722276460236,0.01604722276460236,0.0014784673591569219,0.0014784673591569219
4,sett_model,,,,,,,,,0.01537161981915049,0.01537161981915049,0.0020959340875782457,0.0020959340875782457
36,sett_model,sett_preprocess_income,,,,,,,,0.012917989989344295,0.03201217729062154,0.0030902210396673846,0.0036495366779464126
30,sett_exclude_subgroups,sett_model,,,,,,,,0.010287298323908633,0.27634691910951537,0.003955723613319925,0.015189192656752655
16,sett_cutoff,sett_stratify_split,,,,,,,,0.008064696752543996,0.22225678530255683,0.0018291196467590523,0.009804528851375316
10,sett_cutoff,sett_exclude_features,,,,,,,,0.00685359069198124,0.23200158236035878,0.002284737024269074,0.012937841005167304
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.005629334627587441,0.047828152059199165,0.0019208165497375078,0.005778913383706734
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.00544068914933599,0.40047638155352644,0.002544291568340031,0.0199476591441826
8,sett_stratify_split,,,,,,,,,0.005091319646237675,0.005091319646237675,0.0013220067038090032,0.0013220067038090032
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0049618120946318955,0.7407921042521496,0.0012287815839904601,0.01896604681969937
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004154700303466388,0.25723834112302113,0.001465400666372216,0.013870707304323476
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.004092987839174157,0.575688237427459,0.001449103926940595,0.01277707991837076
42,sett_preprocess_income,sett_scale,,,,,,,,0.004029374844745666,0.01061735789744226,0.0010328959849416053,0.0020539970898945086
6,sett_preprocess_income,,,,,,,,,0.0037225674821267547,0.0037225674821267547,0.0013239895156330116,0.0013239895156330116
25,sett_exclude_features,sett_model,,,,,,,,0.0033490557976293394,0.034767898381382195,0.001292409194414655,0.0035406334020013676
37,sett_model,sett_scale,,,,,,,,0.0032918497256746804,0.02152888511539501,0.000998970197995968,0.0029883777648514504
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.002920064239509367,0.6054938792062525,0.0015236603082980074,0.01256424394670385
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.002879350748257799,0.2481516869242765,0.0012110824572267485,0.010891422958804593
7,sett_scale,,,,,,,,,0.0028654155705698393,0.0028654155705698393,0.00107709972381764,0.00107709972381764
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.002834187150590536,0.2505955143193023,0.0008993075923981102,0.012431991842063297
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.002673232065402556,0.28773543447066724,0.0008542157818142634,0.015249524738698127
