,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24744694098267928,0.24744694098267928,0.012667428735142996,0.012667428735142996
0,sett_cutoff,,,,,,,,,0.21153276958041747,0.21153276958041747,0.0103100390124947,0.0103100390124947
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10676969660844068,0.3694285621866328,0.0066013257229356114,0.014882251187834126
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08104388658872037,0.5400235971518172,0.005703991454107444,0.016963226425086464
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02669336704814105,0.6942579511365231,0.004013415474940814,0.01732528398560025
2,sett_exclude_features,,,,,,,,,0.015211924595512856,0.015211924595512856,0.0021327426162413587,0.0021327426162413587
4,sett_model,,,,,,,,,0.01486325097303138,0.01486325097303138,0.0026950270995405724,0.0026950270995405724
36,sett_model,sett_preprocess_income,,,,,,,,0.011932031196031239,0.02979927659501494,0.0032069224855246223,0.005342293750008325
30,sett_exclude_subgroups,sett_model,,,,,,,,0.011877168496820936,0.27418736045253156,0.0032550766378569456,0.01316240590543373
16,sett_cutoff,sett_stratify_split,,,,,,,,0.006924337333380135,0.2233520739773557,0.0014969091731255374,0.010421837537392406
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.00600828547552891,0.7455677555454943,0.0015787491500064026,0.019118629414445802
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005559365732611432,0.23230405990854175,0.0016975062034494805,0.011508726131114698
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005180844903155464,0.40448945326690544,0.0013791174470407206,0.016841785828788088
8,sett_stratify_split,,,,,,,,,0.004894967063558105,0.004894967063558105,0.001702359176785998,0.001702359176785998
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004537069574043304,0.04296579557628135,0.00187168240455382,0.00854377283028921
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.004181887359953467,0.5730545151675928,0.0016110256925922163,0.016283726418474035
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.00395012930724643,0.2563656780820541,0.0014469697056163245,0.011309608962286404
42,sett_preprocess_income,sett_scale,,,,,,,,0.0038314927299146597,0.00928363121282215,0.001374998941635177,0.002529300359127831
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.003489499003772877,0.2483143071884402,0.0015521023319247998,0.010723068250038938
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0033580496545487577,0.6018559319678525,0.001132001396568598,0.017917053652363096
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.003147504568366345,0.7192143312314208,0.0019112583103127597,0.014868224489292746
25,sett_exclude_features,sett_model,,,,,,,,0.0031396267072648105,0.033214802275809044,0.0010135062927002138,0.003887204036851815
6,sett_preprocess_income,,,,,,,,,0.0030039944259523253,0.0030039944259523253,0.0014878715397439344,0.0014878715397439344
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.002963712407125984,0.7899231551330536,0.0009534470791842673,0.022775237916627698
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002775815383431239,0.7833072577493525,0.0009199478139832379,0.014905475484256277
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0026717387917946462,0.24926894827461032,0.0007891410464857811,0.011888725611079374
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.00265167331765044,0.28366701158895136,0.0011817277291865534,0.012771085102916602
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0025053704379540877,0.633187393567078,0.0007758851528193465,0.015403481748612636
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002473845177335695,0.022580736836406656,0.0008265977345607638,0.0031555471223214658
7,sett_scale,,,,,,,,,0.0024481440569551656,0.0024481440569551656,0.0007826827825623192,0.0007826827825623192
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.002365185397432116,0.23413582028750518,0.0010110678523169705,0.01075639684264979
37,sett_model,sett_scale,,,,,,,,0.002349812620353275,0.01966120765033982,0.0008836391937759926,0.0034792619302807934
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002320595338986462,0.5938671778422872,0.0006353262624964808,0.014078757091319569
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0022239279444948397,0.567853698756221,0.0012751446763183364,0.01527943279022026
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.002211395254761275,0.8489317364824167,0.0009312511975181957,0.018432574922930763
12,sett_cutoff,sett_model,,,,,,,,0.0021086111859697568,0.22850463173941862,0.0008953522656452313,0.009942292989803045
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.002097126024079182,0.7091349785674583,0.0011237080688375801,0.017312341228314047
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0020608588088981044,0.2525117942175297,0.0009511571078562449,0.012182719800565942
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.002013844001076834,0.7436574698119394,0.0011170425025288184,0.016114492534925886
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.00200740854017843,0.05172619581810561,0.0010352040933865828,0.007082471476628207
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0018802370615356313,0.5483528382714684,0.0009626236644566533,0.016339442725706213
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0018511862129683694,0.7666586105459453,0.0005891188093530826,0.019546782609634758
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0018112848950518285,0.5550057904931918,0.0008345808674549086,0.015836471905440012
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0017576350789747096,0.5832947339843779,0.0006948218463648766,0.017297082957417973
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.001742426543322993,0.038132197313869784,0.0006857520385165517,0.0042513025721610375
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0016925958262558234,0.292876840709669,0.000821426312292976,0.015094620192423846
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0016810982160264246,0.37983007669293756,0.0009064412290782866,0.014390526850673645
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0016180840871580793,0.37767945888877585,0.0008439163161640344,0.014895940383493355
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0015679593801345645,0.019783878401599744,0.0007357330409354845,0.0022901152458596765
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0015664012165444538,0.6111571343154718,0.0007088285947449458,0.015590858441421222
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0015596057605092879,0.41994801141429855,0.0004888890907480307,0.015141297815054274
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0015448851234916077,0.2780467932751838,0.00033527937835842143,0.012026592529000322
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0015312076925265128,0.702962835961014,0.0006474077385916552,0.01817418839028029
