,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24266517737467364,0.24266517737467364,0.00823248486715357,0.00823248486715357
0,sett_cutoff,,,,,,,,,0.20207978250624858,0.20207978250624858,0.011186738819532017,0.011186738819532017
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10541014770926802,0.36101438618103077,0.009407478658574983,0.015278583760982319
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08303437047034778,0.5277793303512699,0.007905975323625218,0.015306849726826837
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.025493128842509608,0.6754671857323953,0.005023394656720042,0.020512814214751436
4,sett_model,,,,,,,,,0.01654767817829487,0.01654767817829487,0.002962028448476592,0.002962028448476592
30,sett_exclude_subgroups,sett_model,,,,,,,,0.013068478187375079,0.2722813337403436,0.0028491963109785402,0.008117626816478641
2,sett_exclude_features,,,,,,,,,0.012939061097089134,0.012939061097089134,0.002201172965122541,0.002201172965122541
36,sett_model,sett_preprocess_income,,,,,,,,0.012343372689772831,0.033088051299515045,0.0029753244726162145,0.005514937128505511
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.008125097859927509,0.7349490694326568,0.003084074795215476,0.017144945533019203
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.00735816795486686,0.4016835995894538,0.0024496154589512,0.0153170226293851
16,sett_cutoff,sett_stratify_split,,,,,,,,0.006866376361814556,0.21510664582113137,0.0012709233236129467,0.011924004678761481
8,sett_stratify_split,,,,,,,,,0.006160486953068277,0.006160486953068277,0.0014738345909715662,0.0014738345909715662
42,sett_preprocess_income,sett_scale,,,,,,,,0.004836634996171688,0.011464381988482396,0.0019746227201186697,0.0041555372222021065
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004641369883924477,0.04745105930265479,0.0014866974855393131,0.008018832405790167
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0045553267242717296,0.5635739771570596,0.0016899645899466768,0.013486589269939188
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004509081991791387,0.2452391743094166,0.001363557387911593,0.011097870933431588
6,sett_preprocess_income,,,,,,,,,0.004197000431447344,0.004197000431447344,0.001819293266006424,0.001819293266006424
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0038455177322585248,0.21886436133559622,0.0012543315748712617,0.01100232406985316
25,sett_exclude_features,sett_model,,,,,,,,0.003694889087886217,0.033181628363270224,0.001461793410296354,0.004411992856082877
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0035136508185618955,0.7856983429167398,0.002194725291268247,0.015156672921917318
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.00336515312565424,0.24153931152166558,0.0013899674168472433,0.009323529433985891
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.003312005761208108,0.6953703718678734,0.0016788775747449843,0.02125020125364762
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.002989756557900362,0.5948344080390358,0.0011594300819335681,0.012289980646973972
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002891673912525545,0.7725436866568701,0.0012402475425391725,0.016962037622868544
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.00285605974816962,0.5385310830841258,0.0013434783440216863,0.014927174047386162
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.002825832042288306,0.27557388018529494,0.0008818393504944555,0.009359334007065238
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.00274956496289162,0.2367707175861987,0.0012310290043442667,0.011575205247581623
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002648691950816533,0.5854604358617794,0.0008516904741050372,0.014967000418734938
37,sett_model,sett_scale,,,,,,,,0.00245425656218021,0.021432681301338446,0.0007603993808235053,0.003380206348433922
7,sett_scale,,,,,,,,,0.002430746560863364,0.002430746560863364,0.0009705419835831614,0.0009705419835831614
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0023466878944396756,0.22840493540394227,0.0009253845403858366,0.00966696769988905
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0023461003154656526,0.6997192817704865,0.0010691624857730691,0.020862177137552982
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0023155316788390067,0.24917770948495999,0.0010810586695136246,0.00875060169038725
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.002259773949816941,0.05359550030236655,0.0007020191742346391,0.006854843555544788
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0021299279728280163,0.021229476022985423,0.0009920989172198318,0.0022204930275124134
