,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24304897804930792,0.24304897804930792,0.010264929287633432,0.010264929287633432
0,sett_cutoff,,,,,,,,,0.21243294685163117,0.21243294685163117,0.007950836065768806,0.007950836065768806
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.1072623516781179,0.3657639149825601,0.005147265079052609,0.013514567426680649
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0743363855243992,0.5298183104253382,0.005760892025583072,0.011121466400297727
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.026881934614953886,0.6843283854283405,0.004257932364649719,0.015332982268824123
2,sett_exclude_features,,,,,,,,,0.015452585255134339,0.015452585255134339,0.00234374133608898,0.00234374133608898
4,sett_model,,,,,,,,,0.013855959226734337,0.013855959226734337,0.0020643172198717857,0.0020643172198717857
30,sett_exclude_subgroups,sett_model,,,,,,,,0.013240511862722334,0.2701454491387646,0.003207569720118384,0.01141563058983231
36,sett_model,sett_preprocess_income,,,,,,,,0.012732381880325803,0.0314956834457433,0.0025096173074221485,0.00451562723269534
16,sett_cutoff,sett_stratify_split,,,,,,,,0.007362209368995171,0.2242287575248091,0.001975708843788877,0.00845531825483728
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.00694458438236036,0.40349661261787645,0.002028064432957832,0.014802474547291285
42,sett_preprocess_income,sett_scale,,,,,,,,0.006493178140572519,0.01452775490989679,0.0013996987169740298,0.003104328992066803
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.006288156494054183,0.7401661870350226,0.0012609765369216875,0.013481816242024103
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.005849604569713849,0.0499159169947218,0.0017417935103090382,0.007093306059426438
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004913203454796128,0.23279873556156164,0.0019213133969416061,0.010877479104049733
6,sett_preprocess_income,,,,,,,,,0.0049073423386831625,0.0049073423386831625,0.0018558276662320663,0.0018558276662320663
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.004858393830676122,0.5640181578256445,0.0011778089886892034,0.010694119459921145
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0047135711664621025,0.25730489059843076,0.0009890740184010749,0.011316052457706382
8,sett_stratify_split,,,,,,,,,0.004433601304182777,0.004433601304182777,0.0014119030150715464,0.0014119030150715464
25,sett_exclude_features,sett_model,,,,,,,,0.0036916421634992707,0.03300018664536795,0.0009526160320689484,0.0033542767433914307
7,sett_scale,,,,,,,,,0.0031272344306411087,0.0031272344306411087,0.000981059287357721,0.000981059287357721
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0030211364785349597,0.2503821755972672,0.0008464942662066824,0.010864913963184215
37,sett_model,sett_scale,,,,,,,,0.002950216408051023,0.01993341006542647,0.0011490146301881684,0.002864616080869767
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0027664928839926865,0.0226526794433098,0.0009835940494374148,0.0025133162921878133
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0026357791291183527,0.7840209107327176,0.0008189378046995342,0.017563001251561797
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.00262374963773584,0.5934877889473363,0.0008564198041609249,0.01368519732776391
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0024626533110096286,0.24972159318902765,0.0006706490791678597,0.01054683138629367
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0023490985785512807,0.23416407703627035,0.0012592698526629371,0.008881277941208387
12,sett_cutoff,sett_model,,,,,,,,0.0022449824801734114,0.2285338885585389,0.0008452712678536484,0.0082224755080691
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0021991681323787235,0.7751203453479197,0.0007987844155298614,0.011720298118162935
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002153064978329591,0.583969857629377,0.000825090370924924,0.009717802158343202
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.00213594838170324,0.7009057375699063,0.0008954157625374594,0.016552323978811692
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0020168174368502528,0.24997313782484132,0.0009375454658724847,0.010992598735607899
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.001997711183277283,0.24817392366322633,0.001031964582652263,0.010369543363680827
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0019814060115799547,0.2851050366963201,0.0005535971501149556,0.013714316293014749
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0019737341228743344,0.7075893329831118,0.0010071198727931215,0.014689454356237237
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.001971614810158895,0.2374063622176733,0.0011085051296970965,0.010855747939336333
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.001936812823019642,0.03863446573950044,0.0009299472278413018,0.004246740102014245
