,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24570830787175998,0.24570830787175998,0.010594891971215855,0.010594891971215855
0,sett_cutoff,,,,,,,,,0.20549126988606925,0.20549126988606925,0.007011887082244336,0.007011887082244336
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10240744783849345,0.36425901688143003,0.006485607063480934,0.014209002990511059
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08361946213929672,0.534819039897126,0.005327324148289951,0.01626623735486263
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.025976745078902602,0.6848451050501799,0.003293001858623953,0.020007763558192806
2,sett_exclude_features,,,,,,,,,0.016143261171176572,0.016143261171176572,0.001671384566456949,0.001671384566456949
4,sett_model,,,,,,,,,0.01336472279251754,0.01336472279251754,0.0030351136807670086,0.0030351136807670086
36,sett_model,sett_preprocess_income,,,,,,,,0.01134178878822261,0.02896198455742377,0.003441277791796651,0.005166550996936618
30,sett_exclude_subgroups,sett_model,,,,,,,,0.010754321617645078,0.2698273522819226,0.00319667037434345,0.010204519075159015
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009785993467041145,0.2221620691242417,0.0024976351786261766,0.0077052539014655745
8,sett_stratify_split,,,,,,,,,0.006884805771131283,0.006884805771131283,0.0016743987718611352,0.0016743987718611352
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006098545996278625,0.3969567422979837,0.002122078623357066,0.013973034590373287
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.00595551594750986,0.5671955166541027,0.0018959989223013695,0.014454934929072506
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0054986110644813365,0.2271331421217272,0.0019079873412138218,0.00691723799424443
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005163238312134338,0.7339556401386932,0.0013208023915925438,0.018731311379171046
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004763676378564806,0.04351705757720267,0.0018569686830514106,0.005390592491348236
6,sett_preprocess_income,,,,,,,,,0.004255472976683617,0.004255472976683617,0.0018452094211350342,0.0018452094211350342
42,sett_preprocess_income,sett_scale,,,,,,,,0.004152050318493424,0.011481804607253333,0.001021550089826288,0.002016922460253154
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0033187591010751458,0.7788747563576347,0.0025120117434120764,0.018765303222344678
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0032156186826424425,0.2411412219606976,0.0014872624927121077,0.008757022022586256
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.003101319581996665,0.776958161763796,0.0011896706095647547,0.016051926742319218
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.003088694354927321,0.595992809886015,0.001212707875563772,0.014755646375887286
7,sett_scale,,,,,,,,,0.003074281312076291,0.003074281312076291,0.0009200720782861367,0.0009200720782861367
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0029921390130110688,0.24827205533667257,0.0013312543806344409,0.006859039824737329
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0026127660999865077,0.5943758850181176,0.0006741632706784893,0.013523030628491502
37,sett_model,sett_scale,,,,,,,,0.0025650650106443856,0.019004069115238217,0.0006892117559676607,0.003296048967080518
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0025578331809580704,0.555656238186884,0.0009776295117855203,0.01597180063613026
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0024925855646911375,0.7014832601534042,0.001287830494406485,0.01801288703242066
25,sett_exclude_features,sett_model,,,,,,,,0.002480135010112468,0.03198811897380659,0.0010732585756330546,0.003949380590200776
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.002469954663867813,0.27555621560243226,0.0012793055441244583,0.010868553555510217
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0024314293395403036,0.025459496281848158,0.0012321403280572383,0.0026235777570898585
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0024257216470289916,0.24866109234646888,0.0009590811968083959,0.00757261486481739
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002349279520273123,0.7142802221257913,0.0015883687809593813,0.01880302317725561
12,sett_cutoff,sett_model,,,,,,,,0.00230191639930432,0.22115790907789112,0.0009579034914534421,0.005895993218184062
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0022199820892392437,0.5445606427717836,0.001222998910285767,0.015255062732654702
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.002095715373476982,0.2520594962219206,0.0011153520584201396,0.009522011615455116
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0019345367252995489,0.6327211196165783,0.00048456355080693785,0.013594314811198634
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0018919134612784307,0.22574034121421,0.0009835254986409667,0.006198328251821485
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0018345693130527767,0.050773116944035926,0.000958694992548999,0.006053629794145417
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0017557977131892662,0.4141655536296297,0.0006702311627724783,0.012957463162166581
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0017336215337404486,0.8403720172797029,0.0005227300937481751,0.0152818195716798
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0016944637390953778,0.7520318093075997,0.0005055607263460137,0.018419810787482872
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0016807128983430647,0.2504633020821793,0.0008635823047440331,0.009936889827107647
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0016431565137622881,0.2355553709397012,0.0006670003162095507,0.007479174523723825
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0016085658706275255,0.2542016795135188,0.0005226073439658569,0.010728018855717779
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0016077395077410909,0.5692786328801699,0.000674157184687567,0.015127995183811846
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0016019876804668407,0.422256675111462,0.00046281004453268344,0.013616688324183505
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.001601328674191582,0.5756107717385509,0.0005467799846629586,0.013926880598843845
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.001595678545321224,0.6104345536181903,0.0005688340430015628,0.01298529017927553
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0015488497426654224,0.26403366017373714,0.0007651787322782421,0.007975978358841994
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0015417351017448047,0.24022944889717077,0.0004880830138972729,0.0063023942642112425
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0015401915961142294,0.7389391120340862,0.0006464934228058703,0.017560968792363837
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0015162024563354563,0.37077008945435885,0.0008474612479645814,0.013397370622697241
