,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24556165589136209,0.24556165589136209,0.01067322002991474,0.01067322002991474
0,sett_cutoff,,,,,,,,,0.20822616284139733,0.20822616284139733,0.010047027563628002,0.010047027563628002
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.09886059925448035,0.3574768271418757,0.008726675907681683,0.01734295591971332
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07850770796711368,0.532295526699873,0.0065367197186680945,0.016841332759248814
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.022783609300558828,0.6731412520585247,0.004375930914067734,0.02549219153374707
2,sett_exclude_features,,,,,,,,,0.013054571996033283,0.013054571996033283,0.0025568873212442294,0.0025568873212442294
4,sett_model,,,,,,,,,0.012733092227980207,0.012733092227980207,0.0018004989422357456,0.0018004989422357456
30,sett_exclude_subgroups,sett_model,,,,,,,,0.010890412755278727,0.26918516087462097,0.0031458609785441215,0.01169456320159822
36,sett_model,sett_preprocess_income,,,,,,,,0.009445163025147661,0.027077793280006222,0.0018717258660307008,0.003910202384906158
16,sett_cutoff,sett_stratify_split,,,,,,,,0.008995524018023001,0.22382168748903894,0.0021724090503173837,0.01053236851127101
8,sett_stratify_split,,,,,,,,,0.006600000629618605,0.006600000629618605,0.0013655110411317144,0.0013655110411317144
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0061469448075791595,0.2274276796450098,0.0017040686245146563,0.012349093456792894
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005941044616379258,0.3905192427854314,0.0021105285796457233,0.019713526545837152
42,sett_preprocess_income,sett_scale,,,,,,,,0.005838100714793376,0.014560554281250443,0.0020756413035105045,0.0036195334284051567
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0057917511704041105,0.7223562166125888,0.0014442584105372493,0.026639370814190915
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.004990906078319201,0.5622988090593242,0.0017547674165712724,0.01617003899893182
6,sett_preprocess_income,,,,,,,,,0.004899538026878355,0.004899538026878355,0.0018434892674228439,0.0018434892674228439
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004001020363912158,0.24902852957869248,0.0007145497222035282,0.011337799168432017
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003951694601767525,0.043644207458181955,0.001993519015237591,0.007354760505161909
7,sett_scale,,,,,,,,,0.0038229155395787117,0.0038229155395787117,0.0008772569783853703,0.0008772569783853703
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003619369224751854,0.24955597168108368,0.0014704272085436293,0.013407726633458255
25,sett_exclude_features,sett_model,,,,,,,,0.003477866043917473,0.029265530267930964,0.0015936643595198241,0.003812169800305505
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.003236299812309197,0.7672394507062098,0.0017576905585975384,0.020953631504703245
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0031243626883597168,0.2751641240885314,0.001320582453315868,0.011393596092622214
37,sett_model,sett_scale,,,,,,,,0.0029537033220361215,0.01950971108959504,0.0009390931357810643,0.0028776908778278664
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002913398163680454,0.022567970789332342,0.0014764721113046221,0.0040431367582817014
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.002902906073694126,0.2412457429534573,0.0010619475140323477,0.009382398002114305
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0028951992747437726,0.6918591743120811,0.002526315572292208,0.02098936879222794
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0028331324239324177,0.5899204609269828,0.0010599215248552631,0.013841957085159633
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0024994061275829312,0.2518839775585237,0.0009157726165384226,0.011103929032552475
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0024684862178254168,0.5434754210073505,0.0013642747122254316,0.014831169297179042
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002363058923793915,0.7017527073497065,0.001025083076870809,0.026439033513220377
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0022991092411399775,0.3676823381233715,0.0025022809418210113,0.014674179478630658
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002247010735952437,0.7633501016350315,0.0007961721712510837,0.028127957664709637
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0022290554056379,0.36643850480167184,0.0010655924468704282,0.01786249599213307
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.002161860602286817,0.25262305452052725,0.0019130145822060939,0.009523026999268124
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0020966281048263964,0.24093991850953841,0.0006786145934148877,0.00991709388629086
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002046613351067989,0.5871193152890752,0.0006601881130297172,0.01767360787030557
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0020339625552404155,0.22689855788417113,0.0008639035982192699,0.009388727653204728
297,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,0.001937760123663293,0.7180179106047817,0.0014335145751309811,0.020533098143610564
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.001875953636463246,0.5612047370294371,0.0021064189077478713,0.014248836109716995
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.001872490057785964,0.40609954271791915,0.0012490675567479032,0.021811980637455396
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0018365617775352148,0.5507491272435935,0.0007725547991849466,0.017810226411466647
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0017698958050769644,0.046225130236224585,0.0005901460724030952,0.0038536805232123354
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001758742095473295,0.6244211111473215,0.0005329538191521405,0.015431475072128336
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0017237108784272093,0.8273836830788155,0.0005480104283860899,0.02062609479035651
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0016972236687035115,0.5661451053486817,0.0006878990743294491,0.01564087008989543
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0016807907400975292,0.2101878129874007,0.0005303044525913087,0.010178285246695153
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0016500094604867338,0.21477571032876241,0.0009736749645602318,0.010399872345003211
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0016231712346086958,0.2765626740800141,0.000650204566939438,0.012891102783652022
227,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.0016086387644018406,0.38560306110879955,0.0011812389607115932,0.015044468050408195
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0016026114011838837,0.26393372971628437,0.000662517634391607,0.010413899252504084
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0015929959741373414,0.41479336460869626,0.000460441643259959,0.017200883225443934
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0015288577318145178,0.7289520514617823,0.0005729959723351392,0.02039138759484456
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0014987163190047638,0.23632094656257027,0.0007484335707569127,0.01247719247552069
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0014901379951702545,0.7394772922146231,0.0008617238420419452,0.025234423888763062
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0014611743861617631,0.6206731037868398,0.000602484199123105,0.015491998171868162
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0014573664514823932,0.31094007814535624,0.0003739128190394221,0.01348784129778688
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0014498714234364562,0.2582214248413758,0.0005511655984474503,0.011252203466977055
