,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2538121371608168,0.2538121371608168,0.007674469026265719,0.007674469026265719
0,sett_cutoff,,,,,,,,,0.21095351805044105,0.21095351805044105,0.008519327377815564,0.008519327377815564
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.11299078047982314,0.3826356907145271,0.009148525697067528,0.014945680875067157
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08397495582352667,0.5487406110347846,0.005655959040230945,0.011493838668817135
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.03201646881507395,0.7151478993443168,0.004005027267421199,0.014592736000665936
2,sett_exclude_features,,,,,,,,,0.015832773073887134,0.015832773073887134,0.0015390915250700543,0.0015390915250700543
4,sett_model,,,,,,,,,0.014635562216819883,0.014635562216819883,0.0017462865242394569,0.0017462865242394569
36,sett_model,sett_preprocess_income,,,,,,,,0.009943726641291365,0.028194280438445116,0.0027584827677125086,0.004674653982416206
30,sett_exclude_subgroups,sett_model,,,,,,,,0.009638265699535641,0.2780859650771723,0.001519282873790666,0.007723373193306659
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009190640051539769,0.22593089926461632,0.0018300784030572583,0.008929375453494679
8,sett_stratify_split,,,,,,,,,0.0057867411626355055,0.0057867411626355055,0.0011516347828009102,0.0011516347828009102
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005567265940748002,0.23235355706507618,0.001565315272747089,0.00862481327416527
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005400501565243578,0.4155944060275899,0.001287606067285903,0.01542354158897474
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004714659442692311,0.25672434803368066,0.001243308017781664,0.008557017462009578
42,sett_preprocess_income,sett_scale,,,,,,,,0.004586583974623329,0.010595736997718886,0.0018453622099749674,0.0033715362726253833
