,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.263059281515037,0.263059281515037,0.009767602027996904,0.009767602027996904
0,sett_cutoff,,,,,,,,,0.21473104213358082,0.21473104213358082,0.008272922760732725,0.008272922760732725
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.11204477733057353,0.38915004819401505,0.00738378787538751,0.013456611808048276
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08635674899218362,0.5641470726408014,0.004251814837523692,0.01167071706263688
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.031079840610423737,0.7284820097201204,0.003084347228779586,0.013593495947497224
2,sett_exclude_features,,,,,,,,,0.014045989348404581,0.014045989348404581,0.0015698773900274308,0.0015698773900274308
30,sett_exclude_subgroups,sett_model,,,,,,,,0.010027113710152873,0.28204877527628425,0.0027657055139702607,0.010416739197722302
4,sett_model,,,,,,,,,0.0089623800510944,0.0089623800510944,0.0011636491934018738,0.0011636491934018738
16,sett_cutoff,sett_stratify_split,,,,,,,,0.008404435264518954,0.22954472745077148,0.0013412604438237184,0.008207728297637912
36,sett_model,sett_preprocess_income,,,,,,,,0.007370446347304983,0.01970832084784699,0.0024354101649130397,0.003300797752619566
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0071643297899172224,0.23594136127190266,0.0016159769298138029,0.008983852950202102
8,sett_stratify_split,,,,,,,,,0.006409250052671673,0.006409250052671673,0.0010276314621517025,0.0010276314621517025
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004720008766540057,0.034286529546512734,0.0015664690617633373,0.005913218123126911
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004628777588286067,0.767128929411938,0.0009990341344792858,0.015228287093422188
42,sett_preprocess_income,sett_scale,,,,,,,,0.004610089975484337,0.010771178392416307,0.0016916875852174993,0.002623261126569181
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.004280414484652991,0.4143681001807744,0.0015463103804261669,0.014512797624218757
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.004096729007544365,0.5882172847363143,0.0018804060294352327,0.013646045467460512
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0037193717825064546,0.25155524617308384,0.0008271227044596596,0.00918483810585314
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0034743026864734856,0.256988693859206,0.0010833262568528002,0.008839977099276792
6,sett_preprocess_income,,,,,,,,,0.003375494449447605,0.003375494449447605,0.0007490500332431281,0.0007490500332431281
7,sett_scale,,,,,,,,,0.002785593967484364,0.002785593967484364,0.0013142336329051594,0.0013142336329051594
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002759344583639236,0.023214583984715494,0.00134859596502064,0.0021740249140081614
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002593540269890754,0.7565601254709637,0.0010446904734042143,0.012625188815107588
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0025774334256883575,0.8075146115957745,0.000959157715285391,0.013299682464576794
37,sett_model,sett_scale,,,,,,,,0.0024625159891569904,0.014210490007735754,0.0008099644400584032,0.0019335190431987433
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.002306420417349353,0.23840383003859705,0.0008407090912714515,0.008496029269383556
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.00218823308855179,0.7996037030679854,0.0007525262332184209,0.015758673130856535
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0021813312348262803,0.6079552423748207,0.0005801523710676564,0.013727394424365467
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0021573749372538514,0.5820797337813308,0.001143839137755329,0.011608120752481127
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.002086138348144171,0.21697754782740653,0.0007148883634785142,0.008340685872489723
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0020488693486608697,0.6119859824680705,0.0005890858073221598,0.01356347625737543
25,sett_exclude_features,sett_model,,,,,,,,0.00194814374085907,0.02495651314035805,0.0008935975805881772,0.0022204294003554444
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0017990652022913394,0.8586316443462896,0.00038460782315627554,0.013620453715982944
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0017955956374632075,0.2714941534090021,0.0006946804556000322,0.00994830852780533
