,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25177190920307346,0.25177190920307346,0.01021976330927388,0.01021976330927388
0,sett_cutoff,,,,,,,,,0.1980743094220217,0.1980743094220217,0.009177638501675425,0.009177638501675425
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10674318632401884,0.3737733410337183,0.007207134161009814,0.015560062181607914
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0817866237663185,0.5316328423914136,0.007502639718522052,0.013868922536265118
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.027056283474095385,0.6848103130145711,0.003130756585344718,0.015979792312498953
4,sett_model,,,,,,,,,0.015259483288776037,0.015259483288776037,0.002244070106730178,0.002244070106730178
2,sett_exclude_features,,,,,,,,,0.015258245506626026,0.015258245506626026,0.0010565083734599544,0.0010565083734599544
36,sett_model,sett_preprocess_income,,,,,,,,0.010727542398819501,0.030593938930917663,0.0038203601972028826,0.004820581468248663
30,sett_exclude_subgroups,sett_model,,,,,,,,0.010103209297926062,0.27713460178977556,0.0037363848423876416,0.012456487514635954
16,sett_cutoff,sett_stratify_split,,,,,,,,0.008655058242924885,0.21163899452762353,0.0015715894606717102,0.00969572450344328
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005925631201783381,0.4084816553240045,0.0020443733711204073,0.0189731348937288
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005784094181613348,0.7349578096499401,0.002069219316571071,0.016505453752949487
8,sett_stratify_split,,,,,,,,,0.004909626862676939,0.004909626862676939,0.0012109797089642571,0.0012109797089642571
42,sett_preprocess_income,sett_scale,,,,,,,,0.004886365294863084,0.012808449228352396,0.0017356599010514614,0.0030316254499038716
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004805702805355342,0.046813082828079,0.002272540039818798,0.008802889057608983
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004647089278653832,0.24228080109173883,0.001582087743292083,0.008265817894682628
6,sett_preprocess_income,,,,,,,,,0.004606913243322129,0.004606913243322129,0.0012308501511402443,0.0012308501511402443
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004119755318417243,0.21745231024706496,0.0011705014922493697,0.009676057596874238
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0035060711093722915,0.5620035338629313,0.001325002196237369,0.013842923370769051
25,sett_exclude_features,sett_model,,,,,,,,0.0034199905018006643,0.033937719297202726,0.0011100637027540942,0.0031910742181821264
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003357661130625779,0.2368938380032467,0.0007146991912647688,0.010278816154332522
7,sett_scale,,,,,,,,,0.0033151706901671857,0.0033151706901671857,0.0011310962827484304,0.0011310962827484304
37,sett_model,sett_scale,,,,,,,,0.003211905106775727,0.02178655908571895,0.00116905930147055,0.0030880546405628166
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0032011228409237536,0.3848633616091165,0.002009937894048189,0.015289565820219547
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0028675593760724124,0.23455043352249516,0.0013307534035093603,0.008576859725894118
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.002690660928643358,0.7797943915971797,0.0005733834600989406,0.01713368284167554
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0026565396634563258,0.7105136678191728,0.0013499689767146289,0.014367532328526014
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.002615689298296246,0.040547080840679414,0.001229500541229582,0.004694431732835711
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0025298792697006477,0.7724582956560364,0.0007685608107578061,0.013047103223053278
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0025191815199541202,0.022687053889257087,0.0011621826539437998,0.001805793483895429
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0024682433247710154,0.052817800637832,0.0018130551320531246,0.007201255792818325
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.002455587379075219,0.5897318552060926,0.0006406434749287205,0.010654824234629698
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.00244333092486531,0.2694907975012611,0.0010467139856389714,0.010068676646246005
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0023022920225741856,0.22056802878303625,0.0007645092157944202,0.008064236552220948
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0022947522015711345,0.5837891947163567,0.000695760729445499,0.012784750697240145
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0022190323244790098,0.20057162839428466,0.0012642617696861018,0.008788537042709951
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0022046021174356796,0.2585834245638312,0.0012714714797678103,0.009771239314293419
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0021744069087642737,0.7030484570753894,0.0011366809822655208,0.015262597918179242
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0021736549722667156,0.2572607348655073,0.0013340230476468998,0.010485732167796942
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0019546918087005455,0.541911747578912,0.0010444694509898975,0.013099835179795872
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0019155960704933031,0.5477958569160051,0.0010029790243856692,0.013609798178996027
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0018731100751339944,0.737008848268152,0.001245558832100433,0.014129968541603631
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0018490000611736815,0.6207303992778228,0.0007933499199523986,0.009291702948945301
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0017546069100116209,0.8355060409573182,0.0010472607507463218,0.0125113722717981
35,sett_model,sett_preprocess_age,,,,,,,,0.0017423120292503163,0.017938247386529382,0.0010452612858058027,0.002666974860849871
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.001704020900208588,0.6195508855462122,0.0009079329238694996,0.01291006900928626
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0016265042807773428,0.25451384015645895,0.0005400812922339177,0.008844039698139218
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0015935501105906963,0.5761193315230979,0.0007665487544886768,0.01484851047491545
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0015880493656274999,0.7549331177255052,0.0009700608147049757,0.017635857264087406
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.001546786552478942,0.4357129751771677,0.0007300702681617326,0.02045203198140062
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.0015308663270540371,0.5391565652499812,0.0006965824198998325,0.013920813478915746
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.001529514393832278,0.5618545014396323,0.0006967037303674975,0.013349017228511052
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0015200514370393623,0.25403867680130476,0.0006689689795563792,0.009051989281613167
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.001512698018040055,0.20419392068338388,0.000699771164418291,0.009551399344729422
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.001506326749915194,0.22615563063205896,0.0007942209156290034,0.009953524715983268
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0015053870904908036,0.42185768300507137,0.0005736125601199578,0.018446072802383185
12,sett_cutoff,sett_model,,,,,,,,0.0015019277754433273,0.21483572048624106,0.000735304128897846,0.008234873589034044
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.0014232202906001188,0.5570207586094551,0.0006663403236176762,0.013342841630043548
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0014014052842985024,0.2305341386704877,0.0004961548311455156,0.008700657688877015
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0013987270016956326,0.2960723865510485,0.0005948830631279174,0.011921969096080834
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.001382085109336182,0.4211917689907316,0.0008641594994484898,0.02050118257110391
292,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,0.001316154807792147,0.7545425067943619,0.0006311594964856937,0.017811409716263535
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0013149081474270925,0.017509605722556148,0.0005035160830611633,0.0016876199957643208
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0013135664619589177,0.2659952804390347,0.0003744882549015098,0.0086038404859157
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0012712033730456038,0.5697040155185387,0.0009391725412137969,0.0132825976696856
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.001268827396651339,0.5711648654668984,0.0006793456478793923,0.013486258083665317
79,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,,0.0012323133776251014,0.27972825413636354,0.0014779798012265113,0.012897828264781364
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0012242017299452426,0.3069813426915045,0.0004644399711181085,0.01163297196181657
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.001194202697587818,0.5991588289092131,0.00038138659567482435,0.013019077048145629
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0011941610486180061,0.284653450843913,0.0003310757794804695,0.012491098073840832
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0011774432268163695,0.28701277578580153,0.0009399667047842827,0.013516711778154408
419,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,0.0011727526989273106,0.8206097298178898,0.0004106905547982488,0.01864303077964417
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.001172022875330333,0.7233646261561137,0.0005038399483515634,0.015152148045024372
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0011687458304138355,0.8048590776074724,0.0003342301787321409,0.015492977487527121
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0011609245099269694,0.30037253776467665,0.0005490787100909099,0.010216504264929697
