,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25060051198680844,0.25060051198680844,0.012680932977897814,0.012680932977897814
0,sett_cutoff,,,,,,,,,0.19987016346651382,0.19987016346651382,0.006454424556489951,0.006454424556489951
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.11650241717111509,0.38150529812975426,0.008507208102185474,0.018183726390548233
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08170150190252695,0.5321721773558492,0.00582729749573589,0.01640897739664968
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02900596056623867,0.6970726337029571,0.004184721959375735,0.02513910182643281
2,sett_exclude_features,,,,,,,,,0.01440236897183074,0.01440236897183074,0.002431834073793593,0.002431834073793593
4,sett_model,,,,,,,,,0.012957568368608684,0.012957568368608684,0.0024455130325652247,0.0024455130325652247
36,sett_model,sett_preprocess_income,,,,,,,,0.010742803779093615,0.028986138275967514,0.0026172478399509548,0.004973250837247526
30,sett_exclude_subgroups,sett_model,,,,,,,,0.010710527724416982,0.2742686080798341,0.0021509164514092603,0.010886133990985073
16,sett_cutoff,sett_stratify_split,,,,,,,,0.008639468807681305,0.21373052448782925,0.0017588967707612053,0.007129040959882873
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006469906740484618,0.4140217199189,0.001511111588362463,0.015904384095147706
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0063349586065424455,0.7454252388008217,0.0013940314899495063,0.02294009806237851
42,sett_preprocess_income,sett_scale,,,,,,,,0.005614317400524982,0.015004433785785516,0.0018642757442458215,0.004032793126723831
6,sett_preprocess_income,,,,,,,,,0.005285766128265215,0.005285766128265215,0.0017785138240730808,0.0017785138240730808
8,sett_stratify_split,,,,,,,,,0.00522089221363413,0.00522089221363413,0.0011736034091349623,0.0011736034091349623
