,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24382934662735273,0.24382934662735273,0.010104950310650033,0.010104950310650033
0,sett_cutoff,,,,,,,,,0.20858386933265347,0.20858386933265347,0.009576343632467647,0.009576343632467647
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10709449889686588,0.3654224566082436,0.009177839747912541,0.017512473925703147
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07901668591364026,0.5314299018736465,0.006255906590061683,0.014167820605201787
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.029022359414576093,0.6882337988816921,0.004843045078348,0.022494546061175735
4,sett_model,,,,,,,,,0.01511102916161168,0.01511102916161168,0.0033568201721281593,0.0033568201721281593
2,sett_exclude_features,,,,,,,,,0.014498611084024955,0.014498611084024955,0.002446036796247029,0.002446036796247029
30,sett_exclude_subgroups,sett_model,,,,,,,,0.01226948176777495,0.2712098575567394,0.002111812686758532,0.009786202836130162
36,sett_model,sett_preprocess_income,,,,,,,,0.011227789700017449,0.030351001800730408,0.0032380525046515414,0.006350810541247004
16,sett_cutoff,sett_stratify_split,,,,,,,,0.008992596319806236,0.2228062108751259,0.0024926662347485697,0.01027275104852133
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006772774966097654,0.402658395641649,0.0016557272356408923,0.016342026219791892
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.006552585134735521,0.7433997224470532,0.0010721673946195455,0.020429325064206947
10,sett_cutoff,sett_exclude_features,,,,,,,,0.006188427612578687,0.22927090802925712,0.0018075028947046703,0.009401977958839427
8,sett_stratify_split,,,,,,,,,0.00522974522266618,0.00522974522266618,0.0014920167509851186,0.0014920167509851186
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.004937656500196692,0.5653101557085163,0.0011328461637065568,0.013429420452024702
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0048776564917368745,0.2539043332258134,0.0015990692362812524,0.009544433152671401
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.00474322233440928,0.04508465192573536,0.002073908655041294,0.010638562039656647
42,sett_preprocess_income,sett_scale,,,,,,,,0.004371173087280745,0.010871438971863757,0.0018706639930321203,0.0030023651618546273
6,sett_preprocess_income,,,,,,,,,0.004012182939101282,0.004012182939101282,0.0011836273232066052,0.0011836273232066052
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0031409206695612374,0.7859994838866202,0.0010435288860452386,0.018694324241737094
37,sett_model,sett_scale,,,,,,,,0.0031311717578331967,0.020730283864926605,0.0013480734389456394,0.004654763431955585
25,sett_exclude_features,sett_model,,,,,,,,0.0030826531379211835,0.03269229338355782,0.0008860045963836205,0.004702465343645109
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.002958681655559822,0.24473360893501073,0.001211308623135678,0.00951269891712694
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0027474083697669694,0.0224757646764581,0.0007884567669224184,0.0027260197455999027
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.002691309126721336,0.5922444925522424,0.001293275995644292,0.012499136906482407
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0026348075748349182,0.7824520479650812,0.0013061637069688666,0.01817297294007388
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002614645897935454,0.589720564212209,0.0007714793069892733,0.01283236090959083
7,sett_scale,,,,,,,,,0.00248808294548173,0.00248808294548173,0.0008064946041461684,0.0008064946041461684
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.002166229541231902,0.2807722850223541,0.0006842332817139251,0.008829939597354956
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.002062918692975449,0.05153566726442915,0.0010823831091334006,0.007559608064021088
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0020559504800746215,0.24829660842157114,0.0006486952682538047,0.009804466086156222
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002040860062547666,0.7139758187556209,0.0009852681459402255,0.020478350904074506
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0020075204930837917,0.5490250288569669,0.0005690843976769965,0.01364323049105253
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0019877351706451855,0.2498292647370992,0.0013781551257632482,0.010660465581505714
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0018797845597251848,0.21060163208219712,0.0007436342505095784,0.009983145443000802
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.001878260838341732,0.5739887600222153,0.001245516730863802,0.01287886620300869
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.001840575196990025,0.737832232254721,0.0010087996623367433,0.019509096751968612
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001830513087515019,0.6257219554456017,0.00045041790531825905,0.01285419059655216
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0018217535144463355,0.3747846107812135,0.0010554099453434617,0.016970566061877492
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0017918363854986384,0.7037269331522182,0.000764122091304413,0.021322779435351776
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0017914924859765847,0.8436865641191825,0.0006097957501213139,0.019220430999354457
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0017904744412684344,0.5739365557866347,0.0013702251792318191,0.014123521319633294
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0017528487434186144,0.24222951020094713,0.0005675916868868229,0.010457517046445004
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.0016300379259210967,0.23378041843827865,0.00048040300533130204,0.009861853976060054
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0016216969780971007,0.23772324023601316,0.0012577980927960314,0.008341942295055466
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0016169102826521062,0.7607864838523315,0.0007102470540983602,0.018461837875561226
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0015641847553090698,0.56155236616685,0.0006620769566757699,0.01269928306533774
12,sett_cutoff,sett_model,,,,,,,,0.0015620864052865186,0.22525698489955165,0.00079558490854824,0.009682550166992255
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0015417278091989035,0.41821451176475355,0.000664873386672608,0.01601738623708372
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0015404825487771558,0.020051276571903393,0.0009676292520205934,0.0033127173182090765
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0015195862652530923,0.42817003599058556,0.0006517018011398569,0.01627096557133107
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0014504518635136657,0.280252654606188,0.0006187458428475713,0.00955471558225552
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0014394769931800086,0.5401472667173535,0.0009983158554972178,0.013698971042027025
130,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,0.0014289218614145585,0.26239915383775003,0.0008359292354836969,0.010245463395267343
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0013969798232221302,0.27799870611674354,0.00039395638034257546,0.010360116278492653
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0013938806412411337,0.6048450162360239,0.0005732669714248985,0.012613525942602986
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0013892659730413682,0.22943518132080493,0.0008105658610284259,0.00994952165738691
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001367827983007005,0.31192128943733677,0.00033712386024201856,0.010218363876157748
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.001365264947764348,0.2504243567977833,0.0007623283366959836,0.009765597260479904
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0013391915177205851,0.2897767568842239,0.0004627060363405125,0.011153478956447556
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0013159352746733603,0.3706169669655507,0.0006992499991918671,0.016515322268021868
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.001302673978219052,0.37606754912666013,0.0008332282485239707,0.016983062693401583
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0012980573822900386,0.4136929098999288,0.0004912400311406045,0.01538043960581253
255,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,0.001286546611993727,0.7595267579952214,0.0012024579025060203,0.02077078477805058
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.001277969740780496,0.21387402201253525,0.0006254057722315145,0.008844030346155937
19,sett_encode_categorical,sett_model,,,,,,,,0.00127619604583581,0.01652520339726593,0.0006386631471505573,0.00337974362273389
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0012418303414183946,0.30250577299915077,0.00037640100373594596,0.011669292045500997
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.00123713628776419,0.6957250490587734,0.0007202431416973727,0.02148566554846761
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0012195279363326798,0.265151820166821,0.0003309210363047121,0.010586946110525668
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0011697990902589498,0.24748722866309342,0.0008098234121209898,0.009577473959979032
5,sett_preprocess_age,,,,,,,,,0.0011697324136323356,0.0011697324136323356,0.0007916617484722835,0.0007916617484722835
228,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0011638185858436896,0.38864667386509144,0.0006879147869075879,0.017049416624596178
