,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.23555061204783007,0.23555061204783007,0.011019948134888415,0.011019948134888415
0,sett_cutoff,,,,,,,,,0.20960574570385454,0.20960574570385454,0.009129780413870272,0.009129780413870272
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10315149794473355,0.35384884079962886,0.00879685163838315,0.016375958575791945
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08212473015657104,0.5272810879082557,0.006489607765113033,0.017987969850808156
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.032777862785265476,0.6842698830023124,0.004856160232962334,0.026216010386525105
2,sett_exclude_features,,,,,,,,,0.015146730807065214,0.015146730807065214,0.0023991765935099615,0.0023991765935099615
36,sett_model,sett_preprocess_income,,,,,,,,0.013731550531143624,0.030220406957525515,0.0036802073556098137,0.006515660227584117
4,sett_model,,,,,,,,,0.013613524653902032,0.013613524653902032,0.0026855952267169124,0.0026855952267169124
30,sett_exclude_subgroups,sett_model,,,,,,,,0.009745371767135993,0.25890950846886807,0.00413911804026341,0.010053101175084261
16,sett_cutoff,sett_stratify_split,,,,,,,,0.008460962462073389,0.2245459946009453,0.002535235387309505,0.008699243578619932
8,sett_stratify_split,,,,,,,,,0.006479286435017391,0.006479286435017391,0.0014543077965479257,0.0014543077965479257
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006093004890011606,0.3871736101822959,0.0025806952963569494,0.013783219789219724
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005912703556992544,0.23066518006791228,0.0017811926248517934,0.010011354176400433
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005084661384104607,0.7322080315494909,0.0015842521703271395,0.01992391932303455
42,sett_preprocess_income,sett_scale,,,,,,,,0.004394667422364305,0.01022099896996619,0.0014237956949124519,0.0032696149196469525
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004373982927909301,0.04466369629907482,0.0015002554163098581,0.009828821655589444
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004340969892386136,0.2542010857124144,0.0013913355620633323,0.008487912409664327
25,sett_exclude_features,sett_model,,,,,,,,0.003872868071617485,0.03263312353258473,0.001179459110712498,0.003413826373493091
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0038679347039305063,0.24721442930944437,0.0014171993785767583,0.013586512697735718
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0035406309925375508,0.2513305722540783,0.0012183648150211484,0.009758842111648762
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0034792048614240524,0.5558277322173142,0.001564560672496641,0.014348685627001577
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0031038446727816964,0.7825398039936866,0.0015549507108322824,0.020646781297402144
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.003040122548950362,0.7026966548467695,0.0024969270987328573,0.02340047744976673
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.002976885110214664,0.5871110692950083,0.001875254873681959,0.01576756455398157
7,sett_scale,,,,,,,,,0.0029509997751220257,0.0029509997751220257,0.0008228689114280358,0.0008228689114280358
6,sett_preprocess_income,,,,,,,,,0.002875331772479859,0.002875331772479859,0.0014123993828717245,0.0014123993828717245
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0028059564269543387,0.020828019006499415,0.0014714710102453562,0.0028940951294905465
37,sett_model,sett_scale,,,,,,,,0.0027236392161536773,0.019288163645177735,0.0009657793963926793,0.0040845236300266746
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0025761653212410633,0.5806631502088546,0.0007537260048249815,0.012442163529333411
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.002497243442192823,0.2860356589327492,0.0008450965224287974,0.014099901681204023
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0024816957865698534,0.7734914238967245,0.000730589085588184,0.016426917298349733
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0024375171122702774,0.7118902711372816,0.0010002198163478054,0.025526071130533286
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.002219049076218274,0.2403773162611021,0.0009913199229716126,0.011032715268514792
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002184512296537665,0.02381052953862027,0.0009472242247661439,0.003266160605168533
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.002157958855001165,0.5588525001473578,0.0010530890599314109,0.0162130903137532
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0021211408446936073,0.7404788951272314,0.0017331367255875312,0.022854163823890744
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0020731220257039526,0.5360474271946475,0.0011019510480881748,0.01657377279846806
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.002036307951314779,0.7511522002279722,0.0014640808870455813,0.018284794665600655
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.002025708349877969,0.05407167061304052,0.0009648707691829258,0.0067705761226589415
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.002018725011725577,0.6226229614426799,0.000464216019431635,0.012601618592156685
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0020060865706706737,0.2404320303909806,0.0011064147550131054,0.01006262207272015
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.00194062744601361,0.27946310478917585,0.0010842965025537868,0.009380779506004579
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0018117989175373396,0.21429287639387173,0.000752224963858206,0.009360872451734597
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0017612063435839531,0.4159153821289622,0.0009559940837906058,0.012483834158076761
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0017492588795023705,0.545266083446676,0.001069556137237347,0.017943060585818554
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0017297884283929913,0.8096884946013296,0.0008924012048038922,0.016615056738729053
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0017272350344864798,0.2803258210981242,0.000654649860636806,0.00768602598364465
