,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.26677893376704587,0.26677893376704587,0.009083719582741324,0.009083719582741324
0,sett_cutoff,,,,,,,,,0.19849648190436797,0.19849648190436797,0.011107490165078615,0.011107490165078615
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.1075182470662307,0.38858762324036056,0.011688177164281043,0.0160355303128865
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08424751063257672,0.5495229263039905,0.004818175928258074,0.01552969905053218
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.03042806961577483,0.7065234496594436,0.00690508890628674,0.024963232465011472
4,sett_model,,,,,,,,,0.01441174499420427,0.01441174499420427,0.002175751335142778,0.002175751335142778
2,sett_exclude_features,,,,,,,,,0.014290442407083933,0.014290442407083933,0.0024464315805257553,0.0024464315805257553
30,sett_exclude_subgroups,sett_model,,,,,,,,0.010107571777063454,0.2912982505383136,0.00339747104039596,0.008502686297419966
36,sett_model,sett_preprocess_income,,,,,,,,0.01001400624960204,0.02778403377969056,0.002649121733639307,0.004595687219708413
16,sett_cutoff,sett_stratify_split,,,,,,,,0.006852618437704657,0.21024779451712763,0.001662167019374969,0.011403655998479919
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005883734427108404,0.7562462554791012,0.0015349622260145258,0.017226452653821854
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005444243315229157,0.42136277458466515,0.001905233781446017,0.012540868954041698
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.004962946092797769,0.5809315188718096,0.002116144697302428,0.01258743178280627
8,sett_stratify_split,,,,,,,,,0.004898694175054999,0.004898694175054999,0.0013390342295883195,0.0013390342295883195
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004763764266363565,0.21755068857781545,0.001955178405470233,0.011968543842194089
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0041746442516933146,0.24087499878527435,0.0014305642419946462,0.011083982413936223
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.003990593246711516,0.03901081609345154,0.001656171554522626,0.007423384609057474
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0033882867848808325,0.7325197527906148,0.0015182901661951367,0.022465137304940305
6,sett_preprocess_income,,,,,,,,,0.00335828253588425,0.00335828253588425,0.0014845312124924309,0.0014845312124924309
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0033285763640668146,0.6066874956346924,0.0019151706758953953,0.012474779264024129
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.00307236380529477,0.603152626084931,0.0014459628046918818,0.01256227789404139
42,sett_preprocess_income,sett_scale,,,,,,,,0.0030039260257525746,0.00864892967601404,0.0013436671535657085,0.002684055726340653
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0029788872174145776,0.7959114575203843,0.0014372780666336716,0.016894307855271334
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0029515009860658407,0.7955530156312236,0.0014161668656539929,0.013375805448862762
25,sett_exclude_features,sett_model,,,,,,,,0.0028115912578077643,0.031513778659095965,0.0011479231603697536,0.0020530009107138495
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0026969622929636037,0.23424059023040966,0.0011986530500700562,0.012622640184303648
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0023308495722766547,0.7210367108043247,0.0010370743659008324,0.023355750556364654
7,sett_scale,,,,,,,,,0.0022867211143772145,0.0022867211143772145,0.0008215834395353633,0.0008215834395353633
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0022750869258202078,0.5650673861076538,0.0007111594252088776,0.01502398784273881
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0022416267468709393,0.02143076332900987,0.0010040482807500465,0.0024824121336010896
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0022382768691166025,0.23183264647875165,0.0012244638676221933,0.0111844530342557
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0021249675027926558,0.39937097193016247,0.001642327945708139,0.014194221296551355
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.002083776645230426,0.5577081134468774,0.0007832753506820792,0.014310852381218443
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0020800542126728724,0.20077455256740734,0.0008435498965687325,0.011215985405181173
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0020431679918176673,0.7155280618994556,0.0009605113015106522,0.025291028504844167
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.001989930137210367,0.30801607320095953,0.001007071071650154,0.008875579508593663
37,sett_model,sett_scale,,,,,,,,0.0019455419269196774,0.01864400803550116,0.000616372752197731,0.0029705938538656888
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0019322218558429386,0.6387675395935244,0.0006409955723674485,0.011513711538840751
12,sett_cutoff,sett_model,,,,,,,,0.0019263297037535561,0.2148345566023258,0.0009603903412177065,0.010606071661048218
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0018990579831998026,0.7558681163943077,0.0009241528797785296,0.020718897901450338
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.001894031193970217,0.776650066741481,0.0008022435335504571,0.01711160873166846
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0018804611419316907,0.5776545693544268,0.0007107953528401806,0.013731557466365604
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0018652225944745524,0.21939461639013638,0.0007707652017874541,0.01044561324596176
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0018017748416379747,0.44388607101761934,0.000996521174414348,0.012650609298300064
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0017444916557732106,0.8540840302077732,0.0005954418575201874,0.011894357344381925
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0016663217400198287,0.5535660630555951,0.0009607688049125804,0.015610669275437227
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0016289689047788033,0.5907938476192082,0.000543769141549711,0.01193660244205157
