,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24870190801993738,0.24870190801993738,0.011233917894808078,0.011233917894808078
0,sett_cutoff,,,,,,,,,0.19804694497896594,0.19804694497896594,0.009487656011076822,0.009487656011076822
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.11199286774185391,0.3763944685293593,0.010225909761240392,0.01436928735245992
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08479387534205285,0.5315427283409562,0.00851688359103658,0.01647372995264984
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.027831497765034307,0.6917887951424192,0.006507715629125864,0.02126015154893836
2,sett_exclude_features,,,,,,,,,0.015699692767568045,0.015699692767568045,0.003500765893373887,0.003500765893373887
4,sett_model,,,,,,,,,0.01285626532616839,0.01285626532616839,0.002433124981319794,0.002433124981319794
30,sett_exclude_subgroups,sett_model,,,,,,,,0.010634633035814245,0.27219280638192,0.0032469814861442593,0.00962230808812293
36,sett_model,sett_preprocess_income,,,,,,,,0.010375132639349666,0.02596608121034108,0.0035503211972091383,0.005642997428532345
16,sett_cutoff,sett_stratify_split,,,,,,,,0.008732306370490932,0.2123725354692298,0.0019019777027874018,0.010064061087484004
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006012114688860113,0.4095203565279104,0.0018076235738558894,0.012618991338941222
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.00593120393453841,0.7412659579504173,0.002186300555715737,0.01770498364144426
8,sett_stratify_split,,,,,,,,,0.005593284119772899,0.005593284119772899,0.0012850670538177037,0.0012850670538177037
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004722008527006719,0.2184686462735407,0.0015333064760896888,0.01037668500133379
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004349272958749026,0.03873410589981857,0.002067834373723358,0.008837415095213885
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.004264951560907827,0.5612422124469021,0.001220367957382002,0.013350233812507474
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004211485130945446,0.24110290586141828,0.0009165993964792139,0.011476945489015256
25,sett_exclude_features,sett_model,,,,,,,,0.0036228749477083665,0.032178833041444796,0.0011342244956809057,0.004670804733618538
42,sett_preprocess_income,sett_scale,,,,,,,,0.003580643669955561,0.008814878751869995,0.0017919146546736537,0.003502420514503321
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003391656282038459,0.23864915408212017,0.001662061536227688,0.01080095242935863
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.003114126459975959,0.5875888358164489,0.0012448428349745206,0.013633505276898376
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.002959528279987129,0.2306999586890754,0.0013876661714374086,0.012234395447723256
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0028866429631432323,0.7820849277294113,0.0013775985701749468,0.015873216444723406
6,sett_preprocess_income,,,,,,,,,0.0027346832448230263,0.0027346832448230263,0.0012746595776260995,0.0012746595776260995
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002599966186236529,0.5845357187496744,0.000918873559474408,0.012995862524106548
7,sett_scale,,,,,,,,,0.0024995518370914075,0.0024995518370914075,0.0011923744486337965,0.0011923744486337965
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002463261036277178,0.02375623792361812,0.0008854536752248983,0.004250465053457271
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0023720975220534917,0.7794322633821019,0.0006594996766975283,0.016951311659672667
37,sett_model,sett_scale,,,,,,,,0.0023385562236814946,0.01769437338694129,0.0008109585452392084,0.002880387025472057
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.002229126428314648,0.020663502440705715,0.0013147092080850462,0.004128635638615763
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0021279056354993747,0.5490231089343729,0.0008347064393241679,0.01679560783408865
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0020504003828194844,0.7180822583023351,0.0008282277812190575,0.021556183017659
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0020419608898589476,0.26626508245479774,0.0010251593878653207,0.012308069989607312
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0019928133332176292,0.253429404597978,0.001560501399373261,0.010145071140597818
12,sett_cutoff,sett_model,,,,,,,,0.001943634183055377,0.2128468444881897,0.0008617796530779152,0.010406430552467448
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0018855468886252711,0.619930387666255,0.00093599791209932,0.013500960236438049
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0017837700367259023,0.20256539826051487,0.0007284776686327735,0.009491447810890022
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0017629457318200448,0.21716556312258745,0.0007869423014052822,0.010965290528878015
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0017448389392865924,0.8380634779677048,0.0008801491349841966,0.014487561716928462
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0017434062788370904,0.04926118163276923,0.0007281491610291516,0.006478946765204775
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0017367864025514955,0.2890322220018618,0.0008971517648037091,0.009860173629086793
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0016849151761745363,0.2001839982123186,0.0008085908408123206,0.00915615507188891
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.001671494872164979,0.7062928877352254,0.0010235640581555095,0.020157506691025423
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0016497829729161958,0.5397037779286389,0.0007946639827764579,0.015609496155276603
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.001649585415925316,0.7586596729963997,0.0007451089472791531,0.018365460096014894
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0016021818942028871,0.5699953488703358,0.0005613211514085191,0.012715239928652047
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0015781733498882755,0.561053188387226,0.00046271922721153404,0.015601099913773968
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0015389816780618376,0.2656305785481963,0.0004942010570794804,0.011988634695152179
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0014676019466696006,0.7403855619302312,0.00045053560820282915,0.019489328870773644
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0014572932724842371,0.432937451036649,0.0007893094901517438,0.012625997707623028
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0013949068557315486,0.4237593100099891,0.00039724985880202924,0.012632120831504534
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.001331788933142479,0.5467212843328068,0.0008864219992983385,0.015403959642327951
310,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0013301739158846746,0.6038715204281907,0.000562984670127625,0.013430702389232621
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.001323640448803724,0.25085833914067884,0.0004831757619828001,0.013340076860057228
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0013145131968390386,0.6002759884502804,0.0004473959809744444,0.012013888084365527
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0012945687954830525,0.22651079477888736,0.0004148184830088247,0.009938330892590323
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0012768384905700245,0.5687226323724104,0.0005056310429364709,0.014039998348757708
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.001276778569462918,0.5557443442727819,0.0005722478847265003,0.016241976299535034
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0012610779150391063,0.5349526289190216,0.00047041292129081726,0.01605930235221466
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0012579909566191455,0.698905214530283,0.0005860102417793387,0.021109738365615617
294,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,0.0012497636476859909,0.7200205080796784,0.0009750871654517468,0.019344596478007008
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0012136665783021947,0.7317698955921899,0.0005396194582243259,0.021363932952468707
317,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.0012087471925870434,0.5746258581488566,0.0011936424665335188,0.016559550168891317
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0011887998673746367,0.8103779669580664,0.0004283113648061388,0.01762907437055131
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0011774341065840838,0.2982715391761214,0.00046149878902852564,0.012882812368312227
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0011745769958536971,0.2523760368528825,0.0010026909050821118,0.011748188477965356
