,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.23955356207787074,0.23955356207787074,0.011742281267173348,0.011742281267173348
0,sett_cutoff,,,,,,,,,0.2096961267858232,0.2096961267858232,0.00855919752579139,0.00855919752579139
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.09701927618896132,0.3497397164612822,0.007541486264217022,0.016883726012077372
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08579195896489217,0.5350416478285861,0.00597795407648845,0.012547694101104496
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.023683153137910647,0.6745052129752225,0.005220137461890029,0.02298963426366351
2,sett_exclude_features,,,,,,,,,0.01316687819445014,0.01316687819445014,0.0030896806105438694,0.0030896806105438694
4,sett_model,,,,,,,,,0.012471219251151992,0.012471219251151992,0.0021142369476768496,0.0021142369476768496
30,sett_exclude_subgroups,sett_model,,,,,,,,0.009749772080067115,0.26177455340908984,0.0028179854978726453,0.011807155138582954
36,sett_model,sett_preprocess_income,,,,,,,,0.00923794578767041,0.025263929564082122,0.00274353532801318,0.0037355408358019917
16,sett_cutoff,sett_stratify_split,,,,,,,,0.007903889286129666,0.22286968617221675,0.0014094198310228758,0.009058095905133057
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005982815406274183,0.7215176507945347,0.001712272994688978,0.027321924532894698
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005877454398731836,0.3809856153674913,0.0021188181474346116,0.018577174103045938
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005594257625314312,0.22845726260558763,0.0018748780553477207,0.009382177702341007
8,sett_stratify_split,,,,,,,,,0.005269670100263907,0.005269670100263907,0.0009784599659668567,0.0009784599659668567
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004817191968602289,0.0407940388037803,0.0018252665678026457,0.006265488714500743
42,sett_preprocess_income,sett_scale,,,,,,,,0.004760610555194499,0.011759141261776249,0.0013457707347663212,0.0030883940119133244
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004220297898650237,0.2498074258708079,0.001069674340370635,0.011234374130123702
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0040522326690188145,0.5628260647679838,0.0014916372173088604,0.013657768192757175
6,sett_preprocess_income,,,,,,,,,0.0035547645252597187,0.0035547645252597187,0.0016131575640681893,0.0016131575640681893
7,sett_scale,,,,,,,,,0.003443766181322031,0.003443766181322031,0.0010891126551150542,0.0010891126551150542
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0032475083067082895,0.24775473327364103,0.0011610412132100059,0.010135413156822985
25,sett_exclude_features,sett_model,,,,,,,,0.003147453176258199,0.02878555062186033,0.001154365876700388,0.004750662677171985
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0031148537461638155,0.24622318034929427,0.0018173832088304394,0.01112727304510694
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0028764029749515337,0.021312951269665578,0.0009259857047326728,0.0030237427519128114
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0027119060321844426,0.5902099681235995,0.000828010771097646,0.01266152572816166
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.002675843412078548,0.2408686620818008,0.0011219988289512574,0.009541930599083778
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.00256204849504871,0.7639966087154885,0.0008437033134871321,0.02387863384501042
37,sett_model,sett_scale,,,,,,,,0.0025085405345793596,0.018423525967053385,0.0009936725958470298,0.002914410409323188
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002488459737654377,0.5862512297938041,0.0010769640411548288,0.011509914242073866
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002448943997007104,0.7015697691393128,0.001000968157499124,0.02099158190355824
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.002448702687188548,0.5458815381678553,0.0016861141903239199,0.010587824334096106
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0024274710657278212,0.35979822583209237,0.0014830946859703275,0.015389131516406225
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0023550615003263106,0.7612228528797893,0.0008436158038102674,0.024112433934412425
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0023498538993433496,0.5520180115193141,0.0008678223230117812,0.011097564492763026
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0022061664069723324,0.6242240139175237,0.0011677370766801868,0.010818608556337879
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0021987940870491908,0.692693837234601,0.0011652195697370736,0.019743007319104215
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0021194651532081992,0.7293932941967984,0.0011390454235368128,0.016464028360851125
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.002096267028522977,0.2734559185439103,0.0009580729524770528,0.010979096916746157
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.002070808727443072,0.21189001977605387,0.0010144559647028053,0.008659845322222342
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0020683532270042507,0.22907602830094353,0.001162629715603921,0.008924139762356861
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0020437528266237116,0.567763088217466,0.0016848157818790577,0.009524370463583193
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0019183177844130663,0.27960043525259687,0.0007366910480467219,0.01234002922940472
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.001842919267712333,0.8239507100426409,0.0007063498665194154,0.016411716726933447
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0017610487336734626,0.2364560652788368,0.0010193441802382654,0.00827631883921534
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0017215693806571404,0.21497246069174006,0.0012331209032279487,0.008035599376354813
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0017124486565015659,0.03428336893934127,0.000907649000401544,0.005846837620695009
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0017084430300525356,0.7428701157814074,0.0006338090530176731,0.02734444590376243
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0017018189457300038,0.5731455110216936,0.0008746105208086599,0.014053422352143869
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0016396337715813484,0.04417931474003065,0.00074684803371678,0.005801709463299481
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0016362788294324439,0.6838780533710884,0.001140532924051109,0.022181441597633383
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0015599408630629038,0.2610009068396022,0.00072196821564293,0.01086123397704492
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0015565492805830845,0.5394610341624764,0.0008314561101456059,0.012241930484449848
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0015380293885416253,0.5536755687509434,0.00098195236947641,0.010639389462933696
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0015194833891834527,0.27106280449578063,0.0006250205308335739,0.010402203223207639
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0015159657997948143,0.35635070541889147,0.0010989402806698262,0.016341708600560074
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0015153371946954488,0.3608540771361841,0.0007579542454886688,0.015675955259399504
12,sett_cutoff,sett_model,,,,,,,,0.0015111929391598276,0.22367853897613502,0.001084493442947356,0.009682350779924348
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0014750583902550457,0.7176817755021173,0.0008868816522141613,0.019713247672490625
294,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,0.0014728803177115903,0.7089454726852813,0.0011116018462714948,0.02006232271084033
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0014727597363134398,0.3970614693843476,0.0005746486991078545,0.016347347113913335
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0014529504049909927,0.2462761825831256,0.0012521324354964898,0.011046030892802369
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0014483713500756843,0.40528839343204204,0.0007859514456107099,0.017194398129814773
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0014409203252271881,0.27390977809654804,0.0005476330531733948,0.012467619767531753
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.001429337587916422,0.6035259996234092,0.000561056304828176,0.011521591792275084
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0014213292212107017,0.01577690136302748,0.0008406496910778452,0.003937734056101981
297,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,0.0014177846069854424,0.712589047729695,0.0007789062956266368,0.01948288111954693
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0014065131359101406,0.2549333055432269,0.0012153656001709688,0.010394224305126914
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.001398925296051704,0.6843900956809563,0.0007268478300778273,0.021502201541518114
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0013947110160019956,0.239292956570783,0.0006192842881896178,0.0103622525755802
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.001370281569125065,0.2930964162282318,0.0008780249757902696,0.010881450376682197
310,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0013510592664333916,0.6081634048612139,0.0005152606115273301,0.014438718804404246
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0013357918546140243,0.2443331201138068,0.0008991852106487977,0.011527790238877084
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.001301427116575738,0.7968187111947601,0.00035096402122842185,0.0228425469184961
