,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.23998015005631235,0.23998015005631235,0.011660459308035661,0.011660459308035661
0,sett_cutoff,,,,,,,,,0.21082250260349022,0.21082250260349022,0.009198706604813369,0.009198706604813369
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10129743468617254,0.3538952352072566,0.009700213600578916,0.01631093391767706
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07955033635610578,0.5303529890159084,0.009863060741458696,0.017777474038270635
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.025301693306698972,0.6746487852199752,0.005591975599772496,0.026282990835403936
4,sett_model,,,,,,,,,0.015075835580624404,0.015075835580624404,0.0035861728448135705,0.0035861728448135705
30,sett_exclude_subgroups,sett_model,,,,,,,,0.013569212155417402,0.26862519779235416,0.0034267966876817897,0.010820342815970163
2,sett_exclude_features,,,,,,,,,0.012617650464771656,0.012617650464771656,0.0026425488009534383,0.0026425488009534383
36,sett_model,sett_preprocess_income,,,,,,,,0.012254989184555094,0.031098657390351087,0.0038821058488915936,0.00625541012985746
16,sett_cutoff,sett_stratify_split,,,,,,,,0.00850916248341429,0.22529080051789854,0.0023370687823663205,0.010789396522196843
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.006685396430482916,0.7329730054141533,0.0024984853151170812,0.01978878539436979
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006606452673523898,0.392851550866968,0.0024524933673176733,0.014244584278190428
8,sett_stratify_split,,,,,,,,,0.005959135430994012,0.005959135430994012,0.0019004494390347931,0.0019004494390347931
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.005415752850084603,0.047880291732754314,0.002418109679190939,0.010183119667775797
42,sett_preprocess_income,sett_scale,,,,,,,,0.005245972639282909,0.011885966067773875,0.0019084756216813967,0.0028058726490904247
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005155019890272243,0.25533715309834903,0.0009934896941656156,0.010131430865414152
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005079017746423628,0.22851917081468553,0.0017438762124777532,0.01097406948349628
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.004645176651090415,0.5665255249656618,0.0020944660830242746,0.014489361463502604
6,sett_preprocess_income,,,,,,,,,0.003767832625171589,0.003767832625171589,0.001017422285164454,0.001017422285164454
25,sett_exclude_features,sett_model,,,,,,,,0.0037048152501457004,0.03139830129554176,0.0016036646865108131,0.004584211389502389
