,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25344151313927044,0.25344151313927044,0.0121051535987022,0.0121051535987022
0,sett_cutoff,,,,,,,,,0.20330156155576903,0.20330156155576903,0.008052299843279717,0.008052299843279717
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10495959529272446,0.3734348848980545,0.006796802782384644,0.016640580404088813
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07719583850431358,0.533938913199353,0.005073980551489281,0.014966770760098854
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.024799580565950538,0.6837434512849624,0.005212728892208504,0.020674580318639373
2,sett_exclude_features,,,,,,,,,0.015033776466059606,0.015033776466059606,0.0024405983929371247,0.0024405983929371247
4,sett_model,,,,,,,,,0.01171804569536683,0.01171804569536683,0.0018332500680182692,0.0018332500680182692
30,sett_exclude_subgroups,sett_model,,,,,,,,0.010479166118079593,0.27563872495271685,0.0032013557862329875,0.01227918591956898
36,sett_model,sett_preprocess_income,,,,,,,,0.009132258459526355,0.022966737967330834,0.0022699520101370834,0.003974398081336756
16,sett_cutoff,sett_stratify_split,,,,,,,,0.008525438693693757,0.21696389742020844,0.0023981543720686,0.008621471975301614
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005722217123620325,0.4047648791053462,0.0018460861212643968,0.018130845478957307
8,sett_stratify_split,,,,,,,,,0.005136897170745663,0.005136897170745663,0.0015110939174901286,0.0015110939174901286
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0050115857608747216,0.22334692378270335,0.0016243933275431513,0.007927850562033685
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004982997178912145,0.7291967529664731,0.0016858408577472353,0.020945856158842813
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004255316432114405,0.03705674510598023,0.0018614597434005783,0.007214729850372132
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.004222185764479351,0.5618555320929675,0.0016872760371811856,0.013731761969674398
42,sett_preprocess_income,sett_scale,,,,,,,,0.004004628424585943,0.00885847081256017,0.0014564858791880526,0.00265842705846868
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0034209032151388628,0.2433936592791227,0.0011464730312774197,0.007984175468420979
25,sett_exclude_features,sett_model,,,,,,,,0.0034105652702249916,0.030162387431651425,0.0012230686395621692,0.0037613022908200085
37,sett_model,sett_scale,,,,,,,,0.0030926537064124636,0.017548107977315867,0.0013846898085240953,0.0028061954511161605
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0029140540769238494,0.24226502974087322,0.0011757107825602507,0.009185348008578965
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0027679072523607373,0.5861382961604428,0.0012001838726246933,0.011956520842497579
7,sett_scale,,,,,,,,,0.002737408575536577,0.002737408575536577,0.0008516920747849207,0.0008516920747849207
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0027353971789663228,0.23187228276175653,0.0016036966876015071,0.00931774410139758
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.002578832057245923,0.5515459805285097,0.0011253509775650708,0.014637594124409984
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.002467910429419541,0.20590168769476513,0.0010703996559933019,0.007695807468794451
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0024261645089368065,0.5848427052378031,0.001072485987766764,0.012859339487295833
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0024086314331315394,0.7688101913618387,0.0010555244229504227,0.018653815781599387
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0023417160168066,0.022512389653611867,0.0009464931022213372,0.0033297275542814343
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0023150968526444962,0.7104914375961964,0.0010905578068743115,0.020351369559136998
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.002295347425137877,0.7656094486759488,0.00134208380748649,0.02109599496940664
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.002224100219860978,0.6976413532834922,0.0010228637773207435,0.019766831094886778
6,sett_preprocess_income,,,,,,,,,0.0021164338124376493,0.0021164338124376493,0.0012682919753644083,0.0012682919753644083
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0018781900271115474,0.5408610912042352,0.0012154675419789372,0.014084559477080325
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0018459426743270666,0.01899615295282432,0.0008362437129747448,0.0028966093401426225
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0018273161709491254,0.5383278522977605,0.0009573994037262808,0.01465104192702703
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0017711749925240171,0.2902147816385362,0.0011179477550047239,0.01137733126130832
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0017300386688801229,0.23041070368234987,0.0006170699291194621,0.008730268544088574
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0016700193889213175,0.6180896607140088,0.0006047676894227178,0.010900847438660101
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.001669715274006525,0.284821805413591,0.0005558849364282884,0.011409444084433437
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0016313035694696192,0.7269526258217816,0.0013233903980429521,0.020180547433829934
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0016228106756464088,0.5594103453197012,0.001073279354416105,0.01484096032698872
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0016221368356262509,0.571346759077954,0.0005761571949135857,0.013365181389482329
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0015987594788630763,0.4201326671433094,0.0006690313311383485,0.016759699951431804
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0015700520357025015,0.38384944952878053,0.0008399626754365912,0.01604743890443916
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.001566150615728862,0.7483838822529496,0.0005319494894850141,0.019197997316091002
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0015593789594272448,0.2206908286969237,0.00047751983890951876,0.008187180656058245
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0015561894213313174,0.2571141363730394,0.0007043763716295192,0.011282329386713086
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0015435018104559858,0.5489857220063155,0.0009771609761614333,0.013577524636568158
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0015081843881014061,0.2667322038830622,0.0006234539380267455,0.009411938089634772
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0014975002164669443,0.5627822761671046,0.0005879621568536476,0.014033215433838335
12,sett_cutoff,sett_model,,,,,,,,0.001497221315688658,0.2165168285668245,0.000731469178810665,0.008043307968143556
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0014947458353640319,0.6929754214005098,0.0006774890275301486,0.019220967390525534
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.001491086834986993,0.7323207257204736,0.0006044828757662634,0.019996888656147394
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.001489473449990445,0.25766839516479745,0.0009792204833404857,0.012165467029610057
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0014664035272149848,0.26517193530695354,0.0005855593816524399,0.009694928752660566
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0014416954039855557,0.6027311565208823,0.0006130330742189501,0.012457371428754247
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.001412098173296577,0.8025933186935605,0.0006137984001875307,0.01939152188762401
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0013824881395413935,0.8219835628497137,0.00044750787673606107,0.01927002614134337
294,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,0.001382245880562699,0.7139790497437539,0.0012702254175280582,0.018101229011482825
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0013804369624766657,0.04463745934041916,0.0007466184365799694,0.005705897743739711
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0013713647440016657,0.20678936011220836,0.0008834599045636242,0.00838332721406965
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0013658994074713,0.2599443097174874,0.000595879293064105,0.01193201700616818
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0013496746721509858,0.01740322033480779,0.0006155708895259549,0.0027042482019029087
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0013076106561626913,0.4250505685147116,0.0006036587088144102,0.018153101792145847
153,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,0.001261024171808518,0.6917926053343267,0.0005556458963189465,0.02051580186122029
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.0012428826514866698,0.26536105469149995,0.0010195850721168055,0.010658506719486692
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0012275056033007005,0.23241723864321528,0.0006282278344915168,0.00873343809459455
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0011963064329246595,0.5695841560030819,0.0006778579807809228,0.01359421678500027
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0011839865658175841,0.22766276316433043,0.0005678279498081674,0.00794877669311776
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0011823723454223987,0.2953133769741041,0.0004470055287488833,0.012310844256157508
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0011756424305796056,0.38012909323673016,0.0007007124462776874,0.015864276100868827
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0011673637014450295,0.2512882654271001,0.00042093927251598905,0.010421930034541721
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0011153009211414845,0.2523186193180984,0.0005791651058121075,0.008313558920627892
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0011019977497665054,0.03446627207717955,0.0005528530696777949,0.0046703531820440495
109,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,,0.0010883290645121097,0.2793587110246394,0.00047959430930082103,0.012263432105592104
310,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0010880437431557916,0.6012608999519863,0.0003324412331486776,0.013047384190098483
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0010724956770022482,0.22202543074240694,0.000716638836373254,0.009253650958781398
220,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0010694219977130577,0.41282058354070683,0.00045229907282604606,0.018398745651774434
292,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,0.0010502007141568004,0.7450098926478438,0.0005598446795766758,0.02195016190585595
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.0010412178804376157,0.2272426647684535,0.0006287151447025852,0.0072392131311111935
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0010382165629027554,0.30295467452430525,0.000488345326669813,0.009741220253681142
5,sett_preprocess_age,,,,,,,,,0.0010197691965972012,0.0010197691965972012,0.0005281279285941568,0.0005281279285941568
38,sett_model,sett_stratify_split,,,,,,,,0.001010568608650678,0.01786551147476317,0.00072059126406061,0.0020262778986059236
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.001008809969479948,0.37886433810817133,0.0007631564585225499,0.016445754197321936
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.0009684954194974633,0.5523527575362608,0.0005927999344798071,0.013870496071065693
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0009602258873586359,0.2808835311645834,0.0004231848312380919,0.009664262494607917
416,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,0.0009508756446364648,0.7976555434940165,0.0003852503861713954,0.020639302511068332
297,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,0.0009485928499737346,0.7138488454960417,0.00033705914075689736,0.019279357079055332
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0009480298216543274,0.2390850077380118,0.000506513622842061,0.008749733311879723
67,sett_cutoff,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0009477097776659075,0.20996390041781376,0.0005179749929614542,0.008359125487207247
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0009460189032016808,0.5724738428272236,0.0004539268139135415,0.014373181345745507
255,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,0.0009375232304008215,0.7424434718883828,0.0005829065901699643,0.020220922627233295
19,sett_encode_categorical,sett_model,,,,,,,,0.0009295796865912344,0.012779841091534584,0.000571326548246981,0.002020071785491435
