,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24035209857287376,0.24035209857287376,0.011959302947224838,0.011959302947224838
0,sett_cutoff,,,,,,,,,0.2156456966128778,0.2156456966128778,0.010777108877449256,0.010777108877449256
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10020564910537996,0.35590037328360724,0.012635428172106498,0.02455439402111811
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07117063562793186,0.5271684308136834,0.00821177227274538,0.018540866497088315
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.023043504079602862,0.6709159847194878,0.005477658401495595,0.03642391335632088
2,sett_exclude_features,,,,,,,,,0.01534262560535354,0.01534262560535354,0.0035357984410727575,0.0035357984410727575
30,sett_exclude_subgroups,sett_model,,,,,,,,0.014673930607435472,0.2693911955115651,0.003238164004904378,0.010449412489001613
4,sett_model,,,,,,,,,0.014365166331255914,0.014365166331255914,0.002692929189062786,0.002692929189062786
36,sett_model,sett_preprocess_income,,,,,,,,0.009947260355384565,0.029920171159499114,0.0031843358219727134,0.007127430888905512
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.007356599370527302,0.7309521370143478,0.002173849152317226,0.035202279166913125
16,sett_cutoff,sett_stratify_split,,,,,,,,0.006911389465942531,0.22726467143835388,0.0015892851859464004,0.011322577043420852
42,sett_preprocess_income,sett_scale,,,,,,,,0.006745699665684187,0.016730462908362005,0.002789091592887425,0.006551618341265735
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.006116296995624466,0.5652685937098465,0.0022300841287912518,0.016900339071733293
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.00603643491407899,0.0505217541891066,0.0035978775922655298,0.014916829348769952
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005957296202391757,0.39420408075992996,0.0015537338156707175,0.02326251133444131
6,sett_preprocess_income,,,,,,,,,0.005607744472858634,0.005607744472858634,0.0028785303163462194,0.0028785303163462194
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005314779490538258,0.26207612645258027,0.001563936785134053,0.01524051744470483
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005155775115468003,0.23614409733369932,0.0017711705268736346,0.013666070410438727
8,sett_stratify_split,,,,,,,,,0.0047075853595335785,0.0047075853595335785,0.001641649421500113,0.001641649421500113
7,sett_scale,,,,,,,,,0.0043770187698191805,0.0043770187698191805,0.0015987986859018139,0.0015987986859018139
37,sett_model,sett_scale,,,,,,,,0.0034424296800251307,0.022184614781100225,0.0015472619619242315,0.004702385622249806
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0034148806446951518,0.25355749162464764,0.0010122839454207758,0.014507449484364549
25,sett_exclude_features,sett_model,,,,,,,,0.003307314335239576,0.03301510627184903,0.001211604418572545,0.0045490924463796375
12,sett_cutoff,sett_model,,,,,,,,0.0029447689618472563,0.23295563190598095,0.00114110851075203,0.011685822910400065
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0028181829130522426,0.5395200670327398,0.0032932705465319864,0.015255127870190802
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0027153095537866233,0.6961590653048151,0.0021041804333289216,0.036665584960259345
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.002715256263656038,0.774204911898704,0.0015136165546982962,0.028474225970516156
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0025906986934359465,0.5876953792918498,0.0008978855378822235,0.016217377064954363
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0025862743217055693,0.24854611736743798,0.0020183243491192575,0.010664161034752045
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0025847230127487163,0.769965990546273,0.0011427046710570645,0.035013700780867275
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.002498962832526705,0.5942436082108107,0.001111062945399716,0.01449337640036004
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0024893940715429407,0.252339465317207,0.0012897977086959475,0.01364986619799865
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0024237667709673836,0.6902295408720469,0.0013578750572472943,0.03290634558001197
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.002384355914654115,0.24711347325734706,0.0014692076446534248,0.01228141552695276
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0023795388207770536,0.022429749785664175,0.0010624237050529325,0.004270311642128862
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.0022069988534002267,0.5590544342609007,0.003266103738592197,0.018448129745674655
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0021523567286330465,0.21787311494595724,0.0010054454528500567,0.011247490661715228
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.001932460315111395,0.5423522884417964,0.001593252001964749,0.01850581443850846
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0018342219104371424,0.6257511919487593,0.0006627698721262225,0.011168808576048739
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0017764823382116946,0.28137148221427527,0.0011841565176328266,0.011523672702273412
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0017369107023600238,0.4200120159608619,0.0012327594280356605,0.019884050477205942
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0017346895600138747,0.7488038732312559,0.0006346941130655295,0.030943848572703506
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0017058764798070637,0.24771168776710306,0.0006121568896542324,0.01199322716173993
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0016877610224535996,0.2892202356839675,0.0008291503405299896,0.011030263265693674
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0016741507136837,0.28727013905755155,0.0005659455963299612,0.016082316247306737
34,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0016324224875254834,0.24669210641993283,0.001020413694692084,0.011816980339102558
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0015963883912671422,0.8311050248463718,0.0005046069790283931,0.02268910767544089
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.001591647452663495,0.36714685363415145,0.0011018593325181692,0.02246648186883683
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0015861276719485238,0.2371694970375675,0.0007400350192355458,0.011697155265018933
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.001563794925900751,0.40989226540927354,0.0007608724169886631,0.023079466588187842
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0015593196938273682,0.5736504106592613,0.0007863777391896145,0.015509964555504116
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0015494939379554799,0.36616941388939883,0.001199658889608464,0.02438954941168748
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0015151482248084024,0.27867755613927153,0.000609020105440736,0.010388786675442116
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0015096639565968656,0.6780327706091482,0.0009146656268038389,0.03419200200905532
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0014856916065553957,0.2460377820278698,0.0006950474458851314,0.013576714882693493
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0014837630812363108,0.5740739305495475,0.0013804869629514052,0.016257624834626543
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0014823428624199135,0.27079394529632284,0.0005655245075342573,0.013517703756861042
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0014717002810652703,0.6032004045049486,0.0005932450509743245,0.014606311588423394
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0014703307170541421,0.2850059288332327,0.00035270992806009935,0.015651624370623937
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0014608141033165159,0.022411184181528692,0.0010623814909726211,0.003091824883777056
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0014369493637994165,0.558634354093666,0.0008387881662350382,0.013317315167914833
38,sett_model,sett_stratify_split,,,,,,,,0.0014312045558389182,0.02050395624662841,0.0006503974679531808,0.003206470803770132
297,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,0.001416233632171513,0.7151706894573133,0.0017348115010532004,0.035020096203676056
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0014110720546036798,0.6298098678152075,0.0009782812702426283,0.021490464843379867
79,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,,0.00141092651317932,0.2725893524355203,0.0011417563717796063,0.009654392260603654
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0013996021020631667,0.7236063609040764,0.0010805778463443346,0.029621954881642168
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0013569764521444122,0.3178848158734432,0.0006620997691968888,0.015435537568551974
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0013394345114399364,0.22259287559717633,0.0009404701170352587,0.010888163971557776
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0013373508812302753,0.4093400139750412,0.0008409111136631428,0.024376630863418024
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0013355770118107743,0.2706261877130671,0.0006558150310828299,0.014271276522435558
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0013276040824691047,0.8018868690099774,0.0005447717144089071,0.030757130921514532
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0013145964149851325,0.36418971262274663,0.000909921129331949,0.024717878801657957
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0012688459897634537,0.03695937215073916,0.0007027283015121546,0.004253496545331134
220,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0012070217339421518,0.40149321238108276,0.0003727031406134434,0.022085893483695638
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0011895227701895611,0.05122044797359831,0.0006485237803267349,0.006081113838405306
116,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,,0.001154502935773597,0.263207694653369,0.0016114737738962652,0.01371406074470844
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.001153136003720686,0.5303614317313807,0.0007689935500494464,0.0174946484760542
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0011245083759422857,0.2667943838286935,0.0006831430446219903,0.013875674903812663
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0011087655042424302,0.7094162703278544,0.0006807740815884072,0.03431076669539494
35,sett_model,sett_preprocess_age,,,,,,,,0.001106556282771037,0.016186001336526062,0.0006401699426341817,0.0028264306307697238
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.0011041430753535458,0.5486254116313891,0.0006898259804239327,0.017096102514960364
419,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,0.0010889437530689976,0.8205701681168189,0.000659616843186371,0.03266711221124555
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0010816861337189557,0.3017730851025092,0.0004650838488129928,0.009806021172294344
310,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0010666907970126552,0.6078302720767196,0.0006219932722315067,0.012268237162122718
71,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,0.0010607952284533958,0.23567581386167039,0.00046993751069117346,0.011120929323085714
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0010534084796915287,0.2549006371382769,0.000456883966950859,0.011981504906877261
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.0010341425939055168,0.23706758879399115,0.0005463221354787945,0.01238422416455281
61,sett_cutoff,sett_exclude_subgroups,sett_scale,,,,,,,0.0010331959067083284,0.5355788425738968,0.0009098300570464334,0.01798775806443811
117,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,,0.001029516629995918,0.25631881005505747,0.0011310129802166275,0.009695987519541238
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0010218775876895535,0.2995177104485012,0.0003571062481149323,0.014693373358327795
70,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,0.001016754013089532,0.23534818921480097,0.0010087281016446226,0.011553198604610869
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0010137481776835283,0.5803336138329519,0.00038608730641263075,0.016889583040617523
