,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24359448692896937,0.24359448692896937,0.009797894053684978,0.009797894053684978
0,sett_cutoff,,,,,,,,,0.21246751922861515,0.21246751922861515,0.011084378668400957,0.011084378668400957
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.1019783352115382,0.3588265368286503,0.007234422263108463,0.013490822478032728
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07224334079036698,0.5283053469479515,0.004895401528282908,0.016462429650432375
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02537572988938209,0.6731942192733286,0.004121626296895385,0.017391022249070964
4,sett_model,,,,,,,,,0.018030968153184765,0.018030968153184765,0.0034400900997319664,0.0034400900997319664
36,sett_model,sett_preprocess_income,,,,,,,,0.013890440862071205,0.036563468189160224,0.004095140745057428,0.006559857182302931
2,sett_exclude_features,,,,,,,,,0.013253714688142668,0.013253714688142668,0.0019087203269393456,0.0019087203269393456
30,sett_exclude_subgroups,sett_model,,,,,,,,0.012452300466191066,0.27407775554834524,0.0034358708216646826,0.008722452542624753
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007835173635517157,0.40081199451291555,0.002669945575169602,0.010872914610897256
16,sett_cutoff,sett_stratify_split,,,,,,,,0.007727184685925272,0.22561715398037085,0.0011485819360204028,0.010817051835813397
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0072533702420727935,0.7380906767505786,0.002361823860137672,0.013705142604239773
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.006527233204252941,0.6096991059563861,0.0033701951400315878,0.018294411839571343
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005931198011036304,0.2618052298605015,0.001515070987186375,0.012405940976037923
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.005562063310534406,0.052325628925301265,0.0028685575697355078,0.007745017934910125
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.005552709726039367,0.5685150471072029,0.002381797633211711,0.016301206653563764
8,sett_stratify_split,,,,,,,,,0.005422450065830452,0.005422450065830452,0.0009787119532135532,0.0009787119532135532
6,sett_preprocess_income,,,,,,,,,0.00464205917390425,0.00464205917390425,0.00189029229371259,0.00189029229371259
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.004561292888457061,0.7961112790530781,0.0024457427834978914,0.01942493772687724
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.004422096593291744,0.26027353302832124,0.0016949297585354946,0.011590301918114056
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004281092536314154,0.23000232645307195,0.0012959616128759546,0.011685183532783935
12,sett_cutoff,sett_model,,,,,,,,0.00417372181383619,0.23467220919563608,0.0019453071827145849,0.011421767664377604
42,sett_preprocess_income,sett_scale,,,,,,,,0.004005706816777687,0.011613051226166585,0.0014450165454842519,0.003046709739863054
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0037327233352704233,0.541777835736952,0.0015694798697274436,0.014196615006186323
25,sett_exclude_features,sett_model,,,,,,,,0.003667015429372326,0.03495169827069976,0.001152297094769684,0.0035315387546050367
37,sett_model,sett_scale,,,,,,,,0.003229105373344302,0.02422535876201371,0.0010423529699753159,0.0035726835801365513
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003024418225473175,0.24807012672450235,0.0007145949044936768,0.011613275567478537
7,sett_scale,,,,,,,,,0.002965285235484647,0.002965285235484647,0.0009192709370571607,0.0009192709370571607
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0028717994005667555,0.2979330340612953,0.001131797524693757,0.011564610796724524
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0026544668855031,0.7743989326327017,0.0008161749659337405,0.012904930353980684
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0026467272034179515,0.21975630560593734,0.0014690588549286217,0.009474011370155109
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0025544030095352444,0.2947156065075957,0.000774086771853836,0.011957383665301484
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.002450979076407887,0.2506875251792815,0.001090523441736499,0.009430760454867102
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002411935073944203,0.5902593972856776,0.0006699850358973132,0.01585560396910892
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.002313776874776955,0.4313095407024481,0.0008643207305720618,0.014936275685797052
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0022675923476273745,0.21482374522490347,0.0010276840797192308,0.010631904365916716
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.002151516569399107,0.24033926163786568,0.0010287730563333039,0.011732330314839627
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0019110419178642085,0.6404676525834005,0.0004632235344470091,0.017229631471201292
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0018937472942015046,0.020569912048174623,0.0007731631218904024,0.0019278253939062286
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0018113712004312454,0.04056058262035138,0.0007426809266568409,0.0036316495003760854
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0018047905959882832,0.5789084370516651,0.0005621257334202965,0.01672382526088635
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0017839754566285042,0.05663631693881646,0.0010589500418691884,0.006418801958057916
