,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2504154198533568,0.2504154198533568,0.014607105336466019,0.014607105336466019
0,sett_cutoff,,,,,,,,,0.20634570099999644,0.20634570099999644,0.00841044477026765,0.00841044477026765
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10663973199812854,0.3743391504056627,0.011816714813986889,0.022700324306210565
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07360195946466738,0.5303630803180207,0.008171596861306396,0.019557117033487247
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02580003458721119,0.6851194935999585,0.0036260879608954934,0.028773078143840378
2,sett_exclude_features,,,,,,,,,0.017283998554177244,0.017283998554177244,0.0021811303210470985,0.0021811303210470985
4,sett_model,,,,,,,,,0.013964732166056973,0.013964732166056973,0.003280625059963362,0.003280625059963362
30,sett_exclude_subgroups,sett_model,,,,,,,,0.010661073661002605,0.27504122568041645,0.0023593905666334453,0.015247239255376063
36,sett_model,sett_preprocess_income,,,,,,,,0.008574022211761598,0.026108228448572197,0.0031093868526795958,0.006527116657276028
16,sett_cutoff,sett_stratify_split,,,,,,,,0.008216684176319619,0.21917019118597833,0.002258437570533047,0.008076493941567607
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.00650028157035364,0.7386319914186141,0.0019465991666736831,0.027183751843110147
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.005933210389482727,0.5637751303728564,0.002353252907367199,0.017784024603774682
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005263746322151524,0.40749005518984266,0.0018210899636593285,0.02451645027687981
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.005075067236345904,0.25381653357225964,0.001348057574682407,0.006686303382612899
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0050326481424208085,0.2286623476965945,0.0013644945276396032,0.007758282294247486
8,sett_stratify_split,,,,,,,,,0.004607806009662286,0.004607806009662286,0.0012467164368512621,0.0012467164368512621
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0036884456402011025,0.037842009504008296,0.0022285334970122573,0.010704095482839522
6,sett_preprocess_income,,,,,,,,,0.0035694740707536295,0.0035694740707536295,0.0013498968479291548,0.0013498968479291548
42,sett_preprocess_income,sett_scale,,,,,,,,0.003480162473268166,0.009083210720896526,0.0015890274045132578,0.0032300496338786276
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0033649981164197975,0.24734663670649804,0.001276703390359668,0.008526433019135622
25,sett_exclude_features,sett_model,,,,,,,,0.003261352634968898,0.034510083355203114,0.0015680145484003264,0.004823628689598938
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.003034278854208496,0.5876130463045613,0.0017111369961452941,0.019058027133990893
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.002931880759962465,0.7764202310551784,0.0012957557836802646,0.027107687747005487
12,sett_cutoff,sett_model,,,,,,,,0.0028530338382933636,0.22316346700434675,0.001290224632077709,0.007769000182706159
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0026974398080815533,0.7758366391080105,0.0008669252363115255,0.023350107444569924
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.002583389146563103,0.2395663053851772,0.0014950984885852728,0.010163478215346612
37,sett_model,sett_scale,,,,,,,,0.0025315987650920964,0.018529905108023798,0.0012486977316690274,0.00424818192810286
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0024948007075018667,0.0243866052713414,0.0008094833262151158,0.003191373729029104
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0023690819739647768,0.5854217769064458,0.0008679079722057386,0.014088183646821446
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0023041690710519118,0.7604343417730783,0.0014350474401282026,0.024117139310253197
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0022033483667176384,0.2380782864682772,0.0010143804370905118,0.008216150942158822
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0020617396135013365,0.7104916971732149,0.0007542229894999182,0.026675031928417938
7,sett_scale,,,,,,,,,0.002033574176874731,0.002033574176874731,0.0007709803833877615,0.0007709803833877615
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.001967163382459324,0.022820636007390198,0.0012353913434863873,0.0023055133683671423
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0019132787046274534,0.20849259029681522,0.0006026904072358625,0.008503453387395445
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0018699136361146292,0.6180066993691253,0.0004053197351235484,0.014362502055571831
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0018162733824507549,0.6950744813266063,0.0009598574949598715,0.026135138972815244
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.001779760938223004,0.5464780764804683,0.0007646453124887266,0.017070143994493896
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0017564114663954859,0.5739718541902792,0.0007650318764422661,0.01624434294056301
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0017462938019578292,0.27736451848840926,0.0006965916944511681,0.009108064155191137
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.001709531238566121,0.5385909097750989,0.0009362596417642043,0.019044614048310076
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0017069933418116293,0.5354017790524525,0.0011285967239760308,0.018011741398303038
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.001675952951752106,0.21159112802250218,0.0008793978432433951,0.008313695335417775
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.001650873586177987,0.7001184960974587,0.0006534220960532912,0.02842320219858175
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0016446695065742603,0.8304472155832625,0.00037802693783300326,0.021714506827822586
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.0016314071187547377,0.22792484898851428,0.0007139039390447323,0.007739785533359578
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0016111164202251985,0.22780206774414374,0.0008463194153608653,0.008387076626552442
