,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2551949405989845,0.2551949405989845,0.008579972598957165,0.008579972598957165
0,sett_cutoff,,,,,,,,,0.21870887726696897,0.21870887726696897,0.008795730149724026,0.008795730149724026
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10572763070928023,0.3749349407175814,0.005856844582957183,0.012507486326251312
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08046550354610069,0.5543693214120542,0.006976038361990795,0.012538342016800243
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02558529093194039,0.7042175109980511,0.003675291044575846,0.01935826047451977
2,sett_exclude_features,,,,,,,,,0.014012369409316704,0.014012369409316704,0.0021030779979833284,0.0021030779979833284
4,sett_model,,,,,,,,,0.01326741739583496,0.01326741739583496,0.002411436675557315,0.002411436675557315
30,sett_exclude_subgroups,sett_model,,,,,,,,0.011903954750264449,0.28036631274508383,0.003056536131610814,0.007201841809674298
36,sett_model,sett_preprocess_income,,,,,,,,0.010067152280729137,0.026246269615858984,0.0033635256902779915,0.005404571741011238
16,sett_cutoff,sett_stratify_split,,,,,,,,0.0075869925534319625,0.23157640272564703,0.0017602795363983513,0.010337674141981874
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.006426017474326336,0.7560260076877638,0.002070718104406248,0.01415111297715652
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005686650032944853,0.4089205674175735,0.002017569540855569,0.009017781918092065
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.005443248117349192,0.5867628505560888,0.0016655936235487397,0.010729388594233485
8,sett_stratify_split,,,,,,,,,0.0052805329052460865,0.0052805329052460865,0.0016457431519420372,0.0016457431519420372
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004522898535459592,0.23724414521174525,0.000741133618992153,0.009642966079889653
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004481882352006627,0.03929900343660597,0.0019909727854499014,0.00920560341383237
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004174695517459061,0.25959277152657323,0.0010608358858116415,0.011235891829227952
42,sett_preprocess_income,sett_scale,,,,,,,,0.0039714812470096755,0.009082702327803676,0.001570065280107395,0.002754283775103693
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0035226412927482046,0.2559473923490275,0.0008765192993890325,0.011767643758229345
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0034465541687853946,0.7954995362060286,0.001771575274534935,0.013480283829968843
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0034379752465895173,0.6116873162343603,0.001769194039023777,0.010424646985481772
25,sett_exclude_features,sett_model,,,,,,,,0.0031276045209478083,0.030407391326099473,0.0012580333227480262,0.003958539977571027
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0030104746173459816,0.2504847831839776,0.001486241710643466,0.011751048971992873
6,sett_preprocess_income,,,,,,,,,0.0029116999392948843,0.0029116999392948843,0.0012627534784108044,0.0012627534784108044
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002830746101661434,0.6091522102478942,0.0010297548647500302,0.01123899390321139
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0024754701200291,0.7940996730994885,0.0005733244647552611,0.014813967849887153
37,sett_model,sett_scale,,,,,,,,0.002399849080231566,0.017866787617565643,0.0011687957706063472,0.003687137747260088
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0023130803858559747,0.021605982700418764,0.0008047966812206039,0.0030090656259005068
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.002220717129684377,0.24043577669672503,0.0008343195132370237,0.009939409109165563
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.002204184806438069,0.7294264427729023,0.0008665890912755032,0.020813210700123007
7,sett_scale,,,,,,,,,0.0021995211414991165,0.0021995211414991165,0.0008244575171489907,0.0008244575171489907
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0021928269217338335,0.5703862005120847,0.0010411682494929743,0.013389811951945883
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.002163063386664406,0.2823373974461891,0.0008866701898863409,0.01473839792533407
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0021190987291554936,0.4307016178588243,0.0013129027832959488,0.007964104152854517
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0018913270371227254,0.7160892984794575,0.001031524110459567,0.018069053913932622
5,sett_preprocess_age,,,,,,,,,0.0018705067308616738,0.0018705067308616738,0.0006760061517942198,0.0006760061517942198
12,sett_cutoff,sett_model,,,,,,,,0.0017789088805860726,0.23375520354339,0.0008442260698109852,0.009740824638087345
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0017743116847762739,0.2963406972431388,0.0010887391953298853,0.006969884059751989
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0017703564361405697,0.6283581084113306,0.0005377946033558662,0.010325026739090906
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001768842838298175,0.6427882719127964,0.00048629483643122156,0.011124141182531784
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0017613785130635448,0.5610038732608846,0.0008897156695151034,0.012290718703354502
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.001723226432492512,0.7763067831723601,0.00037142531004816915,0.014060807626657089
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0015958816613689838,0.2830856100128667,0.0005222855141304137,0.012675340592292412
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0015831109228122446,0.04599677413426261,0.0008956692635703762,0.007229154857950344
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.001553035025070286,0.22050764747438523,0.0005634100432912928,0.008936758035909821
35,sett_model,sett_preprocess_age,,,,,,,,0.0015285779340995119,0.016666502060796146,0.0007756681483722648,0.00286676634298829
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0015273348426060587,0.036682581274513446,0.0006635580207565265,0.004394376128275676
165,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,,0.0015229756975021795,0.5976353228937685,0.00042340496724865563,0.01005586282414509
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0015178345236389703,0.2693705525010516,0.00043007046333853655,0.011992886772726512
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.0015127712302929908,0.8306912995338858,0.0003537459727054428,0.015084369161319893
171,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,,0.001483080625817754,0.5786720454728435,0.0003314062914912754,0.013329173072498007
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0014418921707301468,0.8499397793925172,0.0004267731296792836,0.012731514958382237
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0014209766683753154,0.27132562760111467,0.0005146111984700687,0.011736224446642953
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.001387911023540269,0.7484481041384443,0.0008050405895308228,0.02008494165995475
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0013871068112884999,0.42329805297538753,0.00034097446971100893,0.010019885195957534
112,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0013818192548831632,0.28885767046356303,0.00043784368041349995,0.007827113653887743
296,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_stratify_split,,,,,0.0013795911202832637,0.7452699836612302,0.0004346208025373323,0.021382227868243748
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0013487704408467294,0.017231646581025106,0.0005048500699080999,0.00244911432562182
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0012922766234674172,0.5958842253031121,0.0006505227505256947,0.010426277546276353
66,sett_cutoff,sett_model,sett_stratify_split,,,,,,,0.0012874363964990943,0.24878264423729837,0.0005560852138813815,0.010692396021925685
310,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0012761980697472484,0.6291349239763645,0.000505019609944844,0.009792210887194976
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.001241452304224806,0.24316496992380943,0.0008699892391544587,0.010031003018627055
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0012212205932546146,0.25932786113153394,0.0005832660363872467,0.008569419660231857
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0012131889996106265,0.258664348934566,0.000375405242000452,0.010763641899019905
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0011865497437786128,0.5804702070371529,0.000427458890088824,0.01355992015690693
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0011811910874591348,0.6338400385870959,0.000644119228400503,0.01049589319972464
416,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,0.0011608901243752023,0.8276604136580819,0.0004935190471204024,0.012406778659549207
59,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,,,,,,,0.0011575924335739376,0.5590122123378638,0.0007846008673171181,0.012644772618631776
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0011521461897784349,0.38463722691808055,0.0003524646992367403,0.013694871945580035
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.001139764012277513,0.3080994851688475,0.00029470214145972906,0.0074942259784248596
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0011322930985971052,0.4176172496418391,0.0007180616628252246,0.009256884000590656
151,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,,,,,,0.0011308965538416327,0.7126996089363759,0.00044555617896868617,0.01989691720398843
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0011248763884598267,0.30141055150314,0.00031718563058114415,0.012847987788364119
169,sett_cutoff,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,,0.0010785389742796773,0.5684622196438633,0.0005851382548273397,0.012186673700679102
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0010770366259013453,0.3811723175413591,0.0007048896435065738,0.012086126052073489
242,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.001064032537244132,0.296770828634081,0.00038414611431791205,0.0072648666336751965
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0010607713586894532,0.2216401553565201,0.0004910911896102955,0.008922825048628211
102,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,0.0010337944524120078,0.03990727790834476,0.0004146928573735888,0.004243426457217032
294,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_age,sett_preprocess_income,,,,,0.0010328694467551837,0.7297577670599871,0.0005743281102976345,0.018239317577943854
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0010274196653268725,0.017951489013938463,0.00045427396633899303,0.0027873063919397513
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0010260694240562895,0.26583161734596833,0.0005847273564997655,0.013569078141566384
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0010000069871632603,0.3128828135409368,0.00018112249668469346,0.014767331090051152
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0009932493072557676,0.37896765436439506,0.0005821626141550037,0.01216306275156833
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0009905387646397172,0.26493334844029826,0.00036435749779263176,0.011737607579555826
