,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2638640909275709,0.2638640909275709,0.012960167082091646,0.012960167082091646
0,sett_cutoff,,,,,,,,,0.2067254640739795,0.2067254640739795,0.0073544347551634855,0.0073544347551634855
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10151549000268392,0.37985541603317585,0.009226079758840938,0.01870589320728927
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08243825545881513,0.5530278104603655,0.01043664945877104,0.01920938112945364
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02809988263610763,0.70135598060783,0.00680064101795219,0.02250466066313592
2,sett_exclude_features,,,,,,,,,0.01447583510292098,0.01447583510292098,0.001960831715805451,0.001960831715805451
4,sett_model,,,,,,,,,0.011964455403511608,0.011964455403511608,0.001909166364702004,0.001909166364702004
36,sett_model,sett_preprocess_income,,,,,,,,0.010055532510626887,0.025585644223624287,0.002899052723833642,0.0047060964508034995
30,sett_exclude_subgroups,sett_model,,,,,,,,0.010040734937140293,0.28586928126822286,0.0023467345947288574,0.013188308054529748
16,sett_cutoff,sett_stratify_split,,,,,,,,0.007609438222962879,0.21888395366098884,0.001644494570221183,0.007679257371751834
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006512087459247219,0.4119391840987682,0.002162053426390753,0.019258284759043898
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.006298843650512326,0.5828894010715902,0.0017317158454708342,0.019567470634540247
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005803598252986342,0.7514643604645765,0.0014255870307326756,0.023181827272081675
42,sett_preprocess_income,sett_scale,,,,,,,,0.0047729931949515155,0.012359648565705508,0.0011693464184000311,0.001945789208077811
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.004671212551580902,0.041487016918746844,0.0017547843476215705,0.006763658783672919
8,sett_stratify_split,,,,,,,,,0.0045490513640464875,0.0045490513640464875,0.0011228256519835041,0.0011228256519835041
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004364613267595241,0.24689137713951276,0.001505339616764413,0.008695633569411713
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004236962405751931,0.2254382615826524,0.001800313450059662,0.007686474045707721
7,sett_scale,,,,,,,,,0.004020999061268198,0.004020999061268198,0.00069243798042177,0.00069243798042177
25,sett_exclude_features,sett_model,,,,,,,,0.0035664902656932424,0.030006780772125832,0.0016415121452303995,0.003501522537955763
