,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25959622780427793,0.25959622780427793,0.013829995694203064,0.013829995694203064
0,sett_cutoff,,,,,,,,,0.19871322050413587,0.19871322050413587,0.008299830846258998,0.008299830846258998
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10652660475374875,0.3812028563817578,0.0075274349667642714,0.021417755019556187
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.076147788286934,0.5344572365953478,0.006336089422025289,0.018624123364596207
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02557967227787517,0.6856069729283847,0.0038707501783914167,0.02699663661710427
36,sett_model,sett_preprocess_income,,,,,,,,0.015341599774048817,0.03559240682283928,0.004543706660987301,0.007267991605123624
4,sett_model,,,,,,,,,0.015150554656555975,0.015150554656555975,0.003470796978517545,0.003470796978517545
2,sett_exclude_features,,,,,,,,,0.015080023823731204,0.015080023823731204,0.001991044027724193,0.001991044027724193
30,sett_exclude_subgroups,sett_model,,,,,,,,0.011050992685840536,0.28579777514667437,0.0035407717649132706,0.011260031763250803
16,sett_cutoff,sett_stratify_split,,,,,,,,0.007814298625291021,0.21200638742617983,0.002419298584259692,0.00902156439674783
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.00687974604023793,0.7376334719463413,0.0015744626854495136,0.023869811038501682
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005729873437770266,0.417130517069129,0.0023644691552347215,0.017359863426858094
8,sett_stratify_split,,,,,,,,,0.0054788682967529465,0.0054788682967529465,0.0012137875073767385,0.0012137875073767385
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0053267162335762855,0.050666138594942206,0.0019431288353084861,0.010202150712105349
6,sett_preprocess_income,,,,,,,,,0.005100252392234494,0.005100252392234494,0.0013392430840561444,0.0013392430840561444
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.004799448214657678,0.602811100617666,0.0026027642453242813,0.01845459128713789
42,sett_preprocess_income,sett_scale,,,,,,,,0.004513149409366677,0.011932800684542834,0.001425572664996251,0.002803472681337321
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.004334721942962073,0.7949471714643269,0.00180820227133391,0.025063471699672758
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004145182124879706,0.2427319489071245,0.001174166936893792,0.011161899430330925
25,sett_exclude_features,sett_model,,,,,,,,0.0039962399072044075,0.03422681838749159,0.0019121174426486572,0.003783761608293079
10,sett_cutoff,sett_exclude_features,,,,,,,,0.003963435477681779,0.21775667980554886,0.0012953325088014991,0.00895695921935401
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0034951130114894684,0.241244999730286,0.0015073446039868927,0.013090725508514686
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0033906177525322226,0.5657326941032121,0.001743505575902545,0.016497812319095084
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0033758421244165352,0.23724191099135672,0.0009696321100240686,0.0101384683871945
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.003265002267848375,0.2775338188454788,0.0009812552860680543,0.015779607889877433
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0030400509104902902,0.05899516141263916,0.0013433203972064906,0.008234833583029006
37,sett_model,sett_scale,,,,,,,,0.0029144672462182867,0.020384420785715927,0.0012237846547763758,0.004420900419787017
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0028190355479890015,0.5460957595563827,0.001485756309071767,0.01864089125298562
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002816222139347347,0.0233751142598315,0.0011502400990714347,0.0029671394438994937
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0027465345998008567,0.704454702635873,0.0022836931484475,0.027316270847082182
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.002474328317865674,0.7754785178238465,0.0006887705201042402,0.024345153874824176
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.002423157932441642,0.5876483206232234,0.0007521463461720949,0.016458860874006494
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0023863111357776247,0.4497109493684983,0.0009623161576245108,0.016527385155660344
7,sett_scale,,,,,,,,,0.0023193988829416637,0.0023193988829416637,0.000950654150928378,0.000950654150928378
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0020012720462036842,0.2672557022555356,0.0006801942141152706,0.0119806748212657
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0019679158862509045,0.7385351000259545,0.001160214569680273,0.027671356651208637
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0019660215902380573,0.8530196328479134,0.0007943515804342481,0.023545291582533868
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0019582680419256513,0.26665474823843804,0.0010259548038578272,0.013708756322247643
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0019165325793012214,0.55064903314444,0.0005954387514277202,0.01872739396479163
