,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2507943763910807,0.2507943763910807,0.009908824972269234,0.009908824972269234
0,sett_cutoff,,,,,,,,,0.21581118417385997,0.21581118417385997,0.007789252892028025,0.007789252892028025
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.09843063180925424,0.36295297145464483,0.005497679976775285,0.014961602221646322
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.06577422515292292,0.5323797857178636,0.007160095642252251,0.01786478248514392
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02249524582141466,0.6715391607469843,0.004139078272739274,0.024444124485543166
2,sett_exclude_features,,,,,,,,,0.013727963254309868,0.013727963254309868,0.0026964412983849777,0.0026964412983849777
4,sett_model,,,,,,,,,0.012137237500473252,0.012137237500473252,0.0018522063969536328,0.0018522063969536328
30,sett_exclude_subgroups,sett_model,,,,,,,,0.01024691818777143,0.2731785320793254,0.0026725456444537127,0.0097461436824123
36,sett_model,sett_preprocess_income,,,,,,,,0.008806640113737503,0.02510879568863833,0.002477286204023157,0.0029194754706737794
16,sett_cutoff,sett_stratify_split,,,,,,,,0.00730800808060436,0.2295074096763789,0.0017056084516067888,0.008144116871365433
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.0067154353392616176,0.7200195401710074,0.0016881386901840805,0.025196962809972537
8,sett_stratify_split,,,,,,,,,0.0063882174219145865,0.0063882174219145865,0.0018746160972780135,0.0018746160972780135
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005211140246902076,0.39357906944029664,0.0015096624642398182,0.01499118026509923
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.00502736137541786,0.5457785725602533,0.002132208221697304,0.019084242640464533
42,sett_preprocess_income,sett_scale,,,,,,,,0.004733180260221079,0.0123718306080811,0.0018326969488544976,0.0028846726444158675
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.004654822299815498,0.5619223245837301,0.0015142084410223768,0.018418832457616805
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004505534144141839,0.23404468157231167,0.0011576948503011157,0.00834718393827749
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.00419310720672627,0.03985065791170478,0.002092433621791412,0.006802736971417395
6,sett_preprocess_income,,,,,,,,,0.004164918074427577,0.004164918074427577,0.001116682610280318,0.001116682610280318
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.003980462921487963,0.2556967449225842,0.0014242977180905063,0.009553566520310289
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.003948326165103236,0.5919520771300111,0.0024308590194962927,0.0210998737187508
7,sett_scale,,,,,,,,,0.0034737322734324436,0.0034737322734324436,0.0009346169799032329,0.0009346169799032329
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0033033252822239415,0.2533534571067433,0.001205867335086948,0.009038767191970732
25,sett_exclude_features,sett_model,,,,,,,,0.0030308020505050467,0.02889600280528817,0.001291858168110759,0.004216205107436431
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.002716153641067303,0.7640044396895215,0.0007902188862748478,0.02843052690496624
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0026167725737286543,0.7596514700076709,0.0011328913822032985,0.02251150875956282
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.002579393621374138,0.24831224675705646,0.0010930863591249273,0.009536200867659859
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0025500437473464023,0.5858053830503258,0.0006224270753843067,0.017121622601213294
12,sett_cutoff,sett_model,,,,,,,,0.002503560877806299,0.2304519825521395,0.0008843526904633559,0.008347167090843835
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0025028845547809763,0.691435247437866,0.0013638376505535036,0.025405775609924366
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.00243681968647762,0.5621285950656588,0.0012616714509783985,0.018386098686461464
37,sett_model,sett_scale,,,,,,,,0.002341842482686654,0.01795281225659235,0.0009950216467168628,0.002480207732467129
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.002310773342968413,0.6225238963823878,0.0011379621064398892,0.022953212603391
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.00230931239537774,0.22228541464366527,0.002031918954329909,0.008336823476863313
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002309224749688757,0.022425405425913213,0.0007758631270641988,0.003680312534504493
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0023019611047850642,0.5495305064341892,0.001038982347643609,0.017676196350872846
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0022687407256684645,0.6977554096749502,0.0009429535492525818,0.02419285057291609
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.002130447556324993,0.37068610095957255,0.0009787722586196142,0.014211285697714937
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0018971949971665744,0.2568564894626749,0.0006332233318235948,0.009780740051919413
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0018774473559260315,0.27928869210781204,0.0007999069679591867,0.010744499743518513
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0018154414011542334,0.2560835500656674,0.0011239479168421269,0.009681894934695397
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.001807186272369682,0.5696683554919851,0.0013507290069495008,0.018468177058638926
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001802293116884263,0.6249677731450783,0.0004642548798905443,0.019649428577529014
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.001748188225926488,0.7258399471538473,0.0007640123982522322,0.02437598049261981
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0016745937415246714,0.5668638317853367,0.0006785551418086382,0.018831219551201258
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.001671964724985711,0.5747988140460187,0.0008743683605596503,0.017462269178944754
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0016602171534803286,0.8215950288047233,0.0005004700524041865,0.0243650436668967
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0016264117818145262,0.4098901719698914,0.000779976273849842,0.014569202424641346
