,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25407513929703207,0.25407513929703207,0.004330417309876448,0.004330417309876448
0,sett_cutoff,,,,,,,,,0.20903031663018168,0.20903031663018168,0.0055579693563918,0.0055579693563918
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10652916167994077,0.373726052614762,0.0061345562602011195,0.009037641619437707
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.07950707777753996,0.5426125337047538,0.003446971306054412,0.008718759070462441
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02373672514209265,0.690417602247009,0.0023404494155879925,0.01364950177551628
36,sett_model,sett_preprocess_income,,,,,,,,0.01576651285700119,0.035264708410116856,0.0027880552504442636,0.005007380563880644
4,sett_model,,,,,,,,,0.015693138793362354,0.015693138793362354,0.002062688260309089,0.002062688260309089
2,sett_exclude_features,,,,,,,,,0.013121751637789076,0.013121751637789076,0.0018629557079192832,0.0018629557079192832
30,sett_exclude_subgroups,sett_model,,,,,,,,0.012611150152365752,0.28237942824276024,0.0011029779073751238,0.004551357170347271
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009164757218704845,0.22305841890242245,0.0012052291526989825,0.005540512920802229
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.007917603209126982,0.056988128826433275,0.0018529421059358955,0.00845250830524871
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006827177048012088,0.41281975501253404,0.0012588168137367538,0.009186229050404887
42,sett_preprocess_income,sett_scale,,,,,,,,0.005839685978358794,0.01284785969038284,0.0014922011314017522,0.0031408199526108175
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005513815129973147,0.7453561847405582,0.000978447077510259,0.01385857795597837
8,sett_stratify_split,,,,,,,,,0.004863345053535924,0.004863345053535924,0.0005437992183857186,0.0005437992183857186
37,sett_model,sett_scale,,,,,,,,0.004763014276559913,0.023659270022193,0.0009425218207625339,0.0031033941681984996
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004667498098253545,0.25277773843023005,0.0009425721791125924,0.00627777109117498
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004417430082432745,0.22656949835040346,0.000834866261271026,0.0059843162474497264
25,sett_exclude_features,sett_model,,,,,,,,0.003962236404031913,0.03277712683518334,0.0010922649126153471,0.002740848532144761
6,sett_preprocess_income,,,,,,,,,0.003805056759753313,0.003805056759753313,0.0011343309779073421,0.0011343309779073421
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0037894582489139336,0.25145591803777995,0.0010793047356929997,0.008083279310141302
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0037782000833716765,0.5765803895180323,0.0007939676892557431,0.008627295912453257
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0033230696160743488,0.057380279271730644,0.0012823278456884975,0.005402915416155806
7,sett_scale,,,,,,,,,0.003203116952270732,0.003203116952270732,0.0007506624204258768,0.0007506624204258768
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.003152953772969828,0.2460885770333497,0.0006143846248126803,0.005773393574463646
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0030287249890171277,0.28681475168133685,0.0009421017897705598,0.008553405369055817
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.0026692748549136196,0.2325124537572596,0.00044149199263566373,0.006229693263140607
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0025879937437693007,0.038896098571861354,0.000824602021409178,0.0034995322624370886
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0023380226377355895,0.020323119329060592,0.0005572100324249436,0.002090021106820158
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0023055444244813933,0.2116757935635088,0.0005258925951360992,0.005403699399145172
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.002257042727095286,0.6086022254189543,0.0006343857142224952,0.009418512839757419
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.002133114863925982,0.7927196264662333,0.0006597354060386099,0.012818128676888446
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.001906073588459258,0.25978626964524465,0.0011062583695256947,0.003321531979437115
12,sett_cutoff,sett_model,,,,,,,,0.0018853667841787455,0.22660882220772277,0.0004615521603875552,0.006158430354642122
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.0018851568029115016,0.23193643985388615,0.0006821385129557157,0.0058374505403193605
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0017921969832147698,0.5516019290005698,0.0008523433207579052,0.007442632764333899
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0017498467299865064,0.25902810297928935,0.0006609138848587175,0.004128536547520595
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.001708513203718455,0.018635321601260843,0.0007263157409264288,0.0023923220492358633
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0017050498720652609,0.29380045607364264,0.0007805515244494527,0.005304699307059611
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0017019668434856156,0.8371445347645634,0.00059850719094857,0.012902106903929676
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0016355233649980503,0.7764290267255964,0.00045774547492322793,0.01345074312800568
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0016035843068086903,0.42777859925809725,0.0006469475269303368,0.008326497394466718
19,sett_encode_categorical,sett_model,,,,,,,,0.0015871926659432568,0.017620263968151344,0.0004971280369224671,0.002228977061189759
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0015297833040160713,0.6344558214097904,0.0005093669053890294,0.010059203710935423
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0014860679643887474,0.21432144135432374,0.0007216715800208383,0.00533917042120782
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0014860637068634381,0.6423642876392026,0.00045024717627736155,0.013505692038454054
35,sett_model,sett_preprocess_age,,,,,,,,0.0014385591331169917,0.018020464561898406,0.0002941193260905817,0.0022745290754628803
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.0014219812074269937,0.38026835621619515,0.0007361375458950958,0.008139041262540319
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0014204365689917825,0.38256613273568474,0.0008522313819674364,0.008056719039361143
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0013958364843923397,0.5960622445077388,0.00041458937090327607,0.008602700156123607
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0013929185350059058,0.2645728707974129,0.0004138865540273747,0.006940447383397346
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0013921386294737546,0.5858547523873948,0.0005003578394424536,0.00868828741481
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0013915387745814997,0.7050570957023565,0.0006313338154306908,0.011979633353705244
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.00134798203884687,0.23218947384584004,0.0003733984765642023,0.00631139445425086
419,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,0.001341305329294354,0.8370113388027176,0.0005051841694419384,0.013338829508361382
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.0012632995375253958,0.5663619070558908,0.000781738020420401,0.00806674376634773
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0012194267720954765,0.30507649822006944,0.0006239214598131814,0.006249368659020967
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.001206598196204198,0.4431754425748321,0.00037096462330684277,0.009452698022695006
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.001203652224372657,0.015214170497580792,0.000417509267878192,0.0021109181199766088
243,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0011866509579034055,0.33251139659736123,0.0007477189615366256,0.009983727341364202
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0011344475075892898,0.7330152496651197,0.00042905478646144485,0.01165602376057016
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0011296096122396784,0.23469874589050368,0.0003985216402408432,0.005802567106842732
119,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,,0.0011056623230977602,0.038872809478952185,0.0003970997957322491,0.00505380844443424
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0010909389340755693,0.31477070870464297,0.0002581022253804238,0.007604840304949533
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0010712623043659442,0.5695901470986604,0.0004065067303843677,0.007418608370448393
116,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,,0.0010699304010201851,0.27164884970688086,0.0006176739178475143,0.004270498676023922
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0010660460378857746,0.7624868687096267,0.0003455764048826409,0.014354416627796225
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.001063246575980878,0.8022838507216633,0.00023433575541050464,0.014190993172116704
