,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2566216968859977,0.2566216968859977,0.005926033744026289,0.005926033744026289
0,sett_cutoff,,,,,,,,,0.20485068585854208,0.20485068585854208,0.004896836786980321,0.004896836786980321
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.11166519577944004,0.38258207274096134,0.003557280616001985,0.006831935733508767
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08042326830435634,0.5418956510488961,0.003513072508953737,0.011598581182206838
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.026070281004845697,0.6971329069350665,0.001950448541759746,0.012879834261443323
4,sett_model,,,,,,,,,0.016109721524187243,0.016109721524187243,0.0014285332677008405,0.0014285332677008405
36,sett_model,sett_preprocess_income,,,,,,,,0.014402660389684395,0.034888434581660854,0.0025042204783998854,0.003903983126834214
2,sett_exclude_features,,,,,,,,,0.014295180075523606,0.014295180075523606,0.0013369207453063545,0.0013369207453063545
30,sett_exclude_subgroups,sett_model,,,,,,,,0.012439946263451426,0.28517136467363635,0.0014787473160143764,0.004833957690356855
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009316183203187955,0.22038589353302973,0.0009598821443743339,0.00523473622025153
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.008894917180711124,0.060125033204493375,0.0019561999754309695,0.0074197908996652675
42,sett_preprocess_income,sett_scale,,,,,,,,0.007543814621344269,0.016532135865926077,0.0015358348498115029,0.002998580178517254
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007278080856199124,0.42190571485058515,0.0008605595188563322,0.005375009900320345
8,sett_stratify_split,,,,,,,,,0.006219024471299692,0.006219024471299692,0.0007288845636710567,0.0007288845636710567
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005481794835750566,0.7516574836907046,0.0007470983998107503,0.011422837604266501
7,sett_scale,,,,,,,,,0.004612268576792585,0.004612268576792585,0.0011093063090445074,0.0011093063090445074
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004488048263593667,0.247852737428481,0.0007391637428953142,0.005291569844415135
6,sett_preprocess_income,,,,,,,,,0.00437605266778922,0.00437605266778922,0.0008619171037733626,0.0008619171037733626
37,sett_model,sett_scale,,,,,,,,0.004185598243984536,0.024907588344964364,0.0008672615660262193,0.0022218606238688598
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0038244823321827454,0.5756764103832048,0.000785507569017226,0.010582464992877828
