,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2565409210350671,0.2565409210350671,0.005865121379156581,0.005865121379156581
0,sett_cutoff,,,,,,,,,0.21189962605851612,0.21189962605851612,0.004933496319864986,0.004933496319864986
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.11011395152530398,0.3806198562627,0.003220211369260219,0.007140095120725286
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08529785791374953,0.5537384050073326,0.0031028121595320394,0.0071175417342081715
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02904863642936017,0.7117072748133284,0.0026291088735290787,0.00926149868261683
2,sett_exclude_features,,,,,,,,,0.013964983702328964,0.013964983702328964,0.001250782855572578,0.001250782855572578
36,sett_model,sett_preprocess_income,,,,,,,,0.013815454782077248,0.031352599861951276,0.00227727985377371,0.003694357265975914
4,sett_model,,,,,,,,,0.013543099622573392,0.013543099622573392,0.0012604002263060887,0.0012604002263060887
30,sett_exclude_subgroups,sett_model,,,,,,,,0.01206380312730215,0.28214782378494263,0.001438013044712614,0.0055993351603930075
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009171858969578409,0.22637713270946846,0.0014073000005478714,0.0057349274659491
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.007552413321931425,0.053441664115110706,0.0016344832079578063,0.007493739279472945
42,sett_preprocess_income,sett_scale,,,,,,,,0.006856836581634854,0.014805233657840616,0.0017206505573132205,0.003186528376642445
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006103008817720775,0.41594263016095767,0.000995655182443424,0.006407851190937321
8,sett_stratify_split,,,,,,,,,0.005305647681373928,0.005305647681373928,0.0010091533144215377,0.0010091533144215377
10,sett_cutoff,sett_exclude_features,,,,,,,,0.0048412981490024804,0.23070590790984755,0.0006482249505902262,0.005287495234290768
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.0047974414036982774,0.2540264330008322,0.0005631009135148413,0.005836112306180617
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004628473607885437,0.761155937008052,0.0006192886925433528,0.008468786582896327
