,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.24788489452919246,0.24788489452919246,0.007447388884416966,0.007447388884416966
0,sett_cutoff,,,,,,,,,0.21344678121652627,0.21344678121652627,0.0035445930355504185,0.0035445930355504185
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10417731348390238,0.36538542319648337,0.00405053860563454,0.010904610012863676
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.0826197099392695,0.5439513856849882,0.004282511503477108,0.013034984424756996
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.026538343942196313,0.6919884383530979,0.0026961599953515248,0.01753480601256219
4,sett_model,,,,,,,,,0.013985393333003013,0.013985393333003013,0.0011575698070950067,0.0011575698070950067
36,sett_model,sett_preprocess_income,,,,,,,,0.013527779104081084,0.03162172360921957,0.0023283069375350665,0.0031883310114871775
2,sett_exclude_features,,,,,,,,,0.013323215183388531,0.013323215183388531,0.0014226102054515617,0.0014226102054515617
30,sett_exclude_subgroups,sett_model,,,,,,,,0.012735709376298754,0.2746059972384942,0.0021473558691883516,0.007198190510566649
16,sett_cutoff,sett_stratify_split,,,,,,,,0.00893066729937161,0.22778078851138345,0.0011410679801344605,0.0035432868599317544
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.007349853323386014,0.05313533732738863,0.0015020748429283915,0.006269025040550955
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.007146105075693304,0.40300164186609844,0.0011838877115730873,0.011579619820583538
42,sett_preprocess_income,sett_scale,,,,,,,,0.006616946463649037,0.014340018704607419,0.002130811118786121,0.004109657241937591
8,sett_stratify_split,,,,,,,,,0.00540333999548556,0.00540333999548556,0.0007435052330677455,0.0007435052330677455
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005159009622671223,0.7439857255399708,0.0011050899778061872,0.018479693965056034
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004688244372918444,0.2542939789775691,0.000845682919383207,0.0057611030815393535
6,sett_preprocess_income,,,,,,,,,0.004108551172135466,0.004108551172135466,0.0016033430780893775,0.0016033430780893775
10,sett_cutoff,sett_exclude_features,,,,,,,,0.003998180058622372,0.2307681764585372,0.0009365867671028966,0.004334491467430476
37,sett_model,sett_scale,,,,,,,,0.003932292862311098,0.021532207264137026,0.0007176086256312498,0.001812952799237744
25,sett_exclude_features,sett_model,,,,,,,,0.0037490108846199906,0.031057619401011538,0.0010424782846001684,0.0028364789414303767
7,sett_scale,,,,,,,,,0.003614521068822915,0.003614521068822915,0.0008162644591472301,0.0008162644591472301
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0034306605931777078,0.5752063029159582,0.0008918637457827449,0.012763554440031083
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.003412004388975572,0.25140587667988046,0.0006291711321566193,0.004984817328099917
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0033744702755755924,0.25112288821851775,0.0006509678938475613,0.0035737141782066126
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.003164584254890945,0.2350962459234524,0.0006281826348102123,0.00406823351376547
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0027524825463693123,0.03756516225610544,0.0005758473814263252,0.0025586054583576646
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.00270743081443078,0.2859596953121397,0.0006506802102289888,0.007587974325939146
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.002684381377605692,0.2546778270789336,0.0011803376742050061,0.006938946904846074
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0026462341895478166,0.021372789368421907,0.0008339361405710814,0.001676582451443
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.002366274203755177,0.791398587322934,0.000965690265719491,0.01613671667593323
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.002337539012363724,0.2538369546103791,0.0008915933080571136,0.007454163521910322
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0022848154388142345,0.05287129646262804,0.0006636714482744172,0.004525438897112592
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.002243325409265394,0.5548098571806632,0.0009608961509093022,0.011628701906666868
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0021922865577289567,0.2677867355002719,0.0005216215885877045,0.005584003355574907
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0021301397609089544,0.6065625006106732,0.0006579429976820811,0.011024519533979055
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0020192458351597454,0.21581801076606533,0.00038400812477352785,0.0036507078033008035
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.001910390532879213,0.24050186304680607,0.0005773336568449846,0.004568555192022424
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0018925313465857155,0.019324297702109715,0.0005651359642735846,0.0014593874603769663
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0018656637810796689,0.3759365508738899,0.001110035271351743,0.010154206864135583
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.001859520204754459,0.37334341868442833,0.0007962841606199968,0.010584582259029262
35,sett_model,sett_preprocess_age,,,,,,,,0.001858513932414708,0.01673409143067474,0.00046165641193502294,0.0012826628225184348
116,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,,0.0018524366280229278,0.26909927025179226,0.0012825816166666267,0.008990205684504858
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0018356965148928186,0.7103511920242103,0.0009879324386955087,0.015218457357440622
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0018222135366684987,0.21937754592533026,0.0005303374952107666,0.0038679710566414927
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.0016940683751884046,0.23544436116795475,0.0007165880014317148,0.0046342149658738915
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0016353976781238403,0.2861257478601158,0.0006509524482567315,0.007467054297062742
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0015349994449837129,0.7747955320557312,0.00045126526896934344,0.01685927670660758
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0015255171178545361,0.8355622316425629,0.00044065546582881023,0.012792668706508038
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.0015011806981661971,0.5730654537768833,0.0010986254876980074,0.012323073332286381
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.001487082962108545,0.41833970917603913,0.0006313741425486448,0.01181427385692635
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0014637932145874259,0.6425489762297291,0.00057855514439936,0.011244614741128596
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0014278029450743679,0.2963545118373908,0.0004680157415608563,0.006937447059319154
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0014237882894947201,0.5945336304710497,0.0003394572422453826,0.012228049266700566
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0013957472486051488,0.6322927609956877,0.00033113515424910566,0.010034611616557021
