,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2566723319116308,0.2566723319116308,0.005306011719800301,0.005306011719800301
0,sett_cutoff,,,,,,,,,0.2082150358564472,0.2082150358564472,0.00547876214302205,0.00547876214302205
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10779016788999919,0.38030371226648013,0.00410343386760375,0.007827798258079144
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08560566457041441,0.5504930323384924,0.0037073020016293997,0.007819099408168075
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.029947911876255666,0.7096633166391607,0.0018289984453738028,0.010849075124894029
2,sett_exclude_features,,,,,,,,,0.015841212464850134,0.015841212464850134,0.0015163249631899535,0.0015163249631899535
4,sett_model,,,,,,,,,0.013760253393224443,0.013760253393224443,0.0015466538757327906,0.0015466538757327906
36,sett_model,sett_preprocess_income,,,,,,,,0.013602961641440557,0.031018377052652434,0.002415280940183365,0.003951990939277596
30,sett_exclude_subgroups,sett_model,,,,,,,,0.011911326272385678,0.2823439115772409,0.0018244110068396087,0.004712164542807523
16,sett_cutoff,sett_stratify_split,,,,,,,,0.00878404543765772,0.22443282933681574,0.0008234727562950188,0.0053538858550998165
8,sett_stratify_split,,,,,,,,,0.007433748042710842,0.007433748042710842,0.0008474423940044443,0.0008474423940044443
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.007186197421196734,0.05088587620445567,0.0019245533975824896,0.006392726524491823
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006369012303374761,0.4163180823672459,0.0014870572473126792,0.006926160321906472
42,sett_preprocess_income,sett_scale,,,,,,,,0.0059311235319453,0.012704803169213165,0.0009510477512981289,0.0015435478407483133
10,sett_cutoff,sett_exclude_features,,,,,,,,0.005590992069563276,0.2296472403908606,0.0011101250133569729,0.0063107859991740406
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.004546492678745359,0.7590702747297717,0.000996867512969699,0.008512785232039103
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004256498840174783,0.2533316118487369,0.0007404763477243116,0.005706952950743979
25,sett_exclude_features,sett_model,,,,,,,,0.003973778131780825,0.033575243989855404,0.0006627421709913902,0.001534047903748554
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.003924499916999653,0.2468297740281714,0.0008669702000280602,0.0057446103961548535
6,sett_preprocess_income,,,,,,,,,0.0036551620179874353,0.0036551620179874353,0.0008011985033766667,0.0008011985033766667
37,sett_model,sett_scale,,,,,,,,0.0036316605793807744,0.020510431591885647,0.0008642707622528652,0.0021925619334020054
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0032242297018269805,0.25174713759060674,0.0008388329770039259,0.006623565208968451
7,sett_scale,,,,,,,,,0.0031185176192804276,0.0031185176192804276,0.0004089136885866676,0.0004089136885866676
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.002895755378228902,0.5807542084750277,0.0006258381137644659,0.005984593221247947
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0028632321063256742,0.2868600106193182,0.000743531665362539,0.005420372403248784
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0027776667311983296,0.05597337663500229,0.0008830028117933377,0.0032410736263084857
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.002657874017550576,0.025932834525111553,0.0005956466100032095,0.0015659953825739692
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0026300481681855504,0.04027467133682708,0.0008304000267792118,0.0023366898584287394
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.002524856632669028,0.2294154753345813,0.00047367757861815733,0.0052565461451063505
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.002364513992733212,0.2400072787654777,0.0008005709834342162,0.006170666280296002
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0023623422545205703,0.02185871673735814,0.0006751214267041094,0.0016286456673317786
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.0021401949416343102,0.23462101204265556,0.0008039887196811542,0.006482767354854023
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0020835705721905786,0.2103848423905146,0.0006092659638599137,0.005695527579553687
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0019780201093758695,0.21384821798381048,0.0005190774027375022,0.005464307024995741
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0018309362667802854,0.6090540931212589,0.0005427814306030416,0.005290644611127687
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0017634298320384782,0.8025184855383186,0.00042291245218917007,0.006794088622968994
12,sett_cutoff,sett_model,,,,,,,,0.001693841092696244,0.22366913034236788,0.0005389013394540617,0.005311365283492543
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0016751439918735326,0.7932106427118262,0.00037118147250652083,0.00902141653273076
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0016344366278309885,0.8496154552843209,0.0004913258255852537,0.007733042750463884
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0016221979457977805,0.018436249544347312,0.0004544611214205732,0.0018271430511233695
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0015458022975342357,0.6026031979585933,0.0003386196667506052,0.0057918474638126065
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.00154373361226923,0.26588655333103745,0.0003456106864163053,0.0057758960673080055
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0015336006096575545,0.6371904179227053,0.0004254273450122175,0.005588450820385779
35,sett_model,sett_preprocess_age,,,,,,,,0.0014743420992889486,0.01620743462621279,0.0004259536138094328,0.0017319877099221277
130,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,0.001458874010137193,0.2626879500675436,0.0004694934318030235,0.005454079258109256
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0014426276346769123,0.2617701215642952,0.000604808024232907,0.004844232615777854
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.00141209910802923,0.7359664180153,0.0004040473476214627,0.01072079617280283
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0012759197813851176,0.5687296824018835,0.00036746881357901896,0.007376894531273536
