,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.25670541933030233,0.25670541933030233,0.004515343260767211,0.004515343260767211
0,sett_cutoff,,,,,,,,,0.21144039963856456,0.21144039963856456,0.004443762888470784,0.004443762888470784
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.10395378262043857,0.3737665378721953,0.0038584196634332685,0.004853859427505016
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08060927126922313,0.5487550902380901,0.004540184271723683,0.008406052722524577
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02596238795633999,0.6964383663809235,0.0027904660415364276,0.01151781115633312
4,sett_model,,,,,,,,,0.01572091361302974,0.01572091361302974,0.0009659396166702639,0.0009659396166702639
36,sett_model,sett_preprocess_income,,,,,,,,0.014933218746982656,0.03553681632800892,0.0018279472264056942,0.0027778599910356213
2,sett_exclude_features,,,,,,,,,0.013107335921454417,0.013107335921454417,0.0015122080061145651,0.0015122080061145651
30,sett_exclude_subgroups,sett_model,,,,,,,,0.011976565687727498,0.2844028986310596,0.001866752122941051,0.005421490763922485
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009492074017188455,0.2271894948980392,0.0012607247662392868,0.005217491403686107
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.007665369524977461,0.057793612629467174,0.0012925311305628717,0.005372782803705209
42,sett_preprocess_income,sett_scale,,,,,,,,0.00677879256231037,0.014983261059529934,0.0014939349232496865,0.0029137161121649924
8,sett_stratify_split,,,,,,,,,0.006257021242286163,0.006257021242286163,0.0008751052051647912,0.0008751052051647912
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.006013881177646603,0.411974288171238,0.0017712123810181095,0.005764957865051666
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.005177557446169302,0.7495867896314801,0.001095967946102291,0.009043149391387856
6,sett_preprocess_income,,,,,,,,,0.004882683967996522,0.004882683967996522,0.0012730836865930632,0.0012730836865930632
10,sett_cutoff,sett_exclude_features,,,,,,,,0.004659769644600423,0.2292075052046194,0.0009714090036868478,0.005760477470703538
25,sett_exclude_features,sett_model,,,,,,,,0.004496389820638806,0.03332463935512296,0.0008178255482279358,0.001635951940889024
37,sett_model,sett_scale,,,,,,,,0.004490849684947382,0.023533547827200164,0.0007950738238286177,0.001864645366519466
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.004478796403127884,0.25539839222943767,0.0006196808376592733,0.005586981208468626
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.0037895319141949056,0.581736888641064,0.0010676621649043255,0.007920292060283593
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0037414825755617866,0.25203953642501964,0.0008976789783124315,0.006533136668966695
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.003668265219874401,0.25377262439488013,0.0011176042043841016,0.005171454625323332
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0033414533853638063,0.022705810549104387,0.000929288748098871,0.0025107103319546445
7,sett_scale,,,,,,,,,0.003321784529223046,0.003321784529223046,0.0008183208646647562,0.0008183208646647562
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.002665215637006548,0.05715067242117834,0.000812183558573754,0.002905558164056819
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0025848827690696085,0.21435717726927378,0.0006619228637760512,0.004538205340510754
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.002580310474064434,0.03883472130390995,0.0008535575904373637,0.0021352427325328333
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.002401554331631513,0.23374430552478243,0.0008055353666327768,0.004476913523729612
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.002384621151657551,0.6135672764216398,0.0008386213610512196,0.006805160102599322
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0023436098050924207,0.2891604099296102,0.0008187928611410103,0.005367919232912822
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.002291753588739888,0.23935921349583592,0.0004458945846408217,0.005767441147032324
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0019584838913444327,0.7961412060209135,0.0006046084344439985,0.008823825622812196
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.001860411928563265,0.2345671602051308,0.0005690153996653355,0.005861740839067144
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0017396254380741617,0.26176682929759953,0.0007695888114621915,0.004797733504134858
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.001728933014111488,0.38340945626720313,0.0004948123488883048,0.0040863092143036805
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.001704190684050701,0.783669204993387,0.00042770257493178585,0.009802739983895727
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0016973970186088207,0.8443947503840273,0.00041813569852971766,0.010363644855671697
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.0016863866988301474,0.263274489997129,0.000680482065112407,0.00444614447507319
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0016323560204104495,0.21795543962697153,0.00040453994786677306,0.004535380229301111
110,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,,0.0015859643268217052,0.30749115237169056,0.0006367292060365334,0.005890692261734249
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0015814756598667664,0.6410878722869954,0.0004124107550394425,0.007182562621493092
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0015600311154417767,0.295515189398746,0.0009029790153686069,0.006992012597757604
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0015268192790765744,0.4263629374251522,0.0006521846474114062,0.007743012685389188
12,sett_cutoff,sett_model,,,,,,,,0.0014947871880218169,0.22865610043961615,0.0006442866732756693,0.004655114418330882
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0014658408475023452,0.2665434098867667,0.0003894212672719753,0.005315186159331844
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.001456310386488511,0.38038248226052196,0.0006278285932347045,0.004892263961870244
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0014356930466714738,0.3208486032125931,0.0003476804353633417,0.006740576639906148
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0014159261607125692,0.6027882899696175,0.0004472792177256248,0.008102304905120261
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.001408830251462561,0.6467469848646941,0.00044963964978615343,0.007049633089612468
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0013449147140696537,0.019334934603520593,0.00047962031778695213,0.0015368922047016057
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0012968268602267159,0.4420984321372834,0.0005033949572664963,0.007256303789674464
19,sett_encode_categorical,sett_model,,,,,,,,0.0012836726528355784,0.017336481127504907,0.0003820070022902827,0.0010271913994561674
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0012331105839644071,0.5903350626336221,0.0004039716953683978,0.007687771775609149
35,sett_model,sett_preprocess_age,,,,,,,,0.001230411321631306,0.01749917121392512,0.0004679008794520768,0.0011199057017250765
179,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0011538064515774229,0.27371601573642307,0.00031826230646014067,0.006005867359237408
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0011515138738271674,0.014806696074545662,0.00048199596369811614,0.0014348833618972462
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0011432086554244744,0.7228217189544998,0.00030422834900607185,0.01171349916543643
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0011269376916022782,0.7436764496332946,0.00032598432869857495,0.010621875875668367
243,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,,0.001125482527804489,0.3352158624495424,0.0009089476399679726,0.009933402792716184
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.001094291098266756,0.7121565771313506,0.0005577296024192283,0.010230916855017267
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0010568916480022737,0.5580134085733295,0.0004287586097246684,0.007590571437934958
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0010463224331709055,0.2612940193936103,0.00024629334007992973,0.0051239863195434955
79,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,,0.0010456081186485475,0.28743108479050944,0.0003941871619100245,0.005470032658593114
116,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,,0.001042774695073087,0.27615746722180967,0.0006090994193710949,0.006043691688360237
418,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,0.001034686812688884,0.8082929411422932,0.0002957870026641438,0.010599724592463094
290,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,,,,,0.0010248748271875427,0.7652338179346934,0.00040136156279636575,0.009604278722454103
223,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0009774609676847282,0.42608350293633557,0.0003001432710304263,0.005543912575099121
364,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0009347539618228217,0.4611365202508312,0.0002605881719333427,0.007101272129746485
62,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0009243480409295284,0.5660903358732958,0.00023913932980259076,0.008746590406179809
172,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_scale,,,,,,0.0009236564623423366,0.5730432846201912,0.0006217848864719412,0.005806853520663843
416,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,0.0009213983579802203,0.8209146694588688,0.0003818761150591913,0.008678261698693268
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.000912154602481965,0.23376870532564287,0.00044063320047521814,0.004626034351872165
13,sett_cutoff,sett_preprocess_age,,,,,,,,0.0009083931526393798,0.21289663907046802,0.00025019522858295496,0.004484775020965926
167,sett_cutoff,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0008949036196093595,0.5946445628433279,0.00029886272147193764,0.007591959994834285
244,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0008893423507415651,0.31827865780420306,0.00024806147574713407,0.0056990029865623335
419,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,0.0008762895645847192,0.8376694413831958,0.0002356244368124776,0.010121829897541207
312,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.0008760798794176319,0.6139380883798531,0.00021285910337577095,0.008294427093912371
54,sett_cutoff,sett_exclude_features,sett_preprocess_age,,,,,,,0.0008591473767688792,0.23267440588711893,0.0002762495970534123,0.005641858190275116
302,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.000857692390787472,0.2963525804600235,0.0002669937699965399,0.0069684759509646204
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0008563838190910184,0.5775734664123755,0.00040795832768427114,0.008031579395703689
46,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,,,,,,,0.0008398398775922998,0.5528787182727177,0.0003969926917919438,0.00836265200442825
310,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,0.0008321790901494438,0.6252100937816126,0.00033355658409085895,0.006486403372835595
38,sett_model,sett_stratify_split,,,,,,,,0.0008319793050516163,0.02280991416036752,0.000273733229382104,0.0011621107500415686
98,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.0008219623220205865,0.3848487771566675,0.00026376994498643927,0.004663923765123554
163,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,0.0008190224380077444,0.2642449951925742,0.0003003314398056438,0.006697929903521218
158,sett_cutoff,sett_exclude_features,sett_model,sett_stratify_split,,,,,,0.0008144337067954836,0.2811011949542832,0.00025407338479045184,0.006506221702098908
177,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.0008098374934759267,0.2530121224464915,0.00019443665909002264,0.005213999575900423
487,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.0008082433207270292,0.8859288074650659,0.00020399665733526753,0.00957689856415351
