,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,individual importance,total importance,individual std,total std
3,sett_exclude_subgroups,,,,,,,,,0.2555105483236293,0.2555105483236293,0.006170235965215663,0.006170235965215663
0,sett_cutoff,,,,,,,,,0.20306433099325566,0.20306433099325566,0.0067284941900430445,0.0067284941900430445
24,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.11049514044603101,0.38133984802556453,0.0036561950774845276,0.00801475559261288
11,sett_cutoff,sett_exclude_subgroups,,,,,,,,0.08084287168346381,0.5394177510003488,0.0024893853864246716,0.009295914245413414
52,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,0.02538609749485774,0.6942122902773726,0.001866663927873154,0.008893440484312818
2,sett_exclude_features,,,,,,,,,0.015334159255904202,0.015334159255904202,0.0016504450088971005,0.0016504450088971005
4,sett_model,,,,,,,,,0.014702712940427043,0.014702712940427043,0.0018268999624662858,0.0018268999624662858
36,sett_model,sett_preprocess_income,,,,,,,,0.013644118679725365,0.03280817065043888,0.0018552772271446622,0.0027010888177060144
30,sett_exclude_subgroups,sett_model,,,,,,,,0.013204580389784056,0.28341784165384043,0.0015077054841372425,0.0057123543638012
16,sett_cutoff,sett_stratify_split,,,,,,,,0.009397935826982739,0.21936234887354072,0.0007077801364589622,0.006815979618297985
122,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.008228844573481282,0.05570247235998464,0.0016578846756000708,0.005108536266836646
8,sett_stratify_split,,,,,,,,,0.006900082053302291,0.006900082053302291,0.0012173833971412433,0.0012173833971412433
42,sett_preprocess_income,sett_scale,,,,,,,,0.00654198785234124,0.01497898379992368,0.0016321731902310403,0.0025773301428287728
94,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.005829285906528512,0.4187505793811669,0.0011004569659933375,0.009283290910529604
150,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,0.00516466533286403,0.7476799061527579,0.0008768913081181298,0.009595079764058332
53,sett_cutoff,sett_exclude_features,sett_model,,,,,,,0.00480725287447524,0.2471044515069013,0.0006808779081098793,0.006864849922773702
6,sett_preprocess_income,,,,,,,,,0.004461339030286478,0.004461339030286478,0.0008243886952311731,0.0008243886952311731
64,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,0.0043336434374363995,0.24442832897440642,0.0012620782155554414,0.0070953173561742805
37,sett_model,sett_scale,,,,,,,,0.004147812366427276,0.022826182224150286,0.0006929496102468447,0.002427397164966517
58,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,0.004142265068698117,0.5734100106430036,0.001102435348782334,0.008659439438111483
7,sett_scale,,,,,,,,,0.003975656917295964,0.003975656917295964,0.0006710156948277604,0.0006710156948277604
25,sett_exclude_features,sett_model,,,,,,,,0.003674152118862746,0.03371102431519399,0.001216796586297293,0.0038452627335537307
10,sett_cutoff,sett_exclude_features,,,,,,,,0.003579142080230785,0.22197763232939066,0.0007495965208579694,0.006927882497430918
57,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,0.0034500058716713787,0.24420881274378176,0.0007023408415735166,0.006670424633830709
156,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,0.0029971920672157235,0.28169339850729436,0.0007733866068802554,0.008315871109355708
100,sett_exclude_features,sett_model,sett_preprocess_income,,,,,,,0.0028954262030064706,0.05668095261594226,0.00103989909763981,0.004318715308422803
9,sett_cutoff,sett_encode_categorical,,,,,,,,0.0027126314730314856,0.20590720369842067,0.0006030605158055382,0.006871410401231499
63,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,0.002672754723747485,0.22535341383627894,0.0007344972053512921,0.006293646289526808
29,sett_exclude_features,sett_stratify_split,,,,,,,,0.0024831566624346794,0.02471739797164117,0.000526836688195768,0.0013505289572694774
60,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.002426736311614613,0.5505450549017729,0.001258632615990255,0.007160818793380818
99,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,,0.0023900541088319118,0.03990999885630768,0.0005525629204670612,0.00358354485645186
14,sett_cutoff,sett_preprocess_income,,,,,,,,0.0022794826495298646,0.20980515267307204,0.0013645860051429057,0.005809709100842658
55,sett_cutoff,sett_exclude_features,sett_preprocess_income,,,,,,,0.0020087005454628376,0.2326961989423998,0.0007191817880764564,0.0059310811173814175
27,sett_exclude_features,sett_preprocess_income,,,,,,,,0.0019690443877299632,0.02176454267392064,0.0009092006886927142,0.0018870064486664118
32,sett_exclude_subgroups,sett_preprocess_income,,,,,,,,0.001959745909993014,0.26193163326390884,0.0009427487970542477,0.005374690437421707
12,sett_cutoff,sett_model,,,,,,,,0.0019427012437455784,0.2197097451774283,0.0005443208660051648,0.00638840748554065
291,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,0.0018654673562355133,0.7948632450078652,0.0006840439161558442,0.007493409555733571
45,sett_cutoff,sett_encode_categorical,sett_exclude_features,,,,,,,0.0017651451227052417,0.22723880019919462,0.0005790541937011934,0.007559622303050456
33,sett_exclude_subgroups,sett_scale,,,,,,,,0.0016741245603269308,0.26116032980125226,0.0006949055723694095,0.005649593659317412
97,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,0.001633205717695148,0.38878137931569157,0.0008052952406460263,0.007702132866472385
166,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.0015944000057205173,0.6050348408037234,0.0006180413769231281,0.007350162631998734
293,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,0.0015327493360570322,0.7813898592271857,0.00032516114198641327,0.008677679118302993
19,sett_encode_categorical,sett_model,,,,,,,,0.0015058003207400472,0.016338754493300585,0.00034704702346613394,0.0017584081216136026
152,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,0.0015057708104334305,0.7120893677308193,0.0008014116214393594,0.006273626338034826
35,sett_model,sett_preprocess_age,,,,,,,,0.0014676942241396763,0.017056710441339606,0.0004536271667781525,0.0015874536260940147
420,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.0014660458017675365,0.8415824587524989,0.00038519160074199386,0.006939424083969708
222,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,0.0014579522632340535,0.43322710781949897,0.0005936843506539821,0.009399030142018793
26,sett_exclude_features,sett_preprocess_age,,,,,,,,0.0014549229313692152,0.017675385464046303,0.0005619353728947428,0.0020015936081479047
314,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.001437179912930472,0.6332514556289386,0.0004182320852990911,0.007946464753122204
155,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,,,,,,0.0014355948710780759,0.25880125073576166,0.00036223231330403743,0.006700225407109361
47,sett_cutoff,sett_encode_categorical,sett_model,,,,,,,0.0013986009183112073,0.2254570191216445,0.00038734745185089076,0.006342126273741621
79,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,,0.0013453923761211285,0.28679924875967555,0.000783898712591439,0.005711734375046316
135,sett_cutoff,sett_encode_categorical,sett_exclude_subgroups,sett_model,,,,,,0.0013121279946142375,0.5830880550619485,0.0008601833303122821,0.007866419709440148
96,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,,,,,,,0.0012662578083965756,0.3909962351619706,0.0005942224752305742,0.007414462878533478
419,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,0.001256940808523688,0.8394632533805958,0.0005672252599197435,0.010197806703988966
313,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_scale,,,,,0.0012512615726389539,0.6393676933172721,0.00047921217422677826,0.008182214686488394
178,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0012489693641061245,0.270681127655846,0.0006590327123158932,0.00874763560041082
168,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0012351313263857023,0.5952641915743946,0.0002666381895202279,0.008543548206672462
130,sett_cutoff,sett_encode_categorical,sett_exclude_features,sett_model,,,,,,0.0011822144886432656,0.25717421682118247,0.00040222189099773514,0.007711566371653007
154,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,0.0011729541535430146,0.720034486208704,0.00034419718672556873,0.008178678681712029
304,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0011593299769486018,0.3126076307394194,0.00028554865440857366,0.008445758492094559
111,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.001151109825445805,0.2943665453233364,0.0003510081022196526,0.005434411442252635
298,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,0.0010614564414673279,0.7429527536216732,0.0004290269450134219,0.005539256613286446
175,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.0010531919764174965,0.2528111015372106,0.0003367948971211077,0.0072450287477051475
221,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,,,,,,0.001050649515907155,0.44692252505262536,0.0003717274862189688,0.008609993329818386
173,sett_cutoff,sett_exclude_subgroups,sett_preprocess_income,sett_stratify_split,,,,,,0.0010429704377630997,0.5709513367202065,0.0004835287983282833,0.007312373688486258
